,id,title,tokens,p2,p2_text,DIG_SUM,tokens_text,tokens_text_asc,tokens_text_desc
12,598072,"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 180 GB SSD - Vology","['lenovo', 'thinkpad', 'carbon', '3444', 'core', '3667u', 'windows', 'vology']","{'x1', 'i7'}",i7 x1,3444,lenovo thinkpad carbon 3444 core 3667u windows vology,3444 3667u carbon core lenovo thinkpad vology windows,windows vology thinkpad lenovo core carbon 3667u 3444
13,81979,"Lenovo 320GB - DH31T 20c6008xus Core 2 Parts - | i5 2 Lenovo & - Product 4 | HD Mid,Laptop,Mid Premium","['lenovo', 'dh31', '20c6008xus', 'core', 'parts', 'lenovo', 'product', 'laptop', 'premium']","{'dh31', 'c6008', 'i5'}",c6008 dh31 i5,0,lenovo dh31 20c6008xus core parts lenovo product laptop premium,20c6008xus core dh31 laptop lenovo lenovo parts premium product,product premium parts lenovo lenovo laptop dh31 core 20c6008xus
14,598082,"dell thinkpad 8530w core 13.3inch 1 6"" core 66 4900mq - core processor/8gb ebay - 6gb ebay | ebay ebay computers / mini computers computers - product - : portable vology","['dell', 'thinkpad', '8530w', 'core', '13.3inch', 'core', '4900mq', 'core', 'processor/8', 'ebay', 'ebay', 'ebay', 'ebay', 'computers', 'mini', 'computers', 'computers', 'product', 'portable', 'vology']",set(),,0,dell thinkpad 8530w core 13.3inch core 4900mq core processor/8 ebay ebay ebay ebay computers mini computers computers product portable vology,13.3inch 4900mq 8530w computers computers computers core core core dell ebay ebay ebay ebay mini portable processor/8 product thinkpad vology,vology thinkpad product processor/8 portable mini ebay ebay ebay ebay dell core core core computers computers computers 8530w 4900mq 13.3inch
15,1073224,2 11 lenovo atom pentium 4 notebook duo hp 4gb |,"['lenovo', 'atom', 'pentium', 'notebook']",set(),,0,lenovo atom pentium notebook,atom lenovo notebook pentium,pentium notebook lenovo atom
16,925773,lenovo : c404-9ud vology 17.3-inch i7 camera 2.33ghz laptop 9 - in ddr3-1600/pc3-12800 used 1.90 | -,"['lenovo', 'c404', 'vology', '17.3', 'inch', 'camera', '2.33ghz', 'laptop', 'ddr3', '1600', '12800', '1.90']","{'ddr3', 'c404', 'pc3', 'i7'}",c404 ddr3 i7 pc3,14400,lenovo c404 vology 17.3 inch camera 2.33ghz laptop ddr3 1600 12800 1.90,1.90 12800 1600 17.3 2.33ghz c404 camera ddr3 inch laptop lenovo vology,vology lenovo laptop inch ddr3 camera c404 2.33ghz 17.3 1600 12800 1.90
17,1024080,"Lenovo ThinkPad X1 Carbon 3444 - 14"" - Core i7 3667U - Windows 8 Pro 64-bit - 8 GB RAM - 240 GB SSD - Vology","['lenovo', 'thinkpad', 'carbon', '3444', 'core', '3667u', 'windows', 'vology']","{'x1', 'i7'}",i7 x1,3444,lenovo thinkpad carbon 3444 core 3667u windows vology,3444 3667u carbon core lenovo thinkpad vology windows,windows vology thinkpad lenovo core carbon 3667u 3444
18,122978,"LENOVO 2.5"" HOT-SWAP IDEAPAD NOTEBOOK GRADE CENTRINO COMPUTERS USE 500GB 00GHZ BUY 66GHZ WTY 8 - - RAM EBAY CHINA 500","['lenovo', 'swap', 'ideapad', 'notebook', 'grade', 'centrino', 'computers', '00ghz', '66ghz', 'ebay', 'china']",set(),,0,lenovo swap ideapad notebook grade centrino computers 00ghz 66ghz ebay china,00ghz 66ghz centrino china computers ebay grade ideapad lenovo notebook swap,swap notebook lenovo ideapad grade ebay computers china centrino 66ghz 00ghz
19,114795,"Lenovo C7M98UP#ABA M6800 2 3"" | - Core 2 2 Webcam 8GB RAM GB Australia DVD eBay 2.4GHz : Laptops,Famous GHz 4 4 Hdd Computer Accessories 8","['lenovo', 'c7m98up#aba', 'm6800', 'core', 'webcam', 'australia', 'ebay', '2.4ghz', 'laptops', 'famous', 'computer', 'accessories']","{'m6800', 'c7', 'm98'}",c7 m6800 m98,0,lenovo c7m98up#aba m6800 core webcam australia ebay 2.4ghz laptops famous computer accessories,2.4ghz accessories australia c7m98up#aba computer core ebay famous laptops lenovo m6800 webcam,webcam m6800 lenovo laptops famous ebay core computer c7m98up#aba australia accessories 2.4ghz
20,696428,hp | c140919 i5 ultra led china 8 : accessories - gigs 9 laptop 1.90 refurbished 4gb - ram | xp 500,"['c140919', 'ultra', 'china', 'accessories', 'gigs', 'laptop', '1.90', 'refurbished']","{'c140919', 'i5'}",c140919 i5,0,c140919 ultra china accessories gigs laptop 1.90 refurbished,1.90 accessories c140919 china gigs laptop refurbished ultra,ultra refurbished laptop gigs china c140919 accessories 1.90
21,172152,"PANASONIC NETBOOK RAID VOLOGY INCH CORE 1 | 160G CORE2DUO 16,9""","['panasonic', 'netbook', 'raid', 'vology', 'inch', 'core', 'core2duo', '16,9']",{'core2'},core2,0,"panasonic netbook raid vology inch core core2duo 16,9","16,9 core core2duo inch netbook panasonic raid vology","vology raid panasonic netbook inch core2duo core 16,9"
22,925823,"AMAZON.COM VAIO E5504 LAPTOP 2GHZ ONLY HD (1920X1080) DUO (IPS) D2500 2 EBAY 15.6"" (4 SSD 886227298273 1.86 - & COMPUTER - - - : : GT/S PRO - VOLOGY","['amazon.com', 'vaio', 'e5504', 'laptop', '2ghz', '1920x1080', 'd2500', 'ebay', '15.6', '886227298273', '1.86', 'computer', 'vology']","{'e5504', 'd2500', 'x1080'}",d2500 e5504 x1080,886227298273,amazon.com vaio e5504 laptop 2ghz 1920x1080 d2500 ebay 15.6 886227298273 1.86 computer vology,1.86 15.6 1920x1080 2ghz 886227298273 amazon.com computer d2500 e5504 ebay laptop vaio vology,vology vaio laptop ebay e5504 d2500 computer amazon.com 886227298273 2ghz 1920x1080 15.6 1.86
23,1081472,"HP CF-195FWAXLM T420 Intel 6"" 83 Core Vology Core - - Drive Ghz Ultrabook | & Cam Pro Windows 500 LEOPARD-009 1.90 Product Market GB SSD RAM Intel","['cf-195fwaxlm', 't420', 'intel', 'core', 'vology', 'core', 'drive', 'ultrabook', 'windows', 'leopard-009', '1.90', 'product', 'market', 'intel']",{'t420'},t420,0,cf-195fwaxlm t420 intel core vology core drive ultrabook windows leopard-009 1.90 product market intel,1.90 cf-195fwaxlm core core drive intel intel leopard-009 market product t420 ultrabook vology windows,windows vology ultrabook t420 product market leopard-009 intel intel drive core core cf-195fwaxlm 1.90
24,843907,"LENOVO ASPIRE 17R 2 - HDD I3 1 NOTEBOOK RAM RAM, 500GB I5-4300M 64-BIT - 4 SCREEN DUAL CHINA - COMPUTERS,WHOLESALE PC HDD","['lenovo', 'aspire', 'notebook', '4300', 'screen', 'dual', 'china', 'computers', 'wholesale']","{'i3', 'i5'}",i3 i5,4300,lenovo aspire notebook 4300 screen dual china computers wholesale,4300 aspire china computers dual lenovo notebook screen wholesale,wholesale screen notebook lenovo dual computers china aspire 4300
25,401549,500 4530s gt notebook - win8 1tb dvd universal - ram product johannesburg 034 computers pictures dvd 3gb 5ghz - cf-c2acaazcm gb mygofer.com 180 notebooks hd 870m 16gb panasonic 160gb china,"['4530s', 'notebook', 'win8', 'universal', 'product', 'johannesburg', 'computers', 'pictures', '5ghz', 'c2acaazcm', 'mygofer.com', 'notebooks', 'panasonic', 'china']","{'win8', 'c2'}",c2 win8,0,4530s notebook win8 universal product johannesburg computers pictures 5ghz c2acaazcm mygofer.com notebooks panasonic china,4530s 5ghz c2acaazcm china computers johannesburg mygofer.com notebook notebooks panasonic pictures product universal win8,win8 universal product pictures panasonic notebooks notebook mygofer.com johannesburg computers china c2acaazcm 5ghz 4530s
26,884883,"Lenovo ThinkPad X230 2325 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology","['lenovo', 'thinkpad', 'x230', '2325', '12.5', 'core', '3320', 'windows', 'vology']","{'i5', 'x230'}",i5 x230,5645,lenovo thinkpad x230 2325 12.5 core 3320 windows vology,12.5 2325 3320 core lenovo thinkpad vology windows x230,x230 windows vology thinkpad lenovo core 3320 2325 12.5
27,401556,- PRO LED EBAY 4 40GB C2D | ON ATOM HP 1GB SMT700NTSAXAR W520 TOTAL 7 COMPUTERS - 840 NOTEBOOK WEBCAM 11 IN CORE,"['ebay', 'atom', 'smt700ntsaxar', 'w520', 'total', 'computers', 'notebook', 'webcam', 'core']","{'smt700', 'w520', 'c2'}",c2 smt700 w520,0,ebay atom smt700ntsaxar w520 total computers notebook webcam core,atom computers core ebay notebook smt700ntsaxar total w520 webcam,webcam w520 total smt700ntsaxar notebook ebay core computers atom
28,1212563,"Lenovo ThinkPad X1 Carbon Touch 3460 - 14"" - Core i5 3427U - Windows 8 Pro 64-bit - 4 GB RAM - 240 GB SSD - Vology","['lenovo', 'thinkpad', 'carbon', 'touch', '3460', 'core', '3427u', 'windows', 'vology']","{'x1', 'i5'}",i5 x1,3460,lenovo thinkpad carbon touch 3460 core 3427u windows vology,3427u 3460 carbon core lenovo thinkpad touch vology windows,windows vology touch thinkpad lenovo core carbon 3460 3427u
29,1171613,"lenovo series 8470p 11 air 4800m 2520 1 core - inch pricing ghz ddr3,","['lenovo', 'series', '8470p', '4800', '2520', 'core', 'inch', 'pricing', 'ddr3']",{'ddr3'},ddr3,7320,lenovo series 8470p 4800 2520 core inch pricing ddr3,2520 4800 8470p core ddr3 inch lenovo pricing series,series pricing lenovo inch ddr3 core 8470p 4800 2520
30,1147038,"Amazon.com : LB1 High Performance New Acer Black/Silver Aspire E E1-571-6607 15.6"" Laptop PC with Intel Core i3-2348M Processor 4GB Memory 500GB Hard Drive and Windows 7 Home Premium 64-Bit High End Professional Audiophile Wireless Bluetooth Mini Speaker Portable with Built-in Microphone and Micro SD card slot (Silver) : Computers & Accessories","['amazon.com', 'high', 'performance', 'acer', 'black', 'silver', 'aspire', '6607', '15.6', 'laptop', 'intel', 'core', '2348', 'processor', 'memory', 'hard', 'drive', 'windows', 'home', 'premium', 'high', 'professional', 'audiophile', 'wireless', 'bluetooth', 'mini', 'speaker', 'portable', 'built', 'microphone', 'micro', 'card', 'slot', 'silver', 'computers', 'accessories']","{'i3', 'lb1', 'e1'}",e1 i3 lb1,8955,amazon.com high performance acer black silver aspire 6607 15.6 laptop intel core 2348 processor memory hard drive windows home premium high professional audiophile wireless bluetooth mini speaker portable built microphone micro card slot silver computers accessories,15.6 2348 6607 accessories acer amazon.com aspire audiophile black bluetooth built card computers core drive hard high high home intel laptop memory micro microphone mini performance portable premium processor professional silver silver slot speaker windows wireless,wireless windows speaker slot silver silver professional processor premium portable performance mini microphone micro memory laptop intel home high high hard drive core computers card built bluetooth black audiophile aspire amazon.com acer accessories 6607 2348 15.6
31,704675,PAYPAL CF-31WBL751M GB THINKPAD I7 EBAY 1866MHZ KIT PHENOM CE GHZ PRO DVD DV7 XGA EBAY PDW0AU00601F GHZ EBAY 500 COMPUTERS COMPUTERS HD - RAM 7 GB GRAPHICS,"['paypal', 'cf-31wbl751', 'thinkpad', 'ebay', '1866mhz', 'phenom', 'ebay', 'pdw0au00601f', 'ebay', 'computers', 'computers', 'graphics']","{'wbl751', 'pdw0', 'i7', 'dv7', 'au00601'}",au00601 dv7 i7 pdw0 wbl751,0,paypal cf-31wbl751 thinkpad ebay 1866mhz phenom ebay pdw0au00601f ebay computers computers graphics,1866mhz cf-31wbl751 computers computers ebay ebay ebay graphics paypal pdw0au00601f phenom thinkpad,thinkpad phenom pdw0au00601f paypal graphics ebay ebay ebay computers computers cf-31wbl751 1866mhz
32,1007779,"14"" UX21ERF T430S 2441 CORE HP SSDÂDVDRWÂWIN7ÂOFFICE2010ÂWIFINÂHDMI","['ux21erf', 't430s', '2441', 'core', 'ssdadvdrwawin7aoffice2010awifinahdmi']","{'ux21', 'win7', 'office2010', 't430'}",office2010 t430 ux21 win7,2441,ux21erf t430s 2441 core ssdadvdrwawin7aoffice2010awifinahdmi,2441 core ssdadvdrwawin7aoffice2010awifinahdmi t430s ux21erf,ux21erf t430s ssdadvdrwawin7aoffice2010awifinahdmi core 2441
33,286888,"HDD, Lenovo 2740p : Computer Android - (81Y6554) 20CD 7 Notebook I5 250GB i5-4300M | Latitude i3","['lenovo', '2740p', 'computer', 'android', '81y6554', '20cd', 'notebook', '4300', 'latitude']","{'i3', 'i5', 'y6554'}",i3 i5 y6554,4300,lenovo 2740p computer android 81y6554 20cd notebook 4300 latitude,20cd 2740p 4300 81y6554 android computer latitude lenovo notebook,notebook lenovo latitude computer android 81y6554 4300 2740p 20cd
34,385194,"Lenovo EliteDisplay - Years Edition 3"" 500 15.6-Inch DVD Usb Office Details 500GB GHz NVIDIA STAR® Mediatek MyGofer.com RAM","['lenovo', 'elitedisplay', 'years', 'edition', '15.6', 'inch', 'office', 'details', 'nvidia', 'star(r', 'mediatek', 'mygofer.com']",set(),,0,lenovo elitedisplay years edition 15.6 inch office details nvidia star(r mediatek mygofer.com,15.6 details edition elitedisplay inch lenovo mediatek mygofer.com nvidia office star(r years,years star(r office nvidia mygofer.com mediatek lenovo inch elitedisplay edition details 15.6
35,467117,"HP : 450 LED Laptop 250GB 2GB GB Core 3320M i7 Windows | Chinese Dvd - Laptops Buy Core 884942262777 - GB BDRE Product 7 60, NVIDIA, Comparatif","['laptop', 'core', '3320', 'windows', 'chinese', 'laptops', 'core', '884942262777', 'bdre', 'product', 'nvidia', 'comparatif']",{'i7'},i7,884942266097,laptop core 3320 windows chinese laptops core 884942262777 bdre product nvidia comparatif,3320 884942262777 bdre chinese comparatif core core laptop laptops nvidia product windows,windows product nvidia laptops laptop core core comparatif chinese bdre 884942262777 3320
36,368813,hp latitude 17 touch refurbished pc touch 7 core m 3427u 3g full condition 128 wifi ray laptops,"['latitude', 'touch', 'refurbished', 'touch', 'core', '3427u', 'condition', 'wifi', 'laptops']",set(),,0,latitude touch refurbished touch core 3427u condition wifi laptops,3427u condition core laptops latitude refurbished touch touch wifi,wifi touch touch refurbished latitude laptops core condition 3427u
37,204975,"Lenovo ThinkPad X230 Tablet 3438 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - Vology","['lenovo', 'thinkpad', 'x230', 'tablet', '3438', '12.5', 'core', '3320', 'windows', 'vology']","{'i5', 'x230'}",i5 x230,6758,lenovo thinkpad x230 tablet 3438 12.5 core 3320 windows vology,12.5 3320 3438 core lenovo tablet thinkpad vology windows x230,x230 windows vology thinkpad tablet lenovo core 3438 3320 12.5
38,958643,twin notebook - core hp & - 3d hybrid 250gb 500gb ram | 1tb 8.1 gemplus ebay led duo android,"['twin', 'notebook', 'core', 'hybrid', 'gemplus', 'ebay', 'android']",set(),,0,twin notebook core hybrid gemplus ebay android,android core ebay gemplus hybrid notebook twin,twin notebook hybrid gemplus ebay core android
39,172216,Amazon.com : Acer Aspire NX.MHFAA.002;E1-572-6484 15.6-Inch Laptop : Computers & Accessories,"['amazon.com', 'acer', 'aspire', 'nx.mhfaa.002;e1', '6484', '15.6', 'inch', 'laptop', 'computers', 'accessories']",{'e1'},e1,6484,amazon.com acer aspire nx.mhfaa.002;e1 6484 15.6 inch laptop computers accessories,15.6 6484 accessories acer amazon.com aspire computers inch laptop nx.mhfaa.002;e1,nx.mhfaa.002;e1 laptop inch computers aspire amazon.com acer accessories 6484 15.6
40,983230,"LENOVO - EBAY LAPTOPS (HS) LAPTOP JAPAN,USED CHEAP SSD - I7 CORTEX T420S NQ0023 YR EBAY 8 PRODUCT COMPUTERS ANDROID 16 - 15 NVIDIA, CONVERTIBLE (ID:160541124) COMPUTERS LED UK NO 7","['lenovo', 'ebay', 'laptops', 'laptop', 'japan', 'cheap', 'cortex', 't420s', 'nq0023', 'ebay', 'product', 'computers', 'android', 'nvidia', 'convertible', 'id:160541124', 'computers']","{'t420', 'nq0023', 'i7'}",i7 nq0023 t420,0,lenovo ebay laptops laptop japan cheap cortex t420s nq0023 ebay product computers android nvidia convertible id:160541124 computers,android cheap computers computers convertible cortex ebay ebay id:160541124 japan laptop laptops lenovo nq0023 nvidia product t420s,t420s product nvidia nq0023 lenovo laptops laptop japan id:160541124 ebay ebay cortex convertible computers computers cheap android
41,590021,Lenovo Notebook Dell G1 Intel i3-4000M Toughbook Laptops Core Pro,"['lenovo', 'notebook', 'dell', 'intel', '4000', 'toughbook', 'laptops', 'core']","{'i3', 'g1'}",g1 i3,4000,lenovo notebook dell intel 4000 toughbook laptops core,4000 core dell intel laptops lenovo notebook toughbook,toughbook notebook lenovo laptops intel dell core 4000
42,434374,"Lenovo ThinkPad X230 2324 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 180 GB SSD - with UltraBase Series 3 - Vology","['lenovo', 'thinkpad', 'x230', '2324', '12.5', 'core', '3320', 'windows', 'ultrabase', 'series', 'vology']","{'i5', 'x230'}",i5 x230,5644,lenovo thinkpad x230 2324 12.5 core 3320 windows ultrabase series vology,12.5 2324 3320 core lenovo series thinkpad ultrabase vology windows x230,x230 windows vology ultrabase thinkpad series lenovo core 3320 2324 12.5
43,114889,"lenovo latitude t430 15.5"", - 15.6"" notebook pc 32gb hdd core,4gb - nbd | dvdrw hdd ebay ram x","['lenovo', 'latitude', 't430', '15.5', '15.6', 'notebook', 'core,4', 'dvdrw', 'ebay']",{'t430'},t430,0,"lenovo latitude t430 15.5 15.6 notebook core,4 dvdrw ebay","15.5 15.6 core,4 dvdrw ebay latitude lenovo notebook t430","t430 notebook lenovo latitude ebay dvdrw core,4 15.6 15.5"
44,57547,"lenovo thinkpad hp lifebook company via8880 ebay / resolution, low notebook dual-core/ xp mesfebhl | windows 4 laptop pc,netbook black","['lenovo', 'thinkpad', 'lifebook', 'company', 'via8880', 'ebay', 'resolution', 'notebook', 'dual', 'core/', 'mesfebhl', 'windows', 'laptop', 'netbook', 'black']",{'via8880'},via8880,0,lenovo thinkpad lifebook company via8880 ebay resolution notebook dual core/ mesfebhl windows laptop netbook black,black company core/ dual ebay laptop lenovo lifebook mesfebhl netbook notebook resolution thinkpad via8880 windows,windows via8880 thinkpad resolution notebook netbook mesfebhl lifebook lenovo laptop ebay dual core/ company black
45,41182,"Lenovo ThinkPad X130e 2338 - 11.6"" - Core i3 2367M - Windows 7 Home Premium 64-bit - 2 GB RAM - 320 GB HDD - Vology","['lenovo', 'thinkpad', 'x130e', '2338', '11.6', 'core', '2367', 'windows', 'home', 'premium', 'vology']","{'x130', 'i3'}",i3 x130,4705,lenovo thinkpad x130e 2338 11.6 core 2367 windows home premium vology,11.6 2338 2367 core home lenovo premium thinkpad vology windows x130e,x130e windows vology thinkpad premium lenovo home core 2367 2338 11.6
46,418025,"Lenovo ThinkPad X230 Tablet 3435 - 12.5"" - Core i5 3320M - Windows 7 Pro 64-bit - 4 GB RAM - 500 GB HDD - with UltraBase Series 3 - Vology","['lenovo', 'thinkpad', 'x230', 'tablet', '3435', '12.5', 'core', '3320', 'windows', 'ultrabase', 'series', 'vology']","{'i5', 'x230'}",i5 x230,6755,lenovo thinkpad x230 tablet 3435 12.5 core 3320 windows ultrabase series vology,12.5 3320 3435 core lenovo series tablet thinkpad ultrabase vology windows x230,x230 windows vology ultrabase thinkpad tablet series lenovo core 3435 3320 12.5
47,778474,"Dell U4RA3E - | Intel 14"" 13 83 Intel 8GB 750GB & i7 | Laptop GHz Computers Silver eBay -","['dell', 'u4ra3e', 'intel', 'intel', 'laptop', 'computers', 'silver', 'ebay']","{'u4', 'ra3', 'i7'}",i7 ra3 u4,0,dell u4ra3e intel intel laptop computers silver ebay,computers dell ebay intel intel laptop silver u4ra3e,u4ra3e silver laptop intel intel ebay dell computers
48,786668,"adapter - lenovo 2 ram i3-2348m 7 ebay pc, touchsmart chromebook - 20dh002tus","['adapter', 'lenovo', '2348', 'ebay', 'touchsmart', 'chromebook', '20dh002tus']","{'i3', 'dh002'}",dh002 i3,2348,adapter lenovo 2348 ebay touchsmart chromebook 20dh002tus,20dh002tus 2348 adapter chromebook ebay lenovo touchsmart,touchsmart lenovo ebay chromebook adapter 2348 20dh002tus
49,884988,AMD PANASONIC 1 INSPIRON ULTIMATE - 2ND GB 1GB UP E545 COMBO - 1080P EBAY 3230M '07 LAPTOP LAPTOP,"['panasonic', 'inspiron', 'ultimate', 'e545', 'combo', '1080p', 'ebay', '3230', 'laptop', 'laptop']",{'e545'},e545,3230,panasonic inspiron ultimate e545 combo 1080p ebay 3230 laptop laptop,1080p 3230 combo e545 ebay inspiron laptop laptop panasonic ultimate,ultimate panasonic laptop laptop inspiron ebay e545 combo 3230 1080p
50,262399,"HP (HEWLETT-PACKARD) LENOVO TOUCH 15.6"" | ZBOOK I7 L-158582 WHITE 4GB HDD 8MS - EBAY RAY WINDOWS","['hewlett', 'packard', 'lenovo', 'touch', '15.6', 'zbook', 'l-158582', 'white', 'ebay', 'windows']",{'i7'},i7,0,hewlett packard lenovo touch 15.6 zbook l-158582 white ebay windows,15.6 ebay hewlett l-158582 lenovo packard touch white windows zbook,zbook windows white touch packard lenovo l-158582 hewlett ebay 15.6
