"name","price","brand","category","description","name_2","price_2","brand_2","category_2","description_2"
"Basic Line 16GB,Intenso,3502470","6.77","nan","nan","nan","Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz","nan","nan","nan","nan"
"SanDisk Cruzer Glide 256 GB USB-Flash-Laufwerk USB 2.0","87.92","nan","nan","nan","USB STICK CRUIZER GLIDE 256GB","149.9","nan","nan","nan"
"Toshiba THN-U202W1280E4, 128 GB, 2.0, USB-Anschluss Typ A, Kappe, 8 g, Weiß","37.71","Toshiba","nan","nan","Toshiba TransMemory U202 128GB USB Flash Drive USB 2.0 - White - THN-U202W1280E4","nan","nan","nan","nan"
"Intenso Rainbow Line - USB-Stick - 4 GB - Blau","7.95","nan","nan","nan","Intenso Rainbow Line 4GB USB Stick 2.0 Es Media Intenso","9.18","nan","nan","Saber más sobre Guardado y comparar para elegir mejor. 5% de descuento para Socios. Puedes comprar online Fnac.es y recoger en tienda gratis."
"Shop Samsung Galaxy A10 Dual SIM Blue 32GB 4G LTE online in Egypt","2040.0","Samsung","nan","Online shopping for Samsung, and more. Get amazing prices in Egypt","Shop Samsung Galaxy A10 Dual SIM Blue 32GB 4G LTE online in Egypt","2039.0","Samsung","nan","Online shopping for Samsung, and more. Get amazing prices in Egypt"
"Intenso Rainbow Line 4 GB USB-Stick USB 2.0 blau","5.49","nan","nan","nan","Intenso Rainbow Line USB 2.0 (4GB) USB-Speicherstick blau","5.0","Intenso","nan","nan"
"Sony USM32GR Noir Clé USB 32Go,Sony,558J683,Clé USB","28.79","nan","nan","nan","Sony USM32GR","20.99","nan","nan","nan"
"Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister","21.41","nan","nan","nan","Lexar 16GB JumpDrive S70 - Pendrive / Memoria USB en Fnac.es","nan","nan","nan","nan"
"Kingston Scheda SD Professionale SDA10/16GB UHS-I SDHC/SDXC di Classe 10 - 16GB","14.39","nan","nan","nan","Kingston Carte SD Professionnelles SDA10/16GB UHS-I SDHC/SDXC Classe 10 - 16Go","13.91","nan","nan","nan"
"Carte Mémoire Sandisk ultra PLUS MicroSDXC 128Go 80Mo/seconde UHS-I avec adaptateur SD\n","80.04","Carte","nan","Carte Mémoire Sandisk ultra PLUS MicroSDXC 128Go 80Mo/seconde UHS-I avec adaptateur SD. Carte mémoire micro SD. Capacité de stockage : 128 Go. Remise de 5% pour les adhérents.","SANDISK Ultra Performance Class 10 microSD Memory Card - 128 GB","69.99","nan","nan","nan"
"Pendrive direct: SDXC X GB PRO SD 2.0 Sddd3-128G-G46 MINIPRICE","24.9","nan","nan","nan","PENDRIVE DIRECT: SDXC X GB PRO 2.0 SDDD3-128G-G46 MINIPRICE","15.99","nan","nan","nan"
"LEXAR MICRO XQD 1000X ULTRA UHS - RDR 128 U3 UHS","4.99","Lexar","nan","nan","Lexar micro XQD 1000x ultra UHS - RDR 128 U3 UHS","4.99","Lexar","nan","nan"
"Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister","21.41","nan","nan","nan","Lexar Professional JumpDrive S70 16GB USB 2.0 Retractable Design Flash Drive Memory Stick - Grey","12.99","nan","nan","nan"
"MEMORIA DE 64GB 8GB, 1000X 2.0 MEMORY","22.99","nan","nan","nan","Memoria de 64GB 8GB, 1000x 2.0 GB Memory","22.97","nan","nan","nan"
"Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819)","14.71","nan","nan","nan","Tesco direct: Kingston 16GB Data Traveler USB Card","17.0","nan","nan","nan"
"kingston pami?ci flair, gb 32 gb (3.1 sd sdhc r130","42.99","Kingston","nan","nan","Kingston SDHC Flair, 32 GB (3.1 SD pami?ci R130","39.99","Kingston","nan","nan"
"Sony 8GB SDHC Secure Digital Flash Memory Card - PERFORMANCE Series Class 10 UHS-1 (Read 90MB/s) - SF8U,Sony,CAN985","14.4","nan","nan","nan","Sony SF8U - Tarjeta de Memoria SDHC de 8 GB (Clase 4, 40 MB/s, UHS-I),Sony,CAN985","12.38","nan","nan","nan"
"PNY Attaché 4 - USB-flashstation - 8 GB\n","8.02","PNY","nan","PNY Attaché 4 - USB-flashstation - 8 GB. CompactFlash kaart. Standaardkorting van -5% voor leden. Koop je hightech producten (computer, pc, electronica, computer accessoires) online en haal ze af in de winkel.","Pendrive 8GB PNY Attaché4 2.0 Negro","8.99","nan","nan","nan"
"Toshiba Exceria Pro M401 Micro SDHC kort 16 GB - Minneskort, USB-minne","179.0","nan","nan","nan","Tesco direct: Toshiba THN-M401S0160E2 16GB MicroSD NAND Class 10 memory card","16.15","nan","nan","nan"
"TOSHIBA EXCERIA PRO N101, 32 GB","94.95","nan","nan","nan","Tesco direct: Toshiba 32 GB Exceria PRO 32GB SDHC UHS Class 3 memory card","84.54","nan","nan","nan"
"Tarjeta microSDHC SanDisk Extreme Pro UHS-1 16GB en Fnac.es","15.59","nan","nan","nan","Carte micro SD Sandisk EXTREME PLUS MICRO SDHC 16 Go - MSD 16GB EXT PLUS V2 (4144520)","46.32","nan","nan","nan"
"Lexar P20 128GB USB 3.0 JumpDrive - LJDP20-128CRBEU","82.08","nan","nan","nan","Clé USB Lexar P20 USB 3.0 128 GO (4187407)","90.11","nan","nan","nan"
"Clé USB3.0 Lexar JumpDrive S25 32 Go Vert et blanc","nan","nan","nan","nan","Lexar LJDS25-32GABEU JumpDrive S25 32Go USB 3.0 Flash Drive vert","20.29","nan","nan","nan"
"Intenso Rainbow Line - Memoria USB2.0 de 4 GB, color negro","5.98","nan","nan","nan","Clé USB Intenso Cl&amp;eacute; USB 4GB INTENSO Rainbow Line - Sous Blister (MK483972804)","7.14","nan","nan","nan"
"Clé USB Sony Clé OTG 16Go USM16CA1 type C et USB 3.1 (4190041)","29.99","nan","nan","nan","Clé USB 3.1 Sony Type C 16 Go + Etui en Métal Argent","19.99","nan","nan","nan"
"Toshiba EXCERIA SDHC 32 GB UHS-I (U3 - up to 95MB/s read) Flash Memory Card: Toshiba","29.42","nan","nan","nan","Memoria Toshiba microSDHC 32GB Class 10 Exceria Ultra High Speed UHS-I","20.99","Toshiba","nan","nan"
"SANDISK Cruzer&reg; Glide&trade; USB Flash-Laufwerk, 256 GB","79.99","nan","nan","nan","SanDisk Cruzer Glide 256 GB USB-Flash-Laufwerk USB 2.0","87.92","nan","nan","nan"
"Tesco direct: Lexar JumpDrive C20c 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Black Silver","nan","nan","nan","nan","Lexar JumpDrive C20m 128 GB micro-USB Flash Drive,LEXJ4,LJDC20m-128BBEU","39.68","nan","nan","nan"
"Intenso Rainbow Line 4GB USB Stick 2.0 Es Media Intenso","9.18","nan","nan","Saber más sobre Guardado y comparar para elegir mejor. 5% de descuento para Socios. Puedes comprar online Fnac.es y recoger en tienda gratis.","Intenso INT-3502450 Memory Stick Rainbow Line USB, 4 GB, Blu","nan","nan","nan","nan"
"Clé 128GB PRO® Glide Class 8 R95/W90 zu 260 Vitesse Adattatore (Burgundy) 90 Type hasta 2","99.99","nan","nan","nan","TYPE 2 PRO® GLIDE HASTA VITESSE R95/W90 90 CLASS 8 CLÉ 128GB ADATTATORE 260 ZU (BURGUNDY)","90.99","nan","nan","nan"
"kingston usb plus 512 geheugenkaart usb 32gb- 10 carte |","45.99","Kingston","nan","nan","Kingston USB 64GB Plus 512 Geheugenkaart USB 32GB- 10 Carte |","35.49","Kingston","nan","nan"
"Toshiba Exceria Pro N401 SDHC kort 32 GB - Minneskort till kamera","299.0","nan","nan","nan","Toshiba Exceria Pro N401 32GB SD Memory Card 95 MB/s 4K HD - THN-N401S0320E4","21.99","nan","nan","nan"
"Pami?? USB KINGSTON DataTraveler G4 64 GB Bia?o","129.0","nan","nan","nan","Kingston DTIG4/64GB DataTraveler Memoria Flash, USB 3.0, 64 GB, Bianco/Viola","nan","nan","nan","nan"
"Kingston SDA10/16GB UHS-I SDHC/SDXC SD-Karte Klasse 10 Speicherkarte","17.05","nan","nan","nan","Kingston SDHC 16GB Ultimate Memory Class 10 UHS-I","450.0","nan","nan","nan"
"Tesco direct: Kingston 256 GB SDXC","98.6","nan","nan","nan","Kingston - carte mémoire flash - 256 Go - SDXC","nan","nan","nan","nan"
"USB Ultra SDXC 128GB Plus, -","nan","nan","nan","nan","USB ULTRA SDXC 128GB PLUS, -","nan","nan","nan","nan"
"Clé USB Intenso Cl&amp;eacute; USB 8GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883071)","10.55","nan","nan","nan","Intenso Premium Line 8GB Speicherstick USB 3.0 silber","8.99","nan","nan","nan"
"Toshiba EXCERIA N302 N302 SDXC 128GB 128GB SDXC UHS-I Clase 10 memoria flash - Tarjeta de memoria (128 GB, SDXC, Clase 10, 90 MB/s, UHS-I, 24 mm)","nan","nan","nan","nan","Toshiba Exceria N302 128GB SD Memory Card 90 MB/s 4K HD - THN-N302R1280E4","39.99","nan","nan","nan"
"Sandisk 64GB A10 Cruzer 32 Unidad + Trasparente -50% - Nero/Antracite GB vie UHS-I to Fnac.es 80","149.0","Sandisk","nan","nan","SANDISK 64GB A10 CRUZER 32 UNIDAD + TRASPARENTE -50% - NERO/ANTRACITE GB VIE UHS-I TO FNAC.ES 80","105.99","Sandisk","nan","nan"
"Clé USB Intenso Cl&amp;eacute; USB 64GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883101)","39.22","nan","nan","nan","Clé USB Intenso Cl&amp;eacute; USB 64GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883101)","40.42","nan","nan","nan"
"Memoria USB Lexar Jumpdrive C20c 128 GB en Fnac.es","79.99","nan","nan","nan","Clé USB Lexar JumpDrive C20c 128GB 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Noir, Argent lecteur USB flash (MK1008030400)","72.51","nan","nan","nan"
"Lexar XQD 32GB X1400 PROFESSIONAL XQD +KUPON PREMIUM -50% na AB FOTOKSI??K? - Abfoto","329.0","nan","nan","nan","Lexar 32 GB 1400X Professional XQD CompactFlash Card","nan","nan","nan","nan"
"Toshiba Exceria Pro N401 32GB SD Memory Card 95 MB/s 4K HD - THN-N401S0320E4","24.99","nan","nan","nan","Toshiba Exceria Pro N401 SDHC 32 GB UHS-I U3 Class 10","24.9","nan","nan","nan"
"LEXAR - JumpDrive USB 2.0 16GB&nbsp;grey/orange","19.9","nan","nan","nan","Lexar Professional JumpDrive S70 16GB USB 2.0 Retractable Design Flash Drive Memory Stick - Grey","12.99","nan","nan","nan"
"Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go","66.54","Accessoires","nan","nan","Achat Mémoire Ultra Plus 32 Go 80Mo/s Sandisk dans le rayon Carte SD","34.99","nan","nan","nan"
"Memoria Toshiba Exceria microSDXC Clase 10 UHS-I Class 3 16GB","6.99","Toshiba","nan","nan","Memoria Toshiba Exceria microSDXC Class 10 UHS-I Class 3 64GB","53.99","Toshiba","nan","nan"
"Kingston SDCIT/8GB microSDHC 8 GB UHS-I Class 10 Industrial Temperature Card + SD Adapter, Black","9.67","nan","nan","nan","8GB Micro SDHC Class 10 UHS-I 45MB/s Read Card + SD Adapter","11.25","nan","nan","nan"
"Carte mémoire Sandisk MicroSDHC 16Go Sandisk Extreme Pro CL10 UHS-I 95MBs/633x Bulk/Mini Case (MK93587531)","41.16","nan","nan","nan","SanDisk Extreme PRO microSDHC Minneskort 16 GB - Minneskort till mobil","379.0","nan","nan","nan"
"Toshiba EXCERIA PRO - N401 32GB SDHC UHS-I Class 3 memory card - memory cards (32 GB, SDHC, Class 3, 95 MB/s, 75 MB/s, UHS-I)","nan","nan","nan","nan","Toshiba Exceria Pro N401 SDHC 32 GB UHS-I U3 Class 10","24.9","nan","nan","nan"
"Kingston DataTraveler DT101G2 32 GB USB-Stick USB 2.0 lila [Amazon Frustfreie Verpackung],Kingston,DT101G2/32GB","23.25","nan","nan","nan","Kingston DataTraveler DT101G2 32GB USB-Stick USB 2.0 lila","nan","nan","nan","nan"
"Pendrive 8GB PNY Attaché4 2.0 Negro","8.99","nan","nan","nan","Attache 4 - Black Pny Achat dans le rayon Clés USB Usb 2.0","7.71","nan","nan","nan"
"USB Adaptor USB SDXC Dual SanDisk Style - Go OTG Go","140.99","SanDisk","nan","nan","SanDisk - Dual Style OTG 64GB Go USB Adaptor Go SDXC USB","131.99","SanDisk","nan","nan"
"SDSDXVE SD Plus my?l? na 64GB SDCA3, de | U3 10, Carte Achat gelb ffp","53.99","nan","nan","nan","Carte SDSDXVE Plus 64GB Achat SD dual gelb | U3 10, my?l? de na SDCA3, ffp","76.99","nan","nan","nan"
"Intenso Premium Line USB Stick (64GB)","32.99","Intenso","nan","nan","Intenso 3534490 - Memoria USB Llave USB en Fnac.es","nan","nan","nan","nan"
"Sony Micro Vault OTG CA1 DUO 16GB (USM16CA1) (st?íbrný)","729.0","nan","nan","nan","Sony USM-CA MicroVault USB 3.1 16 GB – silber","23.5","nan","nan","nan"
"JumpDrive P20 - USB 3.0 - 32 Go LEXAR Achat dans le rayon Clés USB USB 3.0","71.78","nan","nan","nan","Lexar P20 32Go USB 3.0 JumpDrive - LJDP20-32GCRBEU","46.02","nan","nan","nan"
"Clé USB Intenso Cl&amp;eacute; USB 4GB INTENSO Rainbow Line - Sous Blister (MK483972804)","7.14","nan","nan","nan","Intenso Rainbow Line - USB-Stick - 4 GB - Blau","7.95","nan","nan","nan"
"Scheda memoria microSDHC SanDisk Ultra Plus, classe 10, Velocità di lettura fino a 80&nbsp;MB/s + adattatore SD 128 Gb,SanDisk,SDSQUSC-128G-GN6MA","90.65","nan","nan","nan","Carte Mémoire microSDHC SanDisk Ultra Plus 128 Go, Classe 10, Vitesse de Lecture Allant jusqu'à 80 Mo/s + Adaptateur SD","74.99","nan","nan","nan"
"Clé USB Lexar JUMPDRIVE S25 64GB (4110315)","39.9","nan","nan","nan","Lexar JumpDrive S25 USB 3.0 64GB","34.0","nan","nan","nan"
"clé sdcz60-032g-b35 ultra 64go 633x ultra micro achat 64","207.99","nan","nan","nan","Clé SDCZ60-032G-B35 ultra 64Go 633x Ultra Micro micro Achat 64","139.99","nan","nan","nan"
"Scheda Lexar Professional 32GB 1400x XQD 2.0 - LXQD32GCRBEU1400","nan","nan","nan","nan","Lexar XQD 32GB 210MB/s 1400x","989.0","nan","nan","nan"
"Kingston HXS3/512GB HyperX Savage Memoria Flash, USB 3.0, 512 GB, Lettura 350 MB/s, Scrittura 250 MB/s, Nero/Rosso","232.89","nan","nan","nan","Hyperx - 512gb 512gb USB 3.1/Usb 3.0 Negro, Rojo Unidad Flash USB Mercado Actual Kingston Technology","255.99","nan","nan","Saber más sobre Guardado y comparar para elegir mejor. 5% de descuento para Socios. Puedes comprar online Fnac.es y recoger en tienda gratis."
"Lexar XQD SR16UYA, 128GB pendrive flash 300MB/s","8.85","Lexar","nan","nan","lexar sr16uya, 128gb pendrive flash 300mb/s","11.99","Lexar","nan","nan"
"Pami?? SANDISK EXTREME 16GB, Pami?ci przeno?ne","85.0","nan","nan","nan","Sandisk - 16gb Extreme en Fnac.es","nan","nan","nan","nan"
"Mémoire 32GB JumpDrive C20m LEXAR Achat dans le rayon Clés USB USB 3.1","21.05","nan","nan","nan","Pendrive Lexar JumpDrive C20m USB 3.1 32 GB con cable plata/negro/azul","32.9","Lexar","nan","nan"
"SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive","82.99","nan","nan","nan","Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB en Fnac.es","nan","nan","nan","nan"
"Sony Micro Vault R-Series - Memoria USB de 32 GB, negro","20.91","nan","nan","nan","SONY - USM32GR&nbsp;Nero","29.9","nan","nan","nan"
"Toshiba THN-M401S0160E2 16 GB EXCERIA PRO M401 MicroSD Card","13.01","nan","nan","nan","Toshiba THN-M401S0160E2 Exceria Pro M401 Tarjeta MicroSD de 16GB, Blanco","12.99","nan","nan","nan"
"PNY Attache 4 2.0 USB-Stick, Schwarz, 128 GB Günstig und gut Stock 128 GB Preis\\u002FLeistung top Günstiger Stick USb 128 GB Preis-Leistung ist nicht zu topen USB 128 GB neu DVD und Blu Ray Disc und Computer und Apple Computer und USB Guter Preis \\u002F mäßige Leistung Guter USB Stick für wenig Geld Handliche Datensicherung {{product}} Technische Daten Technische Daten Produktbeschreibung Produktdatenblatt Produktbewertungen Bewerten Sie dieses Produkt Titel Titel Vielen Dank Zubehör Lieferung Abholung","17.99","nan","nan","nan","PNY Attache 4 USB 2.0 Memory Stick - 128 GB, Black","23.99","nan","nan","nan"
"GB Carte Adapter MicroSDHC 10 SDXC Fnac.es Kingston 16 64GB+ADAPTADOR UHS-1","19.99","Kingston","nan","nan","Kingston Carte SDXC MicroSDHC UHS-1 64GB+ADAPTADOR 16 GB Fnac.es 10 Adapter","14.75","Kingston","nan","nan"
"Kingston - carte mémoire flash - 16 Go - microSDHC UHS-I","nan","nan","nan","nan","Kingston microSD Action Camera UHS-I U3 SDCAC 16GB Speicherkarte mit Adapter","14.59","nan","nan","nan"
"Clé USB Intenso Cl&amp;eacute; USB 64GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883101)","39.22","nan","nan","nan","Intenso 3534490 - Memoria USB Llave USB en Fnac.es","nan","nan","nan","nan"
"Lexar XQD 32GB 210MB/s 1400x","989.0","nan","nan","nan","Lexar XQD 32GB 210MB/s 1400x","898.0","nan","nan","nan"
"SanDisk Alu 1000x Memoria PLUS 100MB/s 3.0 A1 Up - dans rayon","53.55","SanDisk","nan","XQD","Up 1000x A1 3.0 PLUS 100MB/s Memoria SanDisk rayon dans Alu","40.99","SanDisk","nan","XQD"
"Tesco direct: Lexar JumpDrive C20c 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Black Silver","nan","nan","nan","nan","Pami?? LEXAR JumpDrive C20c (LJDC20C Pami?? LEXAR JumpDrive C20c (LJDC20C","339.99","Pami?? Pami??","nan","nan"
"TOSHIBA EXCERIA PRO N101, 64 GB","154.95","nan","nan","nan","Toshiba 64GB Exceria PRO 64GB SDHC UHS Clase 3 memoria flash - Tarjeta de memoria (64 GB, SDHC, Clase 3, 260 MB/s, 240 MB/s, UHS)","147.9","nan","nan","nan"
"TOSHIBA Exceria Pro N401 , 32 GB","35.99","nan","nan","nan","Toshiba Exceria Pro N401 SDHC 32 GB UHS-I U3 Class 10","24.9","nan","nan","nan"
"Lexar JumpDrive C20c 128 GB USB Type-C Flash Drive","50.23","nan","nan","nan","Clé USB Lexar JumpDrive C20c 128GB 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Noir, Argent lecteur USB flash (MK1008030400)","72.51","nan","nan","nan"
"SONY MicroSDHC+SD Pro 32GB flash USB 256GB Sehr Droni LTE, (95R/90W) Pro Memory","249.0","SONY","nan","nan","sony microsdhc+sd pro 32gb flash usb 256gb sehr droni lte, (95r/90w) pro memory","306.99","SONY","nan","nan"
"Clé USB Intenso Cl&amp;eacute; USB 16GB Intenso Basic Line - Sous blister (MK48541586)","8.84","nan","nan","nan","Intenso Basic Line 3503470 - Memoria USB 2.0 (16 GB), color negro y plateado","7.96","nan","nan","nan"
"Sony Usm32Gr Noir Clé Usb 32Go","nan","nan","nan","nan","Usb Key 32 Gb 2 Yr Wrnty Sony Achat dans le rayon Clés USB Usb 2.0","19.22","nan","nan","nan"
"PNY Attaché 4","17.35","PNY TECHNOLOGIES","nan","nan","Clé USB Pny Attach? 4 8GB USB 2.0 Noir lecteur USB flash (MK63501284)","14.64","nan","nan","nan"
"Toshiba SDHC EXCERIA PRO 64GB, silber","59.95","nan","nan","nan","Toshiba Exceria Pro N401 SDXC kort 64 GB - Minneskort, USB-minne","499.0","nan","nan","nan"
"Lexar 16GB JumpDrive S70 - Pendrive / Memoria USB en Fnac.es","nan","nan","nan","nan","Lexar LJDS70-16GABEU JumpDrive S70 Chiavetta USB 2.0, 16 GB, Grigio","11.99","nan","nan","nan"
"Intenso Rainbow Line - USB-Stick - 4 GB - Blau","7.95","nan","nan","nan","Intenso INT-3502450 Memory Stick Rainbow Line USB, 4 GB, Blu","nan","nan","nan","nan"
"Toshiba Exceria N302 128GB SD Memory Card 90 MB/s 4K HD - THN-N302R1280E4","39.99","nan","nan","nan","Toshiba Exceria N302 SDXC kort 128 GB - Minneskort till kamera","699.0","nan","nan","nan"
"Intenso premium line 64gb usb 3.0 (3534490)\n","41.15","Intenso","nan","Intenso premium line 64gb usb 3.0 (3534490). Clé USB. Remise 5% pour les adhérents. Achetez vos produits high-tech (ordinateur, ipad, accessoires informatique) en ligne et retirez-les en magasin.","Clé USB Intenso Cl&amp;eacute; USB 64GB Intenso FlashDrive Premium Line 3.0 - blister aluminium (MK935883101)","40.42","nan","nan","nan"
"INTENSO 3503470 Basic Line 16 GB, USB-Stick, USB 2.0, 16 GB","7.99","nan","nan","nan","Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz","nan","nan","nan","nan"
"lexar r400 le microsd-karte,toshiba,thn-m401s0640e2 sdhc 16 sdhc (16gb) ii","29.99","Lexar","nan","SanDisk","Lexar SDHC SDHC (16GB) II 16 R400 MicroSD-Karte,Toshiba,THN-M401S0640E2 le","22.99","Lexar","nan","SanDisk"
"Carte mémoire SDXC SanDisk Ultra PLUS 64 Go, Classe 10","37.99","nan","nan","nan","SANDISK Ultra Plus Class 10 SDXC Memory Card - 64 GB","39.99","nan","nan","nan"
"Tarjeta Ultra - USB 32GB SanDisk 2.0 10 GB 16 Class","13.99","SanDisk","nan","SDXC","tarjeta ultra - usb 32gb sandisk 2.0 10 gb 16 class","15.99","SanDisk","nan","SDXC"
"Intenso 16GB Basic USB2.0 - Pendrive / Memoria USB Mercado Actual Intenso","8.99","nan","nan","Saber más sobre Guardado y comparar para elegir mejor. 5% de descuento para Socios. Puedes comprar online Fnac.es y recoger en tienda gratis.","INTENSO 3503470 Basic Line 16 GB USB-Stick 16 GB","7.99","nan","nan","nan"
"Kingston SDXC 128GB Class 10 UHS\-I U3","219.0","nan","nan","nan","Kingston Carte SDA3/128GB SDHC/SDXC UHS-I U3, 128 GB Vitesses 90R/80W","73.71","nan","nan","nan"
"Toshiba Scheda di Memoria SDHC 32 GB, EXCeria Pro, 260 Mb/s, UHS-Ii, U1","111.82","nan","nan","nan","Toshiba 32 GB Exceria PRO 32GB SDHC UHS Clase 3 memoria flash - Tarjeta de memoria (32 GB, SDHC, Clase 3, 260 MB/s, 240 MB/s, UHS)","76.67","nan","nan","nan"
"Sony SRG1UXA 128GB MicroSDXC UHS-I Clase 10 memoria flash - Tarjeta de memoria (128 GB, MicroSDXC, Clase 10, UHS-I, 95 MB/s, Negro): Amazon.es: Informática","175.05","nan","nan","nan","Sony Expert SR-G1UX2A Micro SDXC minneskort 128 GB - Minneskort till mobil","1899.0","nan","nan","nan"
"Clé USB Intenso Cl&amp;eacute; USB 16GB Intenso Basic Line - Sous blister (MK48541586)","8.84","nan","nan","nan","Tesco direct: Intenso 16GB Basic USB2.0 USB 2.0 Type-A Black Silver flash drive","7.68","nan","nan","nan"
