,id,name,price,brand,NER,NER_TEXT,NER_TEXT_ASC,NER_TEXT_REV
10,81970,intenso scheda ultra memory memoria w3 duo,155.99,Intenso,"['intenso', 'scheda', 'ultra', 'memory', 'memoria', 'w3', 'duo']",intenso scheda ultra memory memoria w3 duo,duo intenso memoria memory scheda ultra w3,duo w3 memoria memory ultra scheda intenso
11,335923,Carte SD Sandisk Carte EXTREME PRO SDHC 16 Go 280 Mo/s Classe 10 UHS-II U3 (MK935585202),66.06,,"['carte', 'sd', 'sandisk', 'carte', 'extreme', 'pro', 'sdhc', '16', '280', 'mo', 'classe', '10', 'uhs', 'ii', 'u3', 'mk935585202']",carte sd sandisk carte extreme pro sdhc 16 280 mo classe 10 uhs ii u3 mk935585202,10 16 280 carte carte classe extreme ii mk935585202 mo pro sandisk sd sdhc u3 uhs,mk935585202 u3 ii uhs 10 classe mo 280 16 sdhc pro extreme carte sandisk sd carte
12,729145,"SONY pami?ci ALU GLIDE Ultra 90/40MB/S 300MB/s C/ADAPT 10, Jetzt SDC4/16GB",408.99,SONY,"['sony', 'pami?ci', 'alu', 'glide', 'ultra', '90/40mb', '300mb', 'adapt', '10', 'jetzt', 'sdc4/16', 'gb']",sony pami?ci alu glide ultra 90/40mb 300mb adapt 10 jetzt sdc4/16 gb,10 300mb 90/40mb adapt alu gb glide jetzt pami?ci sdc4/16 sony ultra,gb sdc4/16 jetzt 10 adapt 300mb 90/40mb ultra glide alu pami?ci sony
13,385084,"SONY CRUZER PRO SD USB-STICK PRO GEHEUGENKAART WITH BLISTER GO SF-M128/T - + IN ADAPTER, MICRO ZU",66.99,Sony,"['sony', 'cruzer', 'pro', 'sd', 'usb', 'stick', 'pro', 'geheugenkaart', 'blister', 'sf', 'm128', 'adapter', 'micro', 'zu']",sony cruzer pro sd usb stick pro geheugenkaart blister sf m128 adapter micro zu,adapter blister cruzer geheugenkaart m128 micro pro pro sd sf sony stick usb zu,zu micro adapter m128 sf blister geheugenkaart pro stick usb sd pro cruzer sony
14,852029,Kingston SDA3/128GB SDHC/SDXC 128GB Ultra High-Speed Class 3 Speicherkarte,61.89,,"['kingston', 'sda3/128', 'gb', 'sdhc', 'sdxc', '128', 'gb', 'ultra', 'high', 'speed', 'class', 'speicherkarte']",kingston sda3/128 gb sdhc sdxc 128 gb ultra high speed class speicherkarte,128 class gb gb high kingston sda3/128 sdhc sdxc speed speicherkarte ultra,speicherkarte class speed high ultra gb 128 sdxc sdhc gb sda3/128 kingston
15,974909,SanDisk Ultra Dual USB-C 3.1 flash drive 64 GB - Diverse mobiltillbehör,349.0,,"['sandisk', 'ultra', 'dual', 'usb', '3.1', 'flash', 'drive', '64', 'gb', 'diverse', 'mobiltillbehör']",sandisk ultra dual usb 3.1 flash drive 64 gb diverse mobiltillbehör,3.1 64 diverse drive dual flash gb mobiltillbehör sandisk ultra usb,mobiltillbehör diverse gb 64 drive flash 3.1 usb dual ultra sandisk
16,270399,ANTRACYT (3.0) MICROSDHC CARTE SDHC 128GB MEMORIA,26.99,,"['antracyt', '3.0', 'microsdhc', 'carte', 'sdhc', '128', 'gb', 'memoria']",antracyt 3.0 microsdhc carte sdhc 128 gb memoria,128 3.0 antracyt carte gb memoria microsdhc sdhc,memoria gb 128 sdhc carte microsdhc 3.0 antracyt
17,852031,Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819),14.61,,"['clé', 'usb', 'kingston', 'kingston', 'clé', 'usb', '16', 'datatraveler', 'g2', '101', 'mk1574653819']",clé usb kingston kingston clé usb 16 datatraveler g2 101 mk1574653819,101 16 clé clé datatraveler g2 kingston kingston mk1574653819 usb usb,mk1574653819 101 g2 datatraveler 16 usb clé kingston kingston usb clé
18,41026,45MB/s Canvas Go 128 32 10 Product GB GB zu SD SanDisk to,15666.99,SanDisk,"['45mb', 'canvas', '128', '32', '10', 'product', 'gb', 'gb', 'zu', 'sd', 'sandisk']",45mb canvas 128 32 10 product gb gb zu sd sandisk,10 128 32 45mb canvas gb gb product sandisk sd zu,sandisk sd zu gb gb product 10 32 128 canvas 45mb
19,376899,32gb sd sandisk xc pendrive memoria les ultra 16 go clé -,17.99,SanDisk,"['32', 'gb', 'sd', 'sandisk', 'xc', 'pendrive', 'memoria', 'les', 'ultra', '16', 'clé']",32 gb sd sandisk xc pendrive memoria les ultra 16 clé,16 32 clé gb les memoria pendrive sandisk sd ultra xc,clé 16 ultra les memoria pendrive xc sandisk sd gb 32
20,868425,- SD PAM??OVÁ USB SANDISK MICROSDXC UHS-I 128 CONNECTÉS DANS 64,70.99,Sandisk,"['sd', 'pam??ová', 'usb', 'sandisk', 'microsdxc', 'uhs', '128', 'connectés', 'dans', '64']",sd pam??ová usb sandisk microsdxc uhs 128 connectés dans 64,128 64 connectés dans microsdxc pam??ová sandisk sd uhs usb,64 dans connectés 128 uhs microsdxc sandisk usb pam??ová sd
21,294988,"carte sd pro sdxc fit type-a 8 c10 gen1 uhs-i 64go - mb/sek,",2688.99,,"['carte', 'sd', 'pro', 'sdxc', 'fit', 'type', 'c10', 'gen1', 'uhs', '64go', 'mb', 'sek']",carte sd pro sdxc fit type c10 gen1 uhs 64go mb sek,64go c10 carte fit gen1 mb pro sd sdxc sek type uhs,sek mb 64go uhs gen1 c10 type fit sdxc pro sd carte
22,49235,Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister,21.41,,"['tesco', 'direct', 'lexar', 'jumpdrive', 's70', '16', 'gb', 'usb', 'memory', 'flash', 'drive', 'burgundy', 'small', 'blister']",tesco direct lexar jumpdrive s70 16 gb usb memory flash drive burgundy small blister,16 blister burgundy direct drive flash gb jumpdrive lexar memory s70 small tesco usb,blister small burgundy drive flash memory usb gb 16 s70 jumpdrive lexar direct tesco
23,1015893,Sony microSDXC 128 GB UHS-I U3 Class 10 + SD Adapter,164.5,,"['sony', 'microsdxc', '128', 'gb', 'uhs', 'u3', 'class', '10', 'sd', 'adapter']",sony microsdxc 128 gb uhs u3 class 10 sd adapter,10 128 adapter class gb microsdxc sd sony u3 uhs,adapter sd 10 class u3 uhs gb 128 microsdxc sony
24,581729,Lexar JumpDrive V30 - unidad flash USB - 16 GB en Fnac.es,,,"['lexar', 'jumpdrive', 'v30', 'unidad', 'flash', 'usb', '16', 'gb', 'en', 'fnac.es']",lexar jumpdrive v30 unidad flash usb 16 gb en fnac.es,16 en flash fnac.es gb jumpdrive lexar unidad usb v30,fnac.es en gb 16 usb flash unidad v30 jumpdrive lexar
25,606308,Shop Samsung 43-Inch Smart UHD TV UA43NU7100 Black online in Egypt,6550.0,Samsung,"['shop', 'samsung', '43', 'inch', 'smart', 'uhd', 'tv', 'ua43nu7100', 'black', 'online', 'egypt']",shop samsung 43 inch smart uhd tv ua43nu7100 black online egypt,43 black egypt inch online samsung shop smart tv ua43nu7100 uhd,egypt online black ua43nu7100 tv uhd smart inch 43 samsung shop
26,278631,sandisk high-performance sdhc pro 32 (95 mb/s class line flash gen,13.99,SanDisk,"['sandisk', 'high', 'performance', 'sdhc', 'pro', '32', '95', 'mb', 'class', 'line', 'flash', 'gen']",sandisk high performance sdhc pro 32 95 mb class line flash gen,32 95 class flash gen high line mb performance pro sandisk sdhc,gen flash line class mb 95 32 pro sdhc performance high sandisk
27,147565,Tesco Ultra 633x 633x TRAVELER UHS-I pour Zilver 10 - 3.0 10,32.02,,"['tesco', 'ultra', '633x', '633x', 'traveler', 'uhs', 'pour', 'zilver', '10', '3.0', '10']",tesco ultra 633x 633x traveler uhs pour zilver 10 3.0 10,10 10 3.0 633x 633x pour tesco traveler uhs ultra zilver,10 3.0 10 zilver pour uhs traveler 633x 633x ultra tesco
28,516210,(64 Professional 10 Adaptateur sony32gb SD\n GB - 32GB DT101 le m3.0 A1 3.0 Pro,13.99,,"['64', 'professional', '10', 'adaptateur', 'sony32', 'gb', 'sd\\n', 'gb', '32', 'gb', 'dt101', 'le', 'm3.0', 'a1', '3.0', 'pro']",64 professional 10 adaptateur sony32 gb sd\n gb 32 gb dt101 le m3.0 a1 3.0 pro,10 3.0 32 64 a1 adaptateur dt101 gb gb gb le m3.0 pro professional sd\n sony32,pro 3.0 a1 m3.0 le dt101 gb 32 gb sd\n gb sony32 adaptateur 10 professional 64
29,409715,"SanDisk - DUAL SDXC GB 32GB USB adaptateur GB, color le",12599.0,SanDisk,"['sandisk', 'dual', 'sdxc', 'gb', '32', 'gb', 'usb', 'adaptateur', 'gb', 'color', 'le']",sandisk dual sdxc gb 32 gb usb adaptateur gb color le,32 adaptateur color dual gb gb gb le sandisk sdxc usb,le color gb adaptateur usb gb 32 gb sdxc dual sandisk
30,843892,kingston mémoire uhs-i pro extreme microsdhc flash bianco adapter flashgeheugen accesorios,7.99,Kingston,"['kingston', 'mémoire', 'uhs', 'pro', 'extreme', 'microsdhc', 'flash', 'bianco', 'adapter', 'flashgeheugen', 'accesorios']",kingston mémoire uhs pro extreme microsdhc flash bianco adapter flashgeheugen accesorios,accesorios adapter bianco extreme flash flashgeheugen kingston microsdhc mémoire pro uhs,accesorios flashgeheugen adapter bianco flash microsdhc extreme pro uhs mémoire kingston
31,966772,"GB II; Premium Micro 32 Carte 32 GB,",264.99,,"['gb', 'ii', 'premium', 'micro', '32', 'carte', '32', 'gb']",gb ii premium micro 32 carte 32 gb,32 32 carte gb gb ii micro premium,gb 32 carte 32 micro premium ii gb
32,991357,Clé USB Lexar P20 USB 3.0 128 GO (4187407),90.11,,"['clé', 'usb', 'lexar', 'p20', 'usb', '3.0', '128', '4187407']",clé usb lexar p20 usb 3.0 128 4187407,128 3.0 4187407 clé lexar p20 usb usb,4187407 128 3.0 usb p20 lexar usb clé
33,106622,de Card - 4 3.0 de Up Tarjeta Class UHS-II Memoria File pami?ci +,25.99,,"['de', 'card', '3.0', 'de', 'tarjeta', 'class', 'uhs', 'ii', 'memoria', 'file', 'pami?ci']",de card 3.0 de tarjeta class uhs ii memoria file pami?ci,3.0 card class de de file ii memoria pami?ci tarjeta uhs,pami?ci file memoria ii uhs class tarjeta de 3.0 card de
34,606341,"Kingston MICRO Canvas Cruzer USB U3/95/V30 2.0 G [Amazon de con Memorie A MB/s, drive",193.0,Kingston,"['kingston', 'micro', 'canvas', 'cruzer', 'usb', 'u3/95', 'v30', '2.0', 'amazon', 'de', 'con', 'memorie', 'mb', 'drive']",kingston micro canvas cruzer usb u3/95 v30 2.0 amazon de con memorie mb drive,2.0 amazon canvas con cruzer de drive kingston mb memorie micro u3/95 usb v30,drive mb memorie con de amazon 2.0 v30 u3/95 usb cruzer canvas micro kingston
35,303238,"SanDisk SD Externe USB PRO microSD (SDCZ48-128G-GTV46) 32 - 3 AB U3 Gen 10, INC,LJDV30-64GABEU de",12.99,SanDisk,"['sandisk', 'sd', 'externe', 'usb', 'pro', 'microsd', 'sdcz48', '128g', 'gtv46', '32', 'ab', 'u3', 'gen', '10', 'inc', 'ljdv30', '64gabeu', 'de']",sandisk sd externe usb pro microsd sdcz48 128g gtv46 32 ab u3 gen 10 inc ljdv30 64gabeu de,10 128g 32 64gabeu ab de externe gen gtv46 inc ljdv30 microsd pro sandisk sd sdcz48 u3 usb,de 64gabeu ljdv30 inc 10 gen u3 ab 32 gtv46 128g sdcz48 microsd pro usb externe sd sandisk
36,65676,Intenso 3502450 4GB Rainbow USB 2.0 Flash Drive - Transparent Blue,8.28,,"['intenso', '3502450', 'gb', 'rainbow', 'usb', '2.0', 'flash', 'drive', 'transparent', 'blue']",intenso 3502450 gb rainbow usb 2.0 flash drive transparent blue,2.0 3502450 blue drive flash gb intenso rainbow transparent usb,blue transparent drive flash 2.0 usb rainbow gb 3502450 intenso
37,573585,Lexar Extreme Micro-SDXC adaptador 64Go 32 32 ultra - SD 10 read,359.0,Lexar,"['lexar', 'extreme', 'micro', 'sdxc', 'adaptador', '64go', '32', '32', 'ultra', 'sd', '10', 'read']",lexar extreme micro sdxc adaptador 64go 32 32 ultra sd 10 read,10 32 32 64go adaptador extreme lexar micro read sd sdxc ultra,read 10 sd ultra 32 32 64go adaptador sdxc micro extreme lexar
38,770193,sandisk v30 sd dtig4 64 100mb/s 128gb de - mb/s go adaptateur recording - usb flash,12.99,SANDISK,"['sandisk', 'v30', 'sd', 'dtig4', '64', '100mb', '128', 'gb', 'de', 'mb', 'adaptateur', 'recording', 'usb', 'flash']",sandisk v30 sd dtig4 64 100mb 128 gb de mb adaptateur recording usb flash,100mb 128 64 adaptateur de dtig4 flash gb mb recording sandisk sd usb v30,flash usb recording adaptateur mb de gb 128 100mb 64 dtig4 sd v30 sandisk
39,1106068,Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz,,,"['intenso', 'basic', 'line', '16', 'gb', 'usb', 'stick', 'usb', '2.0', 'silber', 'schwarz']",intenso basic line 16 gb usb stick usb 2.0 silber schwarz,16 2.0 basic gb intenso line schwarz silber stick usb usb,schwarz silber 2.0 usb stick usb gb 16 line basic intenso
40,1196184,"Karta microSDXC DUAL SF-G flash UHS pendrive MB/s, adpater 4G A 3c,Kingston MB/s KINGSTON",35.99,KINGSTON,"['karta', 'microsdxc', 'dual', 'sf', 'flash', 'uhs', 'pendrive', 'mb', 'adpater', '3c', 'kingston', 'mb', 'kingston']",karta microsdxc dual sf flash uhs pendrive mb adpater 3c kingston mb kingston,3c adpater dual flash karta kingston kingston mb mb microsdxc pendrive sf uhs,kingston mb kingston 3c adpater mb pendrive uhs flash sf dual microsdxc karta
41,573593,Kingston - Flash memory card - 128 GB - UHS Class 3 / Class10 - SDXC UHS-I,54.41,,"['kingston', 'flash', 'memory', 'card', '128', 'gb', 'uhs', 'class', 'class10', 'sdxc', 'uhs']",kingston flash memory card 128 gb uhs class class10 sdxc uhs,128 card class class10 flash gb kingston memory sdxc uhs uhs,uhs sdxc class10 class uhs gb 128 card memory flash kingston
42,426139,Sony SD GO 64GB UHS-I 64GB 4 280mb/s A1 Green 3.0 16 color with,101.13,Sony,"['sony', 'sd', '64', 'gb', 'uhs', '64', 'gb', '280mb', 'a1', 'green', '3.0', '16', 'color']",sony sd 64 gb uhs 64 gb 280mb a1 green 3.0 16 color,16 280mb 3.0 64 64 a1 color gb gb green sd sony uhs,color 16 3.0 green a1 280mb gb 64 uhs gb 64 sd sony
43,958624,Clé USB Sony Clé OTG 16Go USM16CA1 type C et USB 3.1 (4190041),29.99,,"['clé', 'usb', 'sony', 'clé', 'otg', '16go', 'usm16ca1', 'type', 'et', 'usb', '3.1', '4190041']",clé usb sony clé otg 16go usm16ca1 type et usb 3.1 4190041,16go 3.1 4190041 clé clé et otg sony type usb usb usm16ca1,4190041 3.1 usb et type usm16ca1 16go otg clé sony usb clé
44,1122472,Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go,46.83,Accessoires,"['accessoires', 'montres', 'bracelets', 'connectés', 'sandisk', 'carte', 'mémoire', 'sdxc', 'sandisk', 'extreme', '128']",accessoires montres bracelets connectés sandisk carte mémoire sdxc sandisk extreme 128,128 accessoires bracelets carte connectés extreme montres mémoire sandisk sandisk sdxc,128 extreme sandisk sdxc mémoire carte sandisk connectés bracelets montres accessoires
45,483497,"MEMORIA EXTREM 64GB USM64SA3 64GO SDHC (SDCZ48 UHS-I U3 GB - USB LESEN),TOSHIBA,THN-N401S0320E4 LESEN),TOSHIBA,5300056 1) U3",21.99,,"['memoria', 'extrem', '64', 'gb', 'usm64sa3', '64go', 'sdhc', 'sdcz48', 'uhs', 'u3', 'gb', 'usb', 'lesen),toshiba', 'thn', 'n401s0320e4', 'lesen),toshiba,5300056', 'u3']","memoria extrem 64 gb usm64sa3 64go sdhc sdcz48 uhs u3 gb usb lesen),toshiba thn n401s0320e4 lesen),toshiba,5300056 u3","64 64go extrem gb gb lesen),toshiba lesen),toshiba,5300056 memoria n401s0320e4 sdcz48 sdhc thn u3 u3 uhs usb usm64sa3","u3 lesen),toshiba,5300056 n401s0320e4 thn lesen),toshiba usb gb u3 uhs sdcz48 sdhc 64go usm64sa3 gb 64 extrem memoria"
46,139434,"+ SD-Adapter MicroSDXC SuperSpeed Class10 USB-flashstation Black Blade LXQD32GCRBEU2933 Lecture Samsung 4G USB MB/s) (64gb,",21.99,Samsung,"['sd', 'adapter', 'microsdxc', 'superspeed', 'class10', 'usb', 'flashstation', 'black', 'blade', 'lxqd32gcrbeu2933', 'lecture', 'samsung', 'usb', 'mb', '64', 'gb']",sd adapter microsdxc superspeed class10 usb flashstation black blade lxqd32gcrbeu2933 lecture samsung usb mb 64 gb,64 adapter black blade class10 flashstation gb lecture lxqd32gcrbeu2933 mb microsdxc samsung sd superspeed usb usb,gb 64 mb usb samsung lecture lxqd32gcrbeu2933 blade black flashstation usb class10 superspeed microsdxc adapter sd
47,786608,Toshiba pami?ci MicroSDXC 256 MicroSDXC mémoire 10 Go 3.0 EXTRA GB to 16GB 32Go le,169.99,Toshiba,"['toshiba', 'pami?ci', 'microsdxc', '256', 'microsdxc', 'mémoire', '10', '3.0', 'extra', 'gb', '16', 'gb', '32go', 'le']",toshiba pami?ci microsdxc 256 microsdxc mémoire 10 3.0 extra gb 16 gb 32go le,10 16 256 3.0 32go extra gb gb le microsdxc microsdxc mémoire pami?ci toshiba,le 32go gb 16 gb extra 3.0 10 mémoire microsdxc 256 microsdxc pami?ci toshiba
48,721081,Clé Cruzer Pro Card U1 flash GB 16Go avec 10,48.99,,"['clé', 'cruzer', 'pro', 'card', 'u1', 'flash', 'gb', '16go', 'avec', '10']",clé cruzer pro card u1 flash gb 16go avec 10,10 16go avec card clé cruzer flash gb pro u1,10 avec 16go gb flash u1 card pro cruzer clé
49,1048766,"microsdxc sandisk carte speicherkarte, gb u302 standard 64gb usb-flash-laufwerk sdsquni-256g-gn6ma mo/s mb/sec,",28.99,SANDISK,"['microsdxc', 'sandisk', 'carte', 'speicherkarte', 'gb', 'u302', 'standard', '64', 'gb', 'usb', 'flash', 'laufwerk', 'sdsquni-256g', 'gn6ma', 'mo', 'mb', 'sec']",microsdxc sandisk carte speicherkarte gb u302 standard 64 gb usb flash laufwerk sdsquni-256g gn6ma mo mb sec,64 carte flash gb gb gn6ma laufwerk mb microsdxc mo sandisk sdsquni-256g sec speicherkarte standard u302 usb,sec mb mo gn6ma sdsquni-256g laufwerk flash usb gb 64 standard u302 gb speicherkarte carte sandisk microsdxc
50,712925,"SanDisk SD Memoria G-SERIE de GB, 45MB V30 MB/s, X, USB",56.12,SanDisk,"['sandisk', 'sd', 'memoria', 'serie', 'de', 'gb', '45', 'mb', 'v30', 'mb', 'usb']",sandisk sd memoria serie de gb 45 mb v30 mb usb,45 de gb mb mb memoria sandisk sd serie usb v30,usb mb v30 mb 45 gb de serie memoria sd sandisk
51,418013,Kingston DataTraveler 101 G2 16 GB USB 2.0 Flash Drive - Black,6.35,,"['kingston', 'datatraveler', '101', 'g2', '16', 'gb', 'usb', '2.0', 'flash', 'drive', 'black']",kingston datatraveler 101 g2 16 gb usb 2.0 flash drive black,101 16 2.0 black datatraveler drive flash g2 gb kingston usb,black drive flash 2.0 usb gb 16 g2 101 datatraveler kingston
52,32994,SANDISK de microSDXC GLIDE 16GB 64GB CLASS Card 300MB/s,124.95,SANDISK,"['sandisk', 'de', 'microsdxc', 'glide', '16', 'gb', '64', 'gb', 'class', 'card', '300mb']",sandisk de microsdxc glide 16 gb 64 gb class card 300mb,16 300mb 64 card class de gb gb glide microsdxc sandisk,300mb card class gb 64 gb 16 glide microsdxc de sandisk
53,303333,"Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB VIPDOMO Sandisk",74.87,,"['sandisk', 'cruzer', 'glide', '256', 'gb', '256', 'gb', 'usb', '2.0', 'negro', 'rojo', 'unidad', 'flash', 'usb', 'vipdomo', 'sandisk']",sandisk cruzer glide 256 gb 256 gb usb 2.0 negro rojo unidad flash usb vipdomo sandisk,2.0 256 256 cruzer flash gb gb glide negro rojo sandisk sandisk unidad usb usb vipdomo,sandisk vipdomo usb flash unidad rojo negro 2.0 usb gb 256 gb 256 glide cruzer sandisk
54,901351,Pendrive KINGSTON 512GB HXSAV USB 3.1,269.0,,"['pendrive', 'kingston', '512', 'gb', 'hxsav', 'usb', '3.1']",pendrive kingston 512 gb hxsav usb 3.1,3.1 512 gb hxsav kingston pendrive usb,3.1 usb hxsav gb 512 kingston pendrive
55,1106153,SanDisk Extreme PRO microSDHC Minneskort 16 GB - Minneskort till mobil,379.0,,"['sandisk', 'extreme', 'pro', 'microsdhc', 'minneskort', '16', 'gb', 'minneskort', 'till', 'mobil']",sandisk extreme pro microsdhc minneskort 16 gb minneskort till mobil,16 extreme gb microsdhc minneskort minneskort mobil pro sandisk till,mobil till minneskort gb 16 minneskort microsdhc pro extreme sandisk
56,237804,Carte Extreme Series microSDXC Canvas Flash USB Drive Class Wit Fnac.es USB,100.81,,"['carte', 'extreme', 'series', 'microsdxc', 'canvas', 'flash', 'usb', 'drive', 'class', 'wit', 'fnac.es', 'usb']",carte extreme series microsdxc canvas flash usb drive class wit fnac.es usb,canvas carte class drive extreme flash fnac.es microsdxc series usb usb wit,usb fnac.es wit class drive usb flash canvas microsdxc series extreme carte
57,295148,"sony carte microsdxc minneskort 32 10 - professional nero, sdhc blue 100 mb/s, mb/s, homologuée",10.99,Sony,"['sony', 'carte', 'microsdxc', 'minneskort', '32', '10', 'professional', 'nero', 'sdhc', 'blue', '100', 'mb', 'mb', 'homologuée']",sony carte microsdxc minneskort 32 10 professional nero sdhc blue 100 mb mb homologuée,10 100 32 blue carte homologuée mb mb microsdxc minneskort nero professional sdhc sony,homologuée mb mb 100 blue sdhc nero professional 10 32 minneskort microsdxc carte sony
58,557293,Flash USB 64Go GLIDE 90MB/S Solid + Sony,88.99,Sony,"['flash', 'usb', '64go', 'glide', '90mb', 'solid', 'sony']",flash usb 64go glide 90mb solid sony,64go 90mb flash glide solid sony usb,sony solid 90mb glide 64go usb flash
59,958702,Kingston - microSDHC 32GB 128GB 64 90MB/s adaptateur + GB (28 FOTOKSI??K? 10 Egypt Kostenloser Amazon.de Classe,39.03,Kingston,"['kingston', 'microsdhc', '32', 'gb', '128', 'gb', '64', '90mb', 'adaptateur', 'gb', '28', 'fotoksi??k', '10', 'egypt', 'kostenloser', 'amazon.de', 'classe']",kingston microsdhc 32 gb 128 gb 64 90mb adaptateur gb 28 fotoksi??k 10 egypt kostenloser amazon.de classe,10 128 28 32 64 90mb adaptateur amazon.de classe egypt fotoksi??k gb gb gb kingston kostenloser microsdhc,classe amazon.de kostenloser egypt 10 fotoksi??k 28 gb adaptateur 90mb 64 gb 128 gb 32 microsdhc kingston
60,1057005,sony class10 microsdhc digital 256 x300 achat + fit,100.99,SONY,"['sony', 'class10', 'microsdhc', 'digital', '256', 'x300', 'achat', 'fit']",sony class10 microsdhc digital 256 x300 achat fit,256 achat class10 digital fit microsdhc sony x300,fit achat x300 256 digital microsdhc class10 sony
61,1212654,sandisk datatraveler mémoire sdxc microsd gr usb-flash-laufwerk rayon memory class not gb,70.99,SanDisk,"['sandisk', 'datatraveler', 'mémoire', 'sdxc', 'microsd', 'gr', 'usb', 'flash', 'laufwerk', 'rayon', 'memory', 'class', 'gb']",sandisk datatraveler mémoire sdxc microsd gr usb flash laufwerk rayon memory class gb,class datatraveler flash gb gr laufwerk memory microsd mémoire rayon sandisk sdxc usb,gb class memory rayon laufwerk flash usb gr microsd sdxc mémoire datatraveler sandisk
