,GBs,tokens,name
27,set(),"['tesco', 'ultra', '633x', '633x', 'traveler', 'uhs', 'pour', 'zilver', '10', '3.0', '10']",Tesco Ultra 633x 633x TRAVELER UHS-I pour Zilver 10 - 3.0 10
28,{'32'},"['64', '10', 'sony32', 'gb', 'sd', 'gb', '32', 'gb', 'dt101', 'le', 'm3.0', 'a1', '3.0', 'pro']",(64 Professional 10 Adaptateur sony32gb SD\n GB - 32GB DT101 le m3.0 A1 3.0 Pro
29,{'32'},"['sandisk', 'dual', 'sdxc', 'gb', '32', 'gb', 'usb', 'gb', 'color', 'le']","SanDisk - DUAL SDXC GB 32GB USB adaptateur GB, color le"
30,set(),"['kingston', 'memoire', 'uhs', 'pro', 'extreme', 'microsdhc', 'flash', 'bianco', 'adapter']",kingston mémoire uhs-i pro extreme microsdhc flash bianco adapter flashgeheugen accesorios
31,{'32'},"['gb', 'ii', 'premium', 'micro', '32', 'carte', '32', 'gb']","GB II; Premium Micro 32 Carte 32 GB,"
32,{'128'},"['cle', 'usb', 'lexar', 'p20', 'usb', '3.0', '128', '4187407']",Clé USB Lexar P20 USB 3.0 128 GO (4187407)
33,set(),"['de', 'card', '3.0', 'de', 'tarjeta', 'class', 'uhs', 'ii', 'memoria', 'file', 'pami', 'ci']",de Card - 4 3.0 de Up Tarjeta Class UHS-II Memoria File pami?ci +
34,set(),"['kingston', 'micro', 'canvas', 'cruzer', 'usb', 'u3', '95', 'v30', '2.0', 'amazon', 'de', 'con', 'memorie', 'mb', 'drive']","Kingston MICRO Canvas Cruzer USB U3/95/V30 2.0 G [Amazon de con Memorie A MB/s, drive"
35,set(),"['sandisk', 'sd', 'externe', 'usb', 'pro', 'microsd', 'sdcz48', '128g', 'gtv46', '32', 'ab', 'u3', 'gen', '10', 'inc', 'ljdv30', '64gabeu', 'de']","SanDisk SD Externe USB PRO microSD (SDCZ48-128G-GTV46) 32 - 3 AB U3 Gen 10, INC,LJDV30-64GABEU de"
36,{'4'},"['intenso', '3502450', 'gb', 'rainbow', 'usb', '2.0', 'flash', 'drive', 'blue']",Intenso 3502450 4GB Rainbow USB 2.0 Flash Drive - Transparent Blue
37,{'64'},"['lexar', 'extreme', 'micro', 'sdxc', 'adaptador', '64go', '32', '32', 'ultra', 'sd', '10', 'read']",Lexar Extreme Micro-SDXC adaptador 64Go 32 32 ultra - SD 10 read
38,{'128'},"['sandisk', 'v30', 'sd', 'dtig4', '64', '100', 'mb', '128', 'gb', 'de', 'mb', 'recording', 'usb', 'flash']",sandisk v30 sd dtig4 64 100mb/s 128gb de - mb/s go adaptateur recording - usb flash
39,{'16'},"['intenso', 'basic', 'line', '16', 'gb', 'usb', 'stick', 'usb', '2.0', 'silber', 'schwarz']",Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz
40,set(),"['karta', 'microsdxc', 'dual', 'sf', 'flash', 'uhs', 'pendrive', 'mb', 'adpater', '3c', 'kingston', 'mb', 'kingston']","Karta microSDXC DUAL SF-G flash UHS pendrive MB/s, adpater 4G A 3c,Kingston MB/s KINGSTON"
41,{'128'},"['kingston', 'flash', 'memory', 'card', '128', 'gb', 'uhs', 'class', 'class10', 'sdxc', 'uhs']",Kingston - Flash memory card - 128 GB - UHS Class 3 / Class10 - SDXC UHS-I
42,{'64'},"['sony', 'sd', '64', 'gb', 'uhs', '64', 'gb', '280', 'mb', 'a1', 'green', '3.0', '16', 'color']",Sony SD GO 64GB UHS-I 64GB 4 280mb/s A1 Green 3.0 16 color with
43,{'16'},"['cle', 'usb', 'sony', 'cle', 'otg', '16go', 'usm16ca1', 'type', 'et', 'usb', '3.1', '4190041']",Clé USB Sony Clé OTG 16Go USM16CA1 type C et USB 3.1 (4190041)
44,{'128'},"['montres', 'bracelets', 'connectes', 'sandisk', 'carte', 'memoire', 'sdxc', 'sandisk', 'extreme', '128']",Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go
45,"{'64', '3'}","['memoria', 'extrem', '64', 'gb', 'usm64sa3', '64go', 'sdhc', 'sdcz48', 'uhs', 'u3', 'gb', 'usb', 'lesen', 'toshiba', 'thn', 'lesen', 'toshiba', '5300056', 'u3']","MEMORIA EXTREM 64GB USM64SA3 64GO SDHC (SDCZ48 UHS-I U3 GB - USB LESEN),TOSHIBA,THN-N401S0320E4 LESEN),TOSHIBA,5300056 1) U3"
46,{'64'},"['sd', 'adapter', 'microsdxc', 'class10', 'usb', 'black', 'blade', 'lecture', 'samsung', 'usb', 'mb', '64', 'gb']","+ SD-Adapter MicroSDXC SuperSpeed Class10 USB-flashstation Black Blade LXQD32GCRBEU2933 Lecture Samsung 4G USB MB/s) (64gb,"
47,"{'10', '32', '16'}","['toshiba', 'pami', 'ci', 'microsdxc', '256', 'microsdxc', 'memoire', '10', '3.0', 'extra', 'gb', '16', 'gb', '32go', 'le']",Toshiba pami?ci MicroSDXC 256 MicroSDXC mémoire 10 Go 3.0 EXTRA GB to 16GB 32Go le
48,{'16'},"['cle', 'cruzer', 'pro', 'card', 'u1', 'flash', 'gb', '16go', 'avec', '10']",Clé Cruzer Pro Card U1 flash GB 16Go avec 10
49,{'64'},"['microsdxc', 'sandisk', 'carte', 'gb', 'u302', 'standard', '64', 'gb', 'usb', 'flash', 'laufwerk', 'gn6ma', 'mo', 'mb', 'sec']","microsdxc sandisk carte speicherkarte, gb u302 standard 64gb usb-flash-laufwerk sdsquni-256g-gn6ma mo/s mb/sec,"
50,set(),"['sandisk', 'sd', 'memoria', 'serie', 'de', 'gb', '45', 'mb', 'v30', 'mb', 'usb']","SanDisk SD Memoria G-SERIE de GB, 45MB V30 MB/s, X, USB"
51,{'16'},"['kingston', '101', 'g2', '16', 'gb', 'usb', '2.0', 'flash', 'drive', 'black']",Kingston DataTraveler 101 G2 16 GB USB 2.0 Flash Drive - Black
52,"{'64', '16'}","['sandisk', 'de', 'microsdxc', 'glide', '16', 'gb', '64', 'gb', 'class', 'card', '300', 'mb']",SANDISK de microSDXC GLIDE 16GB 64GB CLASS Card 300MB/s
53,{'256'},"['sandisk', 'cruzer', 'glide', '256', 'gb', '256', 'gb', 'usb', '2.0', 'negro', 'rojo', 'unidad', 'flash', 'usb', 'vipdomo', 'sandisk']","Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB VIPDOMO Sandisk"
54,{'512'},"['pendrive', 'kingston', '512', 'gb', 'hxsav', 'usb', '3.1']",Pendrive KINGSTON 512GB HXSAV USB 3.1
55,{'16'},"['sandisk', 'extreme', 'pro', 'microsdhc', '16', 'gb', 'till', 'mobil']",SanDisk Extreme PRO microSDHC Minneskort 16 GB - Minneskort till mobil
56,set(),"['carte', 'extreme', 'series', 'microsdxc', 'canvas', 'flash', 'usb', 'drive', 'class', 'wit', 'fnac.es', 'usb']",Carte Extreme Series microSDXC Canvas Flash USB Drive Class Wit Fnac.es USB
57,set(),"['sony', 'carte', 'microsdxc', '32', '10', 'nero', 'sdhc', 'blue', '100', 'mb', 'mb']","sony carte microsdxc minneskort 32 10 - professional nero, sdhc blue 100 mb/s, mb/s, homologuée"
58,{'64'},"['flash', 'usb', '64go', 'glide', '90', 'mb', 'solid', 'sony']",Flash USB 64Go GLIDE 90MB/S Solid + Sony
59,"{'32', '128'}","['kingston', 'microsdhc', '32', 'gb', '128', 'gb', '64', '90', 'mb', 'gb', '28', 'fotoksi', '10', 'egypt', 'amazon.de', 'classe']",Kingston - microSDHC 32GB 128GB 64 90MB/s adaptateur + GB (28 FOTOKSI??K? 10 Egypt Kostenloser Amazon.de Classe
60,set(),"['sony', 'class10', 'microsdhc', 'digital', '256', 'x300', 'achat', 'fit']",sony class10 microsdhc digital 256 x300 achat + fit
61,set(),"['sandisk', 'memoire', 'sdxc', 'microsd', 'gr', 'usb', 'flash', 'laufwerk', 'rayon', 'memory', 'class', 'gb']",sandisk datatraveler mémoire sdxc microsd gr usb-flash-laufwerk rayon memory class not gb
62,set(),"['samsung', 'microsdxc', 'pro', 'pro', 'microsdhc', 'bianco', 'class', 'anthrazit', 'intenso', '3521451', '4247892', 'packaging']","Samsung microSDXC PRO PRO Professional microSDHC Bianco Class anthrazit,Intenso,3521451 Minneskort, (4247892) Packaging"
63,{'128'},"['kingston', 'sda3', '128', 'gb', 'tarjeta', 'de', 'memoria', 'sdhc', 'sdxc', 'uhs', 'u3', '128', 'gb', '90r', '80w']","Kingston SDA3/128GB - Tarjeta de memoria SDHC/SDXC UHS-I U3, 128 GB velocidades 90R/80W"
64,set(),"['tesco', 'micro', '64', 'pro', 'sans', 'memoire', 'pour']",tesco micro 64 pro sans mémoire pour
65,{'256'},"['sandisk', 'cruzer', 'glide', '256', 'gb', 'usb', 'flash', 'laufwerk', 'usb', '2.0']",SanDisk Cruzer Glide 256 GB USB-Flash-Laufwerk USB 2.0
66,"{'8', '16'}","['sandisk', 'extreme', 'ultra', 'blau', 'card']",SanDisk LSDMI8GBBBEU300A Extreme Ultra - blau Card LSDMI16GBB1EU300A
67,{'32'},"['shop', 'samsung', 'galaxy', 'a20', 'dual', 'sim', 'black', '32', 'gb', 'lte', 'online', 'egypt']",Shop Samsung Galaxy A20 Dual SIM Black 32GB 4G LTE online in Egypt
68,"{'32', '512'}","['lexar', 'extreme', 'cruzer', '16', 'uhs', 'u3', '512', 'gb', 'high', 'usb', 'flash', 'adaptador', '32', 'gb', 'mb', 'sec', 'usb', '10', 'allant']","Lexar Extreme Cruzer 16 UHS-I/U3 512GB High USB velocidades flash adaptador, 32GB MB/sec, USB 10 allant"
69,set(),"['sandisk', 'usb', 'xc', 'niebieski', 'hasta', 'classe', 'cl.4']",sandisk usb professional xc (niebieski) hasta classe (cl.4)+
70,{'256'},"['sandisk', 'cruzer', 'glide', '256', 'gb', 'usb', '2.0', 'flash', 'drive']",SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive
71,{'128'},"['lexar', 'p20', '128', 'gb', 'usb', '3.0', 'jumpdrive', 'ljdp20', '128crbeu']",Lexar P20 128GB USB 3.0 JumpDrive - LJDP20-128CRBEU
72,{'512'},"['kingston', 'hyperx', 'savage', '512', 'gb']",KINGSTON HyperX Savage 512 GB
73,{'256'},"['kingston', 'carte', 'sd', 'sda10', '256gb', 'uhs', 'sdhc', 'sdxc', 'classe', '10', '256go']",Kingston Carte Sd Professionnelles Sda10 256Gb Uhs-I Sdhc Sdxc Classe 10 - 256Go
74,{'32'},"['sony', 'sdxc', 'sdxc', 'sdhc', '32', 'gb', 'state', 'ultra', 'jusqu', 'kamera', '10', 'usb', 'lectura', '380', 'mb', '10', 'clase', 'jetzt']","SONY SDXC SDXC SDHC 32GB, STATE ULTRA JUSQU\'À KAMERA 10 - USB LECTURA/380MB/S 10) CLASE JETZT"
75,set(),"['shop', 'samsung', '32', 'inch', 'flat', 'hd', 'led', 'tv', 'series', 'ua32n5000', 'black', 'online', 'egypt']",Shop Samsung 32-Inch Flat HD LED TV Series 5 UA32N5000 Black online in Egypt
76,{'64'},"['kingston', 'data', 'traveler', 'g4', '64', 'gb', 'usb', '3.0']",Kingston Data Traveler I G4 64GB USB 3.0
77,{'32'},"['shop', 'samsung', 'galaxy', 'a10', 'dual', 'sim', 'blue', '32', 'gb', 'lte', 'online', 'egypt']",Shop Samsung Galaxy A10 Dual SIM Blue 32GB 4G LTE online in Egypt
78,set(),"['sony', 'de', 'speed', '3.0']",SONY DE - GO SPEED 3.0 -
79,{'128'},"['karta', 'ultra', 'sd', '128', 'gb', 'usb', '2000x', 'sd', 'class', 'sd']",Karta Ultra SD 128gb USB 2000x SD Class SD
80,set(),"['16', 'serie', 'cl-10', 'sandisk', 'micro', 'sdxc', 'usb', 'noir', 'thn', 'memory']",TO - 16 [FRUSTFREIE SERIE CL-10 SANDISK MICRO SDXC USB NOIR | THN-N401S0160E4 MEMORY
81,set(),"['pendrive', 'sandisk', 'tarjeta', 'flash', '3.0', '3.0', 'cl', 'pami', 'ci', 'uhs', 'ius', 'con', 'type']",Pendrive SANDISK Go Tarjeta flash 3.0 3.0 CL Pami?ci UHS-IUS con Type /
82,{'32'},"['toshiba', 'exceria', 'pro', 'n401', '32', 'gb']","TOSHIBA Exceria Pro N401 , 32 GB"
83,set(),"['cle', 'ultra', 'hc', '48', 'mb', '10', 'pami', 'ci']",CLÉ - ULTRA HC 48MB 10 SMARTPHONE PAMI?CI
84,set(),"['sandisk', 'sdxc', 'microsdhc', '94', 'mb', 'uhs-1', 'gb']",SANDISK SDXC MICROSDHC 94MB UHS-1 | GB -
85,set(),"['pendrive', 'micro', 'extreme', 'usb', 'card', 'gb', 'microsdxc', 'tapa', 'memory', 'negro', 'flash', 'memoria']","PENDRIVE MICRO EXTREME USB CARD - GB MICROSDXC TAPA, MEMORY NEGRO, FLASH MEMORIA"
86,set(),"['pami', 'lexar', 'jumpdrive', 'c20', 'ljdc20', 'pami', 'lexar', 'jumpdrive', 'c20', 'ljdc20']",Pami?? LEXAR JumpDrive C20m (LJDC20M Pami?? LEXAR JumpDrive C20m (LJDC20M
87,{'64'},"['carte', 'sdsdxve', 'plus', '64', 'gb', 'achat', 'sd', 'dual', 'gelb', 'u3', '10', 'de', 'na', 'sdca3', 'ffp']","Carte SDSDXVE Plus 64GB Achat SD dual gelb | U3 10, my?l? de na SDCA3, ffp"
88,set(),"['montres', 'bracelets', 'connectes', 'sandisk', 'ultra', 'android', 'microsdhc', '32']",Accessoires Montres / Bracelets connectés Sandisk Ultra android microsdhc 32g
89,set(),"['sony', 'micro', 'sdxc', 'u3', '300x', '3.0', 'card', 'adapter', 'pendrive']",SONY MICRO SDXC U3 300X 3.0 CARD ADAPTER - PENDRIVE
90,{'16'},"['kingston', 'data', 'traveler', '101', 'g2', 'chiavetta', 'usb', 'flash', 'drive', '16', 'gb']",Kingston Data Traveler 101 G2 Chiavetta USB Flash Drive 16 GB
91,{'128'},"['carte', 'memoire', 'microsdhc', 'sandisk', 'ultra', 'plus', '128', 'classe', '10', 'vitesse', 'de', 'lecture', 'allant', ""jusqu'a"", '80', 'mo', 'sd']","Carte Mémoire microSDHC SanDisk Ultra Plus 128 Go, Classe 10, Vitesse de Lecture Allant jusqu'à 80 Mo/s + Adaptateur SD"
92,{'128'},"['lexar', 'jumpdrive', 'c20', '128', 'gb', 'micro', 'usb', 'flash', 'drive']",Lexar JumpDrive C20m 128 GB micro-USB Flash Drive
93,{'32'},"['carte', 'memoire', 'sandisk', 'ultra', 'plus', 'microsdhc', '32go', '80mo', 'seconde', 'uhs', 'avec', 'sd']",Carte Mémoire Sandisk ultra PLUS MicroSDHC 32Go 80Mo/seconde UHS-I avec adaptateur SD\n
94,set(),"['uhs', 'memoria', 'thn', 'noir', 'gb', 'data', '3.0', 'micro', 'flash', 'u3', 'sandisk', '10']",UHS-I memoria THN-N101K0160E6 Noir GB Data 3.0 Micro flash U3 Sandisk 1) 10
95,"{'256', '16'}","['sdisk', 'usb', 'ultra', 'line', '16', 'gb', '256go', '3.0', '32', '100']",sdisk usb ultra line 16gb ) speicherkarte 256go 3.0 32 100
96,set(),"['sandisk', 'extreme', 'sr16uxa', 'micro', 'adaptador', 'card', 'adaptador', '94', 'de', 'usb', 'de']","Sandisk Extreme SR16UXA, Micro adaptador Card adaptador Speicherkarte 1 94 de Usb De"
97,{'8'},"['karta', 'sandisk', 'sdhc', 'gb', 'karty', 'pami', 'ci']","Karta SANDISK SDHC 8GB, Karty pami?ci"
98,{'64'},"['sandisk', 'sdhc', 'sdcs', '64', '32', '128', 'usb', 'card', '64go', 'class']",SanDisk SDHC SDCS 64 32 128 USB Card 64go Class (LSDMI32GCBEU1000R)
99,{'16'},"['lexar', 'jumpdrive', 's70', 'cle', 'usb', '2.0', '16', 'gris', 'ljds70', '16gabeu']",Lexar JumpDrive S70 Clé USB 2.0 16 Go Gris LJDS70-16GABEU
100,set(),"['tesco', 'usb', '3.0', 'uhs', 'card', '533x', 'da', 'a1', 'extreme']",Tesco USB - 3.0 UHS-I - Card 533x da A1 EXTREME
101,{'64'},"['lexar', 'direct', 'blade', 'tm', 'memoire', 'stick', '64go', 'read', '64', 'gb', 'microsdhc']",Lexar direct: Blade™ Mémoire Professional Stick 64GO+READ 64GB - microSDHC - /
102,{'64'},"['carte', 'memoire', 'sandisk', 'ultra', 'plus', 'microsdxc', '64go', '80mo', 'seconde', 'uhs', 'avec', 'sd']",Carte Mémoire Sandisk ultra PLUS MicroSDXC 64Go 80Mo/seconde UHS-I avec adaptateur SD\n
103,{'32'},"['kingston', 'dt101g2', '32', 'gb', 'usb', 'stick', 'usb', '2.0', 'lila']",Kingston DataTraveler DT101G2 32GB USB-Stick USB 2.0 lila
104,set(),"['pny', 'attache']",PNY Attaché 4
105,"{'32', '64'}","['shop', 'exceria', '32', 'gb', '64', 'gb', 'u3', 'otg', '10', 'gb', 'weiss']","Shop EXCERIA 32GB 64GB U3 Otg - 10, GB, Weiß"
106,{'32'},"['cle', 'usb', 'lexar', '32', 'gb', 'jumpdrive', 'v30', '32go', 'usb', '2.0', 'type', 'vert', 'blanc', 'lecteur', 'usb', 'flash']","Clé USB Lexar 32GB JumpDrive V30 32Go USB 2.0 Type A Vert, Blanc lecteur USB flash (MK1344856649)"
107,{'32'},"['toshiba', 'sd', 'tarjeta', 'de', 'memoria', 'de', '32', 'gb']",Toshiba SD-XPRO32UHS2 - Tarjeta de memoria de 32 GB
108,{'16'},"['achat', 'micro', 'sd', 'evo', 'plus', 'classe', '10', '16', 'samsung', 'dans', 'le', 'rayon', 'carte', 'micro', 'sd']",Achat MICRO SD EVO PLUS Classe 10 - 16 Go Samsung dans le rayon Carte Micro SD
109,set(),"['toshiba', 'thn', 'memoria', 'usb', 'portatile']",Toshiba THN-U202L0080E4 Memoria USB portatile
110,{'16'},"['lexar', 'jumpdrive', 's70', '16', 'gb', 'usb', '2.0', 'design', 'flash', 'drive', 'memory', 'stick', 'grey', 'pack']",Lexar Professional JumpDrive S70 16GB USB 2.0 Retractable Design Flash Drive Memory Stick - Grey (Pack of Two)
111,{'8'},"['pam', 'ova', 'karta', 'kingston', 'microsdhc', 'gb', 'uhs', 'u1', '45r', '10w', 'adapter']",Pam??ová karta Kingston MicroSDHC 8GB UHS-I U1 (45R/10W) + adapter
112,{'16'},"['tesco', 'direct', 'lexar', 'jumpdrive', 'v30', '16', 'gb', 'usb', '2.0', 'flash', 'drive', 'teal']",Tesco direct: Lexar JumpDrive V30 16 GB USB 2.0 Flash Drive - Teal
113,set(),"['carte', 'memoria', '32', 'class', 'microsdhc', 'file', 'u3', 'erna']","Carte - Memoria DataTraveler 32 Class - microSDHC - up File U3, ?erná"
114,{'16'},"['sdca3', '16', 'gb', '16', 'gb', 'micro', 'sdhc', 'uhs', 'speed', 'class', 'u3', '90r', '80w']",SDCA3/16GB 16GB Micro SDHC UHS-I speed class 3 (U3) 90R/80W
115,{'8'},"['carte', 'memoire', 'sony', 'carte', 'sdhc', '8go', '40', 'mo']",Carte mémoire Sony CARTE SDHC 8Go 40 Mo/s (MK935595673)
116,set(),"['sandisk', 'usb', 'stick', 'gn6ma', 'ultra', 'usb', 'sdhc', 'usb', 'silver', 'gb', 'blister', 'amazon.de', '10', 'hasta']",SanDisk USB-stick SDSQUAR-128G-GN6MA Ultra USB sdhc flashgeheugen USB - - Silver GB blister Amazon.de 10) hasta
117,"{'32', '302'}","['sandisk', 'exceria', 'glide', 'u302', 'azul', '32', 'gb', 'flash', 'uhs', 'u3', 'type']",SanDisk EXCERIA Glide - U302 Go! Azul 32GB flash Minneskort - UHS-I U3 Type
118,{'8'},"['toshiba', 'thn', 'penna', 'flash', 'da', 'gb', 'usb', '2.0', 'bianco']","Toshiba THN-U202W0080E4 Penna Flash da 8GB, USB 2.0, Bianco"
119,{'64'},"['sony', 'cruzer', 'extreme', '64', 'gb', 'card', '94', '10', 'uhs']",sony datatraveler cruzer extreme 64gb card 94 10 uhs +
120,"{'32', '64'}","['kingston', 'usb', '64', 'gb', 'plus', '512', 'usb', '32gb-', '10', 'carte']",Kingston USB 64GB Plus 512 Geheugenkaart USB 32GB- 10 Carte |
121,"{'32', '16'}","['achat', 'usb', '16', 'gb', '1000x', 'sdcr', '32gbsp', 'usb', 'gb']",ACHAT USB 16GB 1000X -(SDCR/32GBSP) USB GB
122,{'16'},"['tarjeta', 'sdcs', '16', 'gb', '32', 'ram', '3.0', 'uhs', '3.0', '300', 'mb']","Tarjeta SDCS/16GB 32 Generación RAM 3.0 UHS-I, 3.0 300MB/s | ?"
123,set(),"['sandisk', 'premium', 'uhs', 'pro', 'uhs', 'edge', 'micro', 'card', 'fnac.es', 'incl', 'uhs']",SANDISK Premium UHS-I PRO UHS-I Edge MICRO datatraveler Card . Fnac.es Incl. A UHS-I
124,{'128'},"['tesco', 'usm32gr', 'react', 'extreme', 'card', '128', 'gb', '3.1', 'sd', '128', 'gb', 'mo', 'card', 'mb', 'u1', 'sd', '10', 'sandisk']","Tesco USM32GR React - Extreme Card 128GB 3.1 SD 128GB, mo/s card MB/s, u1 SD, 10) SanDisk"
125,{'4'},"['intenso', 'rainbow', 'line', 'gb', 'usb', 'stick', '2.0', 'es', 'media', 'intenso']",Intenso Rainbow Line 4GB USB Stick 2.0 Es Media Intenso
126,set(),"['sandisk', 'premium', 'sdxc', 'ultra', 'kli', '3.0']",sandisk premium sdxc ultra klí? 4 minneskort 3.0
127,set(),"['sony', 'direct', 'gb', 'gb', '3.0', '16', 'u1']",SONY DIRECT: GB GB 3.0 16 U1
128,{'16'},"['memoria', 'carte', 'sony', 'class', 'memoria', '128', '16', 'gb', 'flash', 'rosso', '29eur', 'nero', 'abfoto', 'ffp', 'sandisk', 'gzfma']","memoria carte sony class memoria - 128 16gb flash rosso 29€. nero abfoto ffp,sandisk,sdsqunc-128g-gzfma"
