,id,name,price,brand,description,category,NER,NER_TEXT,NER_TEXT_REV,NER_TEXT_MID
12,729145,"SONY pami?ci ALU GLIDE Ultra 90/40MB/S 300MB/s C/ADAPT 10, Jetzt SDC4/16GB",408.99,SONY,,,"['adapt', 'alu', 'c', 'gb', 'glide', 'jetzt', 'pami?ci', 's', 'sdc4/16', 'sony', 'ultra']",adapt alu c gb glide jetzt pami?ci s sdc4/16 sony ultra,ultra sony sdc4/16 s pami?ci jetzt glide gb c alu adapt,gb glide jetzt pami?ci
13,385084,"SONY CRUZER PRO SD USB-STICK PRO GEHEUGENKAART WITH BLISTER GO SF-M128/T - + IN ADAPTER, MICRO ZU",66.99,Sony,,,"['adapter', 'blister', 'cruzer', 'geheugenkaart', 'm128', 'micro', 'pro', 'sd', 'sf', 'sony', 'stick', 't', 'usb', 'zu']",adapter blister cruzer geheugenkaart m128 micro pro sd sf sony stick t usb zu,zu usb t stick sony sf sd pro micro m128 geheugenkaart cruzer blister adapter,micro pro sd sf
14,852029,Kingston SDA3/128GB SDHC/SDXC 128GB Ultra High-Speed Class 3 Speicherkarte,61.89,,,,"['class', 'gb', 'high', 'kingston', 'sda3/128', 'sdhc', 'sdxc', 'speed', 'speicherkarte', 'ultra']",class gb high kingston sda3/128 sdhc sdxc speed speicherkarte ultra,ultra speicherkarte speed sdxc sdhc sda3/128 kingston high gb class,kingston sda3/128 sdhc sdxc
15,974909,SanDisk Ultra Dual USB-C 3.1 flash drive 64 GB - Diverse mobiltillbehör,349.0,,,,"['c', 'diverse', 'drive', 'dual', 'flash', 'gb', 'mobiltillbehör', 'sandisk', 'ultra', 'usb']",c diverse drive dual flash gb mobiltillbehör sandisk ultra usb,usb ultra sandisk mobiltillbehör gb flash dual drive diverse c,dual flash gb mobiltillbehör
16,270399,ANTRACYT (3.0) MICROSDHC CARTE SDHC 128GB MEMORIA,26.99,,Saber,,"['antracyt', 'carte', 'gb', 'memoria', 'microsdhc', 'sdhc']",antracyt carte gb memoria microsdhc sdhc,sdhc microsdhc memoria gb carte antracyt,gb memoria
17,852031,Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819),14.61,,,,"['clé', 'datatraveler', 'g2', 'kingston', 'mk1574653819', 'usb']",clé datatraveler g2 kingston mk1574653819 usb,usb mk1574653819 kingston g2 datatraveler clé,g2 kingston
18,41026,45MB/s Canvas Go 128 32 10 Product GB GB zu SD SanDisk to,15666.99,SanDisk,,,"['canvas', 'gb', 'product', 's', 'sandisk', 'sd', 'zu']",canvas gb product s sandisk sd zu,zu sd sandisk s product gb canvas,product s
19,376899,32gb sd sandisk xc pendrive memoria les ultra 16 go clé -,17.99,SanDisk,,,"['clé', 'gb', 'les', 'memoria', 'pendrive', 'sandisk', 'sd', 'ultra', 'xc']",clé gb les memoria pendrive sandisk sd ultra xc,xc ultra sd sandisk pendrive memoria les gb clé,memoria pendrive
20,868425,- SD PAM??OVÁ USB SANDISK MICROSDXC UHS-I 128 CONNECTÉS DANS 64,70.99,Sandisk,,,"['connectés', 'dans', 'microsdxc', 'pam??ová', 'sandisk', 'sd', 'uhs', 'usb']",connectés dans microsdxc pam??ová sandisk sd uhs usb,usb uhs sd sandisk pam??ová microsdxc dans connectés,pam??ová sandisk
21,294988,"carte sd pro sdxc fit type-a 8 c10 gen1 uhs-i 64go - mb/sek,",2688.99,,,,"['c10', 'carte', 'fit', 'gen1', 'mb', 'pro', 'sd', 'sdxc', 'sek', 'type', 'uhs']",c10 carte fit gen1 mb pro sd sdxc sek type uhs,uhs type sek sdxc sd pro mb gen1 fit carte c10,gen1 mb pro sd
22,49235,Tesco direct: Lexar JumpDrive S70 16GB USB Memory Flash Drive - (Burgundy) Small Blister,21.41,,,,"['blister', 'burgundy', 'direct', 'drive', 'flash', 'gb', 'jumpdrive', 'lexar', 'memory', 's70', 'small', 'tesco', 'usb']",blister burgundy direct drive flash gb jumpdrive lexar memory s70 small tesco usb,usb tesco small s70 memory lexar jumpdrive gb flash drive direct burgundy blister,flash gb jumpdrive lexar
23,1015893,Sony microSDXC 128 GB UHS-I U3 Class 10 + SD Adapter,164.5,,,,"['adapter', 'class', 'gb', 'microsdxc', 'sd', 'sony', 'u3', 'uhs']",adapter class gb microsdxc sd sony u3 uhs,uhs u3 sony sd microsdxc gb class adapter,microsdxc sd
24,581729,Lexar JumpDrive V30 - unidad flash USB - 16 GB en Fnac.es,,,,,"['en', 'flash', 'fnac.es', 'gb', 'jumpdrive', 'lexar', 'unidad', 'usb', 'v30']",en flash fnac.es gb jumpdrive lexar unidad usb v30,v30 usb unidad lexar jumpdrive gb fnac.es flash en,gb jumpdrive
25,606308,Shop Samsung 43-Inch Smart UHD TV UA43NU7100 Black online in Egypt,6550.0,Samsung,"Online shopping for Samsung, and more. Get amazing prices in Egypt",,"['black', 'egypt', 'inch', 'online', 'samsung', 'shop', 'smart', 'tv', 'ua43nu7100', 'uhd']",black egypt inch online samsung shop smart tv ua43nu7100 uhd,uhd ua43nu7100 tv smart shop samsung online inch egypt black,online samsung shop smart
26,278631,sandisk high-performance sdhc pro 32 (95 mb/s class line flash gen,13.99,SanDisk,,,"['class', 'flash', 'gen', 'high', 'line', 'mb', 'performance', 'pro', 's', 'sandisk', 'sdhc']",class flash gen high line mb performance pro s sandisk sdhc,sdhc sandisk s pro performance mb line high gen flash class,high line mb performance
27,147565,Tesco Ultra 633x 633x TRAVELER UHS-I pour Zilver 10 - 3.0 10,32.02,,,,"['pour', 'tesco', 'traveler', 'uhs', 'ultra', 'zilver']",pour tesco traveler uhs ultra zilver,zilver ultra uhs traveler tesco pour,traveler uhs
28,516210,(64 Professional 10 Adaptateur sony32gb SD\n GB - 32GB DT101 le m3.0 A1 3.0 Pro,13.99,,,,"['a1', 'adaptateur', 'dt101', 'gb', 'le', 'm3.0', 'pro', 'professional', 'sd\\n', 'sony32']",a1 adaptateur dt101 gb le m3.0 pro professional sd\n sony32,sony32 sd\n professional pro m3.0 le gb dt101 adaptateur a1,gb le m3.0 pro
29,409715,"SanDisk - DUAL SDXC GB 32GB USB adaptateur GB, color le",12599.0,SanDisk,,,"['adaptateur', 'color', 'dual', 'gb', 'le', 'sandisk', 'sdxc', 'usb']",adaptateur color dual gb le sandisk sdxc usb,usb sdxc sandisk le gb dual color adaptateur,gb le
30,843892,kingston mémoire uhs-i pro extreme microsdhc flash bianco adapter flashgeheugen accesorios,7.99,Kingston,,,"['accesorios', 'adapter', 'bianco', 'extreme', 'flash', 'flashgeheugen', 'kingston', 'microsdhc', 'mémoire', 'pro', 'uhs']",accesorios adapter bianco extreme flash flashgeheugen kingston microsdhc mémoire pro uhs,uhs pro mémoire microsdhc kingston flashgeheugen flash extreme bianco adapter accesorios,extreme flash flashgeheugen kingston
31,966772,"GB II; Premium Micro 32 Carte 32 GB,",264.99,,,,"['carte', 'gb', 'ii', 'micro', 'premium']",carte gb ii micro premium,premium micro ii gb carte,gb ii
32,991357,Clé USB Lexar P20 USB 3.0 128 GO (4187407),90.11,,,,"['clé', 'lexar', 'p20', 'usb']",clé lexar p20 usb,usb p20 lexar clé,
33,106622,de Card - 4 3.0 de Up Tarjeta Class UHS-II Memoria File pami?ci +,25.99,,,,"['card', 'class', 'de', 'file', 'ii', 'memoria', 'pami?ci', 'tarjeta', 'uhs']",card class de file ii memoria pami?ci tarjeta uhs,uhs tarjeta pami?ci memoria ii file de class card,file ii
34,606341,"Kingston MICRO Canvas Cruzer USB U3/95/V30 2.0 G [Amazon de con Memorie A MB/s, drive",193.0,Kingston,,,"['amazon', 'canvas', 'con', 'cruzer', 'de', 'drive', 'g', 'kingston', 'mb', 'memorie', 'micro', 's', 'u3/95', 'usb', 'v30']",amazon canvas con cruzer de drive g kingston mb memorie micro s u3/95 usb v30,v30 usb u3/95 s micro memorie mb kingston g drive de cruzer con canvas amazon,de drive g kingston mb memorie
35,303238,"SanDisk SD Externe USB PRO microSD (SDCZ48-128G-GTV46) 32 - 3 AB U3 Gen 10, INC,LJDV30-64GABEU de",12.99,SanDisk,,,"['ab', 'de', 'externe', 'gen', 'gtv46', 'inc', 'ljdv30', 'microsd', 'pro', 'sandisk', 'sd', 'sdcz48', 'u3', 'usb']",ab de externe gen gtv46 inc ljdv30 microsd pro sandisk sd sdcz48 u3 usb,usb u3 sdcz48 sd sandisk pro microsd ljdv30 inc gtv46 gen externe de ab,inc ljdv30 microsd pro
36,65676,Intenso 3502450 4GB Rainbow USB 2.0 Flash Drive - Transparent Blue,8.28,,,,"['blue', 'drive', 'flash', 'gb', 'intenso', 'rainbow', 'transparent', 'usb']",blue drive flash gb intenso rainbow transparent usb,usb transparent rainbow intenso gb flash drive blue,gb intenso
37,573585,Lexar Extreme Micro-SDXC adaptador 64Go 32 32 ultra - SD 10 read,359.0,Lexar,,Página,"['adaptador', 'extreme', 'lexar', 'micro', 'read', 'sd', 'sdxc', 'ultra']",adaptador extreme lexar micro read sd sdxc ultra,ultra sdxc sd read micro lexar extreme adaptador,micro read
38,770193,sandisk v30 sd dtig4 64 100mb/s 128gb de - mb/s go adaptateur recording - usb flash,12.99,SANDISK,,,"['adaptateur', 'de', 'dtig4', 'flash', 'gb', 'mb', 'recording', 's', 'sandisk', 'sd', 'usb', 'v30']",adaptateur de dtig4 flash gb mb recording s sandisk sd usb v30,v30 usb sd sandisk s recording mb gb flash dtig4 de adaptateur,gb mb recording s
39,1106068,Intenso Basic Line 16 GB USB-Stick USB 2.0 silber-schwarz,,,,,"['basic', 'gb', 'intenso', 'line', 'schwarz', 'silber', 'stick', 'usb']",basic gb intenso line schwarz silber stick usb,usb stick silber schwarz line intenso gb basic,line schwarz
40,1196184,"Karta microSDXC DUAL SF-G flash UHS pendrive MB/s, adpater 4G A 3c,Kingston MB/s KINGSTON",35.99,KINGSTON,,,"['adpater', 'dual', 'flash', 'g', 'karta', 'kingston', 'mb', 'microsdxc', 'pendrive', 's', 'sf', 'uhs']",adpater dual flash g karta kingston mb microsdxc pendrive s sf uhs,uhs sf s pendrive microsdxc mb kingston karta g flash dual adpater,karta kingston mb microsdxc
41,573593,Kingston - Flash memory card - 128 GB - UHS Class 3 / Class10 - SDXC UHS-I,54.41,,,,"['card', 'class', 'class10', 'flash', 'gb', 'kingston', 'memory', 'sdxc', 'uhs']",card class class10 flash gb kingston memory sdxc uhs,uhs sdxc memory kingston gb flash class10 class card,flash gb
42,426139,Sony SD GO 64GB UHS-I 64GB 4 280mb/s A1 Green 3.0 16 color with,101.13,Sony,,,"['a1', 'color', 'gb', 'green', 's', 'sd', 'sony', 'uhs']",a1 color gb green s sd sony uhs,uhs sony sd s green gb color a1,green s
43,958624,Clé USB Sony Clé OTG 16Go USM16CA1 type C et USB 3.1 (4190041),29.99,,,,"['c', 'clé', 'et', 'otg', 'sony', 'type', 'usb', 'usm16ca1']",c clé et otg sony type usb usm16ca1,usm16ca1 usb type sony otg et clé c,otg sony
44,1122472,Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go,46.83,Accessoires,,,"['accessoires', 'bracelets', 'carte', 'connectés', 'extreme', 'montres', 'mémoire', 'sandisk', 'sdxc']",accessoires bracelets carte connectés extreme montres mémoire sandisk sdxc,sdxc sandisk mémoire montres extreme connectés carte bracelets accessoires,connectés extreme
45,483497,"MEMORIA EXTREM 64GB USM64SA3 64GO SDHC (SDCZ48 UHS-I U3 GB - USB LESEN),TOSHIBA,THN-N401S0320E4 LESEN),TOSHIBA,5300056 1) U3",21.99,,,,"['extrem', 'gb', 'lesen),toshiba', 'lesen),toshiba,5300056', 'memoria', 'n401s0320e4', 'sdcz48', 'sdhc', 'thn', 'u3', 'uhs', 'usb', 'usm64sa3']","extrem gb lesen),toshiba lesen),toshiba,5300056 memoria n401s0320e4 sdcz48 sdhc thn u3 uhs usb usm64sa3","usm64sa3 usb uhs u3 thn sdhc sdcz48 n401s0320e4 memoria lesen),toshiba,5300056 lesen),toshiba gb extrem",memoria n401s0320e4 sdcz48 sdhc
46,139434,"+ SD-Adapter MicroSDXC SuperSpeed Class10 USB-flashstation Black Blade LXQD32GCRBEU2933 Lecture Samsung 4G USB MB/s) (64gb,",21.99,Samsung,,,"['adapter', 'black', 'blade', 'class10', 'flashstation', 'g', 'gb', 'lecture', 'lxqd32gcrbeu2933', 'mb', 'microsdxc', 's', 'samsung', 'sd', 'superspeed', 'usb']",adapter black blade class10 flashstation g gb lecture lxqd32gcrbeu2933 mb microsdxc s samsung sd superspeed usb,usb superspeed sd samsung s microsdxc mb lxqd32gcrbeu2933 lecture gb g flashstation class10 blade black adapter,g gb lecture lxqd32gcrbeu2933 mb microsdxc
47,786608,Toshiba pami?ci MicroSDXC 256 MicroSDXC mémoire 10 Go 3.0 EXTRA GB to 16GB 32Go le,169.99,Toshiba,,,"['extra', 'gb', 'le', 'microsdxc', 'mémoire', 'pami?ci', 'toshiba']",extra gb le microsdxc mémoire pami?ci toshiba,toshiba pami?ci mémoire microsdxc le gb extra,le microsdxc
48,721081,Clé Cruzer Pro Card U1 flash GB 16Go avec 10,48.99,,,,"['avec', 'card', 'clé', 'cruzer', 'flash', 'gb', 'pro', 'u1']",avec card clé cruzer flash gb pro u1,u1 pro gb flash cruzer clé card avec,cruzer flash
49,1048766,"microsdxc sandisk carte speicherkarte, gb u302 standard 64gb usb-flash-laufwerk sdsquni-256g-gn6ma mo/s mb/sec,",28.99,SANDISK,,,"['carte', 'flash', 'gb', 'gn6ma', 'laufwerk', 'mb', 'microsdxc', 'mo', 's', 'sandisk', 'sdsquni-256g', 'sec', 'speicherkarte', 'standard', 'u302', 'usb']",carte flash gb gn6ma laufwerk mb microsdxc mo s sandisk sdsquni-256g sec speicherkarte standard u302 usb,usb u302 standard speicherkarte sec sdsquni-256g sandisk s mo microsdxc mb laufwerk gn6ma gb flash carte,mb microsdxc mo s sandisk sdsquni-256g
50,712925,"SanDisk SD Memoria G-SERIE de GB, 45MB V30 MB/s, X, USB",56.12,SanDisk,,,"['de', 'g', 'gb', 'mb', 'memoria', 's', 'sandisk', 'sd', 'serie', 'usb', 'v30', 'x']",de g gb mb memoria s sandisk sd serie usb v30 x,x v30 usb serie sd sandisk s memoria mb gb g de,memoria s sandisk sd
51,418013,Kingston DataTraveler 101 G2 16 GB USB 2.0 Flash Drive - Black,6.35,,,,"['black', 'datatraveler', 'drive', 'flash', 'g2', 'gb', 'kingston', 'usb']",black datatraveler drive flash g2 gb kingston usb,usb kingston gb g2 flash drive datatraveler black,flash g2
52,32994,SANDISK de microSDXC GLIDE 16GB 64GB CLASS Card 300MB/s,124.95,SANDISK,,,"['card', 'class', 'de', 'gb', 'glide', 'microsdxc', 's', 'sandisk']",card class de gb glide microsdxc s sandisk,sandisk s microsdxc glide gb de class card,gb glide
53,303333,"Sandisk Cruzer Glide 256 GB 256GB USB 2.0 Negro, Rojo unidad flash USB VIPDOMO Sandisk",74.87,,Saber más sobre Guardado y comparar para elegir mejor. 5% de descuento para Socios. Puedes comprar online Fnac.es y recoger en tienda gratis.,,"['cruzer', 'flash', 'gb', 'glide', 'negro', 'rojo', 'sandisk', 'unidad', 'usb', 'vipdomo']",cruzer flash gb glide negro rojo sandisk unidad usb vipdomo,vipdomo usb unidad sandisk rojo negro glide gb flash cruzer,glide negro rojo sandisk
54,901351,Pendrive KINGSTON 512GB HXSAV USB 3.1,269.0,,,,"['gb', 'hxsav', 'kingston', 'pendrive', 'usb']",gb hxsav kingston pendrive usb,usb pendrive kingston hxsav gb,hxsav kingston
55,1106153,SanDisk Extreme PRO microSDHC Minneskort 16 GB - Minneskort till mobil,379.0,,,,"['extreme', 'gb', 'microsdhc', 'minneskort', 'mobil', 'pro', 'sandisk', 'till']",extreme gb microsdhc minneskort mobil pro sandisk till,till sandisk pro mobil minneskort microsdhc gb extreme,minneskort mobil
56,237804,Carte Extreme Series microSDXC Canvas Flash USB Drive Class Wit Fnac.es USB,100.81,,,,"['canvas', 'carte', 'class', 'drive', 'extreme', 'flash', 'fnac.es', 'microsdxc', 'series', 'usb', 'wit']",canvas carte class drive extreme flash fnac.es microsdxc series usb wit,wit usb series microsdxc fnac.es flash extreme drive class carte canvas,drive extreme flash fnac.es
57,295148,"sony carte microsdxc minneskort 32 10 - professional nero, sdhc blue 100 mb/s, mb/s, homologuée",10.99,Sony,,,"['blue', 'carte', 'homologuée', 'mb', 'microsdxc', 'minneskort', 'nero', 'professional', 's', 'sdhc', 'sony']",blue carte homologuée mb microsdxc minneskort nero professional s sdhc sony,sony sdhc s professional nero minneskort microsdxc mb homologuée carte blue,mb microsdxc minneskort nero
58,557293,Flash USB 64Go GLIDE 90MB/S Solid + Sony,88.99,Sony,,,"['flash', 'glide', 's', 'solid', 'sony', 'usb']",flash glide s solid sony usb,usb sony solid s glide flash,s solid
59,958702,Kingston - microSDHC 32GB 128GB 64 90MB/s adaptateur + GB (28 FOTOKSI??K? 10 Egypt Kostenloser Amazon.de Classe,39.03,Kingston,Chiavette,,"['adaptateur', 'amazon.de', 'classe', 'egypt', 'fotoksi??k', 'gb', 'kingston', 'kostenloser', 'microsdhc', 's']",adaptateur amazon.de classe egypt fotoksi??k gb kingston kostenloser microsdhc s,s microsdhc kostenloser kingston gb fotoksi??k egypt classe amazon.de adaptateur,egypt fotoksi??k gb kingston
60,1057005,sony class10 microsdhc digital 256 x300 achat + fit,100.99,SONY,SANDISK,,"['achat', 'class10', 'digital', 'fit', 'microsdhc', 'sony', 'x300']",achat class10 digital fit microsdhc sony x300,x300 sony microsdhc fit digital class10 achat,digital fit
61,1212654,sandisk datatraveler mémoire sdxc microsd gr usb-flash-laufwerk rayon memory class not gb,70.99,SanDisk,,,"['class', 'datatraveler', 'flash', 'gb', 'gr', 'laufwerk', 'memory', 'microsd', 'mémoire', 'rayon', 'sandisk', 'sdxc', 'usb']",class datatraveler flash gb gr laufwerk memory microsd mémoire rayon sandisk sdxc usb,usb sdxc sandisk rayon mémoire microsd memory laufwerk gr gb flash datatraveler class,gr laufwerk memory microsd
62,1089779,"Samsung microSDXC PRO PRO Professional microSDHC Bianco Class anthrazit,Intenso,3521451 Minneskort, (4247892) Packaging",11.99,Samsung,,,"['anthrazit', 'bianco', 'class', 'intenso,3521451', 'microsdhc', 'microsdxc', 'minneskort', 'packaging', 'pro', 'professional', 'samsung']","anthrazit bianco class intenso,3521451 microsdhc microsdxc minneskort packaging pro professional samsung","samsung professional pro packaging minneskort microsdxc microsdhc intenso,3521451 class bianco anthrazit","intenso,3521451 microsdhc microsdxc minneskort"
63,311540,"Kingston SDA3/128GB - Tarjeta de memoria SDHC/SDXC UHS-I U3, 128 GB velocidades 90R/80W",64.45,,,,"['de', 'gb', 'kingston', 'memoria', 'sda3/128', 'sdhc', 'sdxc', 'tarjeta', 'u3', 'uhs', 'velocidades']",de gb kingston memoria sda3/128 sdhc sdxc tarjeta u3 uhs velocidades,velocidades uhs u3 tarjeta sdxc sdhc sda3/128 memoria kingston gb de,memoria sda3/128 sdhc sdxc
64,844030,tesco micro 64 pro sans mémoire pour,86.99,,,,"['micro', 'mémoire', 'pour', 'pro', 'sans', 'tesco']",micro mémoire pour pro sans tesco,tesco sans pro pour mémoire micro,pour pro
65,336140,SanDisk Cruzer Glide 256 GB USB-Flash-Laufwerk USB 2.0,87.92,,,,"['cruzer', 'flash', 'gb', 'glide', 'laufwerk', 'sandisk', 'usb']",cruzer flash gb glide laufwerk sandisk usb,usb sandisk laufwerk glide gb flash cruzer,gb glide
66,1040659,SanDisk LSDMI8GBBBEU300A Extreme Ultra - blau Card LSDMI16GBB1EU300A,126.99,SanDisk,,,"['blau', 'card', 'extreme', 'lsdmi16gbb1eu300a', 'lsdmi8gbbbeu300a', 'sandisk', 'ultra']",blau card extreme lsdmi16gbb1eu300a lsdmi8gbbbeu300a sandisk ultra,ultra sandisk lsdmi8gbbbeu300a lsdmi16gbb1eu300a extreme card blau,extreme lsdmi16gbb1eu300a
67,934163,Shop Samsung Galaxy A20 Dual SIM Black 32GB 4G LTE online in Egypt,2594.0,Samsung,"Online shopping for Samsung, and more. Get amazing prices in Egypt",,"['a20', 'black', 'dual', 'egypt', 'g', 'galaxy', 'gb', 'lte', 'online', 'samsung', 'shop', 'sim']",a20 black dual egypt g galaxy gb lte online samsung shop sim,sim shop samsung online lte gb galaxy g egypt dual black a20,g galaxy gb lte
68,385301,"Lexar Extreme Cruzer 16 UHS-I/U3 512GB High USB velocidades flash adaptador, 32GB MB/sec, USB 10 allant",76.99,Lexar,,,"['adaptador', 'allant', 'cruzer', 'extreme', 'flash', 'gb', 'high', 'lexar', 'mb', 'sec', 'u3', 'uhs', 'usb', 'velocidades']",adaptador allant cruzer extreme flash gb high lexar mb sec u3 uhs usb velocidades,velocidades usb uhs u3 sec mb lexar high gb flash extreme cruzer allant adaptador,gb high lexar mb
69,729366,sandisk usb professional xc (niebieski) hasta classe (cl.4)+,17.99,Sandisk,Saber,,"['cl.4)+', 'classe', 'hasta', 'niebieski', 'professional', 'sandisk', 'usb', 'xc']",cl.4)+ classe hasta niebieski professional sandisk usb xc,xc usb sandisk professional niebieski hasta classe cl.4)+,niebieski professional
70,164122,SanDisk Cruzer Glide 256 GB USB 2.0 Flash Drive,82.99,,,,"['cruzer', 'drive', 'flash', 'gb', 'glide', 'sandisk', 'usb']",cruzer drive flash gb glide sandisk usb,usb sandisk glide gb flash drive cruzer,flash gb
71,1196320,Lexar P20 128GB USB 3.0 JumpDrive - LJDP20-128CRBEU,108.9,,,,"['gb', 'jumpdrive', 'lexar', 'ljdp20', 'p20', 'usb']",gb jumpdrive lexar ljdp20 p20 usb,usb p20 ljdp20 lexar jumpdrive gb,lexar ljdp20
72,147746,KINGSTON HyperX Savage 512 GB,364.7,KINGSTON TECHNOLOGY,,,"['gb', 'hyperx', 'kingston', 'savage']",gb hyperx kingston savage,savage kingston hyperx gb,
73,786727,Kingston Carte Sd Professionnelles Sda10 256Gb Uhs-I Sdhc Sdxc Classe 10 - 256Go,,,,,"['carte', 'classe', 'kingston', 'professionnelles', 'sd', 'sda10', 'sdhc', 'sdxc', 'uhs']",carte classe kingston professionnelles sd sda10 sdhc sdxc uhs,uhs sdxc sdhc sda10 sd professionnelles kingston classe carte,professionnelles sd
74,852267,"SONY SDXC SDXC SDHC 32GB, STATE ULTRA JUSQU\'À KAMERA 10 - USB LECTURA/380MB/S 10) CLASE JETZT",58.99,SONY,,,"['clase', 'gb', 'jetzt', ""jusqu\\'à"", 'kamera', 'lectura/380mb', 's', 'sdhc', 'sdxc', 'sony', 'state', 'ultra', 'usb']",clase gb jetzt jusqu\'à kamera lectura/380mb s sdhc sdxc sony state ultra usb,usb ultra state sony sdxc sdhc s lectura/380mb kamera jusqu\'à jetzt gb clase,kamera lectura/380mb s sdhc
75,696619,Shop Samsung 32-Inch Flat HD LED TV Series 5 UA32N5000 Black online in Egypt,3199.0,Samsung,"Online shopping for Samsung, and more. Get amazing prices in Egypt",,"['black', 'egypt', 'flat', 'hd', 'inch', 'led', 'online', 'samsung', 'series', 'shop', 'tv', 'ua32n5000']",black egypt flat hd inch led online samsung series shop tv ua32n5000,ua32n5000 tv shop series samsung online led inch hd flat egypt black,inch led online samsung
76,966955,Kingston Data Traveler I G4 64GB USB 3.0,89.99,,,,"['data', 'g4', 'gb', 'kingston', 'traveler', 'usb']",data g4 gb kingston traveler usb,usb traveler kingston gb g4 data,gb kingston
77,655666,Shop Samsung Galaxy A10 Dual SIM Blue 32GB 4G LTE online in Egypt,1999.0,Samsung,"Online shopping for Samsung, and more. Get amazing prices in Egypt",,"['a10', 'blue', 'dual', 'egypt', 'g', 'galaxy', 'gb', 'lte', 'online', 'samsung', 'shop', 'sim']",a10 blue dual egypt g galaxy gb lte online samsung shop sim,sim shop samsung online lte gb galaxy g egypt dual blue a10,g galaxy gb lte
