,date,journal,pages,volume,title,author,note,address,publisher,booktitle,editor,booktile,institution,tech,Pages,year,type,month,id
15, 1995. ," Presence,"," 364-386, ", 4(4) , Networked Virtual realitty and Cooperative Work. ," Steve Benford, John Bowers, Lennart Fahlen, Chris Greenhalg, John Mariani, and Tom Rodden. ",,,,,,,,,,,,,15
16," (1992b), ",, pp. 95-109. ,," Actress: an action semantics directed compiler generator, "," Brown, D. F., Moura, H. & Watt, D. A. ","Vol. 641 of Lecture Notes in Computer Science, "," Paderborn, Germany, "," Springer-Verlag, "," `Proceedings of the International Workshop on Compiler Construction (CC-92)', "," in U. Kas-tens & P. Pfahler, eds, ",,,,,,,,16
17," (1992b), ",, pp. 95-109. ,," Actress: an action semantics directed compiler generator, "," Brown, D. F., Moura, H. & Watt, D. A. ","Vol. 641 of Lecture Notes in Computer Science, "," Paderborn, Germany, "," Springer-Verlag, "," `Proceedings of the International Workshop on Compiler Construction (CC-92)', "," in U. Kas-tens & P. Pfahler, eds, ",,,,,,,,17
18,October 1992. ,," pages 95-109, ",, an action semantics directed compiler generator. ," D. F. Brown, H. Moura, and D. A. Watt. Actress: ","volume 641 of Lecture Notes in Computer Science, "," Paderborn, FRG, ", Springer-Verlag. ," Proceedings of the 4th International Conference on Compiler Construction (CC'92), "," In U. Kastens and P. Pfahler, editors, ",,,,,,,,18
19, 1992. ,,,, Provably correct compiler development and implementation. ," B. Buth, K.-H. Buth, M. Franzle, B. v. Karger, Y. Lakhneche, H. Langmaack, and M. Muller-Olm. ",volume 641 of Lecture Notes in Computer Science. ,," Springer-Verlag, "," Compiler Construction, "," In U. Kastens and P. Pfahler, editors, ",,,,,,,,19
20," 1992, ",, pp. 141-155. ,," Provably Correct Compiler Implementation, "," B. Buth et. al., ",,," Springer Verlag, LNCS 641, "," Compiler Construction, ", in U. Karstens and P. Pfahler (eds.) ,,,,,,,,20
21," 1992, ",, pp. 141-155. ,," Provably Correct Compiler Implementation, "," B. Buth et. al., ",,," Springer Verlag, LNCS 641, "," Compiler Construction, ", in U. Karstens and P. Pfahler (eds.) ,,,,,,,,21
22," 1992, ",, pp. 141-155. ,," Provably Correct Compiler Implementation, "," B. Buth et. al., ",,," Springer Verlag, LNCS 641, "," Compiler Construction, ", in U. Karstens and P. Pfahler (eds.) ,,,,,,,,22
23, 1992. ,, pages 141-155. ,, Provably correct compiler development and implementation. ," Bettina Buth, Karl-Heinz Buth, Martin Franzle, Burghard von Karger, Yassine Lakhneche, Hans Langmaack, and Markus Muller-Olm. ",,," Springer-Verlag, "," Compiler Construction, number 641 in Lecture Notes in Computer Science, "," In U. Kastens and P. Pfahler, editors, ",,,,,,,,23
24, 1993. ,, 513 ,, Integrated CSCW Tools Within a Shared 3D Virtual Environment.," Carlson, C.; L.E.Fahln. ",, NY:, Morgan Kaufmann. , In Computer Supported Cooperative Work: A Book of Readings. , Ed. Irene Greit:," In Proceedings of InterCHI93 (Amsterdam). ACM,",,,,,,,24
25, (1985). ,," pages 183-187, ",, A representation for the adaptive generation of simple sequential programs. ," Cramer, N. L. ",," Hillsdale, NJ. ", Lawrence Erlbaum Associates. ," Proceedings of an International Conference on Genetic Algorithms and Their Applications, "," In Grefenstette, J., editor, ",,,,,,,,25
26, (1995). ,,,," IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman, "," Daelemans, W., Van den Bosch, A., and Weijters, T. ",," Pittsburgh, PA. ",,," S. E. and Lebiere, C. ",," School of Computer Science, Carnegie-Mellon University, "," Technical Report CMU-CS-90-100, ",,,,,26
29, (1989).,, pp. 42-50. ,, An investigation of niche and species formation in genetic function optimization. ,,,, Morgan Kaufmann. ," Proceedings of the Third International Conference on Genetic Algorithms, "," Deb, K. and D. Goldberg ",,,,,,,,29
30, (1977). ," Journal of the Royal Statistical Society B, ", 1-38. , 39 , Maximum likelihood from incomplete data via the EM algorithm. ," Dempster, A., Laird, N., and Rubin, D. ",,,,,,,,,,,,,30
31, (1977). ," Journal of the Royal Statistical Society B, ", 1-38. , 39 , Maximum likelihood from incomplete data via the EM algorithm. ," Dempster, A., Laird, N., and Rubin, D. ",,,,,,,,,,,,,31
36, 1988. ,, pages 443-450. ," volume 2, ", Bond rating: A non-conservative application of neural networks. ," Dutta, S. and Shekhar, S. ",,,," In International Joint Conference on Neural Networks, ",,,"Computer and Information Sciences, University of Florida ", TR91-008 ,,,,,36
37, 1981. ,," 451-477, ", 213 , Visual hyperacuity: spatiotemporal interpolation in human vision. , M. Fahle and T. Poggio. ,,,," Proceedings of the Royal Society of London, B, ",,,,,,,,,37
39, (1992). ,Vision Research.,,, Learning in hyperacuity: influence of stimulus range and of feedback. ," Fahle, M. W. and Edelman, S. ",,, in press. ,,,,,,,,,,39
40, 1993. ," Vision Research, "," 397-412, ", 33(3) ," Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback. ", M Fahle and S Edelman. ,,,,,,,,,,,,,40
41, (1993). ," Vision Research, ", 397-412. ," 33, "," Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback. "," Fahle, M. & Edelman, S. ",,,,,,,,,,,,,41
43, (1995). ," Vision Research, ", 3003-3013. , 35 , Fast perceptual learning in hyperacuity. ," Fahle, M., Edelman, S., and Poggio, T. ",,,,,,,,,,,,,43
44, (1995). ," Vision Research, ", 3003-3013. , 35 , Fast perceptual learning in hyperacuity. ," Fahle, M., Edelman, S., and Poggio, T. ",,,,,,,,,,,,,44
45, (1995). ," Vision Research, ", 3003-3013. , 35 , Fast perceptual learning in hyperacuity. ," Fahle, M., Edelman, S., and Poggio, T. ",,,,,,,,,,,,,45
47, (1997). ," Vision Research, ", 1885-1895. 66 ," 37(14), "," Specificity of learning curvature, orientation, and vernier discriminations. "," Fahle, M. ",,,,,,,,,,,,,47
49, April ,," pages 4348, ",, A space based model for user interaction in shared synthetic environments. ," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,,49
50, April ,," pages 43-48, ",, A space based model for user interaction in shared synthetic environments. ," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,,50
51, April ,," pages 43-48, ",, A space based model for user interaction in shared synthetic environments. ," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,,51
52, April ,," pages 43-48, ",, A space based model for user interaction in shared synthetic environments. ," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,,52
53, April ,," pages 43-48, ",, A space based model for user interaction in shared synthetic environments. ," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,,53
54, 1974. ," Artificial Intelligence, "," pp. 1-49, "," vol. 5, "," ""A planning system for robot construction tasks,"" "," S. Fahlman, ",,,,,,,,,,,,,54
55, 1974. ," Artificial Intelligence, "," pp. 1-49, "," vol. 5, "," ""A planning system for robot construction tasks,"" "," S. Fahlman, ",,,,,,,,,,,,,55
56, 1974. ," Artificial Intelligence, "," 1-49, ", 5(1) , A planning system for robot construction tasks. , Scott Elliott Fahlman. ,,,,,,,,,,,,,56
57, 1974. ," Artificial Intelligence, "," 1-49, ", 5(1) , A planning system for robot construction tasks. , Scott Elliott Fahlman. ,,,,,,,,,,,,,57
58, (1974). ," Artificial Intelligence, ", 1-49. ," 5 (1), ", A Planning System for Robot Construction Tasks. ," Fahlman, S. E. ",,,,,,,,,,,,,58
59, 1974. ," Artificial Intelligence, ", 1-49. , 5(1) , A Planning System for Robot Construction Tasks. ," Fahlman, S.E. ",,,,,,,,,,,,,59
60, 1974. ," Artificial Intelligence, "," 1-49, ", 5 , A planning system for robot construction tasks. , S. E. Fahlman. ,,,,,,,,,,,,,60
61, 1974. ," Artificial Intelligence, "," 1-49, ", 5 , A planning system for robot construction tasks. , S. E. Fahlman. ,,,,,,,,,,,,,61
62, 1974. ," Artificial Intelligence, "," 1-49, ", 5 , A planning system for robot construction tasks. , S.E. Fahlman. ,,,,,,,,,,,,,62
63, 1974. ," Artificial Intelligence, "," 1-49, ", 5 , A planning system for robot construction tasks. , S Fahlman. ,,,,,,,,,,,,,63
64, 1974. ,," 1-49, ",, A planning system for robot construction tasks. , S. F. Fahlman. ,,,," Artifical Intel-lignece, 5:pp. ",,,,,,,,,64
65, 1974. ," Artificial Intelligence, "," 1-49, ", 5 , A planning system for robot construction tasks. , S. E. Fahlman. ,,,,,,,,,,,,,65
66, 1974. ," Artificial Intelligence, "," 1-49, ", 5(1) , A planning system for robot construction tasks. , Scott Elliott Fahlman. ,,,,,,,,,,,,,66
67, 1979. ,,,," NETL: A system for representing and using real world knowledge, "," Fahlman, S. E., ",,, Cambridge: MIT Press. ,,,,,,,,,,67
68, 1979. ,,,, NETL: A System for Representing and Using Real World Knowledge. , S. E. Fahlman. ,," Cambridge MA, "," MIT Press, ",,,,,,,,,,68
69, (1979). ,,,, NETL: A system for representing and using real world knowledge. ," Fahlman, S. ",,, MIT Press. ,,,,,,,,,,69
70, (1979). ,,,, NETL: A System for Representing and Using Real World Knowledge. ," Fahlman, S. E. ",, Cambridge MA. ," MIT Press, ",,,,,,,,,,70
71, (1979). ,,,, NETL: A System for Representing and Using Real World Knowledge. ," Fahlman, S. E. ",," Cambridge, MA. "," MIT Press, ",,,,,,,,,,71
72, (1979). ,,,, NETL: A System for Representing and Using Real-World Knowledge. ," Fahlman, S. E. ",,, MIT Press. ,,,,,,,,,,72
73, (1979). ,,,, NETL: A System for Representing and Using Real-World Knowledge. ," Fahlman, S. E. ",," Cambridge, MA. "," The MIT Press, ",,,,,,,,,,73
74, (1979). ,,,, NETL: A System for Representing and Using Real-World Knowledge. ," Fahlman, S. E. ",," Cambridge, MA. "," The MIT Press, ",,,,,,,,,,74
75, 1979. ,,,," NETL: A System for Representing and Using Real World Knowledge, "," Fahlman, S. E., ",,, Cambridge: MIT Press. ,,,,,,,,,,75
76, 1979. ,,,," NETL: A System for Representing and Using Real World Knowledge, "," Fahlman, S. E., ",,, Cambridge: MIT Press. ,,,,,,,,,,76
77, 1979. ,,,," NETL: A System for Representing and Using Real World Knowledge, "," Fahlman, S. E., ",,, Cambridge: MIT Press. ,,,,,,,,,,77
78, 1979. ,,,," NETL: A System for Representing and Using Real World Knowledge, Cam-bridge: "," Fahlman, S. E., ",,, MIT Press. ,,,,,,,,,,78
79, 1979. ,,,," NETL: A system for representing and using real world knowledge, "," Fahlman, S. E., ",,, Cambridge: MIT Press. ,,,,,,,,,,79
80, (1979). ,,,, NETL: A System for Representing and Using Real-World Knowledge. ," Fahlman, S.E. ",," Cambridge, MA. "," MIT Press, ",,,,,,,,,,80
81, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , Scott E. Fahlman. ,," Cambridge, MA, "," MIT Press, ",,,,,,,,,,81
82, 1979. ,,,, NETL : a System for Representing and Using Real-World Knowledge. , S. E. Fahlman. ,," Cambridge, Mass., "," MIT Press, ",,,,,,,,,,82
84, 1979. ,,,, A System for Representing and Using Real-World Knowledge. , Scott E. Fahlman. ,," Cambridge, MA, "," MIT Press, ",,,,,,,,,,84
85, 1979. ,,,, A System for Representing and Using Real-World Knowledge. , Scott E. Fahlman. ,," Cambridge, MA, "," MIT Press, ",,,,,,,,,,85
86, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , Scott E. Fahlman. ,," Cambridge, MA, "," MIT Press, ",,,,,,,,,,86
87, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. ," S. Fahlman, ",," Cambridge, Massachusetts, "," The MIT Press, ",,,,,,,,,,87
88, 1979. ,,,, NETL: A System for Representing Real World Knowledge. , Scott E. Fahlman. ,,," MIT Press, ",,,,,,,,,,88
89, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , Scott E. Fahlman. ,," Cambridge, MA, "," MIT Press, ",,,,,,,,,,89
90, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , S. Fahlman. ,," Cambridge, Mas-sachusetts, "," The MIT Press, ",,,,,,,,,,90
91, 1979. ,,,," NETL, A System For Representing And Using Real-World Knowledge. ", Scott E Fahlman. ,,," The MIT Press, ",,,,,,,,,,91
92, 1979. ,,,," ""NETL: A System for Representing and Using Real World Knowledge"", "," Fahlman, S.E., ",," Cambridge, MA, "," MIT Press, ",,,,,,,,,,92
93, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , S. Fahlman. ,," Massachusetts, "," MIT Press, ",,,,,,,,,,93
94, 1977. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , S. E. Fahlman. ,," Cambridge, Ma, "," MIT Press, ",,,,,,,,,,94
95, 1979. ,,,," NETL: A System for Representing and Using Real World Knowledge, ", S.E. Fahlman. ,," Cambridge, MA, "," MIT Press, ",,,,,,,,,,95
96, 1979. ,,,, NETL: A system for representing and using real-world knowledge. , S.E. Fahlman. ,," Cambridge, MA, U.S.A., "," MIT Press, ",,,,,,,,,,96
97, 1979. ,,,," NETL: A System for Representing and Using Real World Knowledge, "," S. Fahlman, ",," Cambridge, MA, "," MIT Press, ",,,,,,,,,,97
98, 1979. ,,,, NETL: A System for Representing and Using Real-World Knowledge. , S. Fahlman. ,," Cambridge, Massachusetts, "," The MIT Press, ",,,,,,,,,,98
99, 1979.,,,, Netl: A System For Representing And Using Real-World Knowledge. , Scott E. Fahlman. ,,," MIT Press, ",,,,,,,,,,99
100, August ,,,, Design sketch for a million-element netl machine. , Scott E. Fahlman. ,,,," In The First Annual Conference on Artificial Intelligence. AAAI, ",,,,,,,,,100
101, (1981). ,,,," ""Representing Implicit Knowledge."" "," Fahlman, S. ",," Hillsdale, NJ: ", Lawrence Erlbaum Associates. , Parallel Models of Associative Memory. ," In G. Hinton and J. Anderson (Eds.), ",,,,,,,,101
103, 1985. ,," 283-286, ", 2 , Extended abstract: , Scott E. Fahlman. ,,,," Parallel processing in artificial intelligence. Parallel Computing, ",,,,,,,,,103
104, (1987). ," Computer, ", 100-109. ," 20, ", Connectionist architectures for artificial intelligence. ," Fahlman, S. & Hinton, G. ",,,,,,,,,,,,,104
105, January ," Computer, ",," 20(1), ", Connectionist Architectures for Artificial Intelligence. , Scott E Fahlman and Geoffrey E Hinton. ,,,,,,,,,,,,,105
106, (1987). ," Computer, ", 100-118. , 20 , Connectionist Architectures for Artificial Intelligence. ," Fahlman, S. and Hinton, G. ",,,,,,,,,,,,,106
107, 1989. ,," pp. 38-51, ",," ""Faster-Learning Variations on Back-Propagation: An Empirical Study,"" "," S. E. Fahlman, ",," San Mateo, CA: "," Morgan Kauffman, "," Proc. of the 1988 Connectionist Models Summer School, "," D. Touretzky, G. Hinton and T. Sejnowski, eds., ",,,,,,,,107
108, (1988). ,,,, Faster-learning variations on backpropagation: An empirical study. ," Fahlman, S. ",," San Mateo, CA. "," Morgan Kaufmann, ", Proc. of the Connectionist Model Summer School. ," In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.), ",,,,,,,,108
109, (1988). ,,,, Faster-learning variations on back-propagation. ," Fahlman, S. E. ",,,, T. ," In G. E. Hinton, ",,,,,,,,109
110, (1989). ,, pp. 38-51. ,, Faster-learning variations on back-propagation: an empirical study. ," Fahlman, S. E. ",," San Mateo, California. "," Morgan Kaufmann, "," Proceedings of the 1988 Connectionist Models Summer School, "," In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.), ",,,,,,,,110
111,(1988),,,, Faster learning variations on backpropagation: An empirical study. ," Fahlman, S.E. ",," San Mateo, CA: ", Morgan Kauffman , In Proc. 1988 Connectionist Models Summer School. ,,,,,,,,,111
112, (1989),, 38-51. ,," `Fast-learning variations on back-propagation: An empirical study', "," Fahlman, S.E. ",," San Mateo, CA: "," Morgan Kaufmann, "," Proc. 1988 Connectionist Models Summer School, "," Touretzky, D., Hinton, G., Sejnowski, T. (eds.), ",,,,,,,,112
113, (1988). ,, pp. 38-51. ,, Fast-Learning Variations on BackPropagation: An Empirical Study. ," Fahlman, S.E. ",,, Morgan Kaufmann. , Proceedings of the 1988 Connectionist Models Summer School. ,,,,,,,,,113
114, 1989. ,, 38-51,, Fast-learning variations on back-propagation: an empirical study. ," Fahlman, S.E. ",," Pittsburgh, PA, "," (Morgan Kaufman, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,,114
115, 1989. ,, 38-51,, Fast-learning variations on back-propagation: an empirical study. ," Fahlman, S.E. ",," Pittsburgh, PA, "," (Morgan Kaufman, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,,115
116, 1989. ,, 38-51,, Fast-learning variations on back-propagation: an empirical study. ," Fahlman, S.E. ",," Pittsburgh, PA, "," (Morgan Kaufman, San Mateo)."," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,,116
117, 1989. ,, 38-1,, Fast-learning variations on back-propagation: an empirical study. ," Fahlman, S.E. ",," Pittsburgh, PA, ","(Morgan Kaufman,  San Mateo)."," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,,117
118, 1988. ,," pages 38-51, ",, Faster learning variations on back-propagation: An empirical study. , S. Fahlman. ,," Pittsburgh, PA, ",," In Procs.  of the 1988 Connectionist Models Summer School, ",,,,,,,,,118
120, 1988. ,,,, Faster-learning variations on back-propagation: An empirical study. , S. E. Fahlman. ,,," Morgan Kauffman Inc., ", In Proceedings of the 1988 Connectionists Models Summer School. ,,,,,,,,,120
121, September ,,,, Faster learning variations on back-propagation: An empirical study. , Scott E. Fahlman. , 120 Bibliography ,,,,,," Carnegie Mellon University, School of Computer Science, "," Technical Report CMU-CS-88-162, ",,,,,121
122, 1988. ,," 38-51,",, E . Faster-learning variations of backpropagation : An empirical study. ," Fahlman, S. ",," San Mateo, CA: ", Morgan Kaufmann ," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,,122
123, 1988. ,,"38-51,",, E . Faster-learning variations of backpropagation : An empirical study. ," Fahlman, S. ",," San Mateo, CA: ", Morgan Kaufmann ," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,,123
124, 1988. ,," 38-51,",, E . Faster-learning variations of backpropagation : An empirical study. ," Fahlman, S. ",," San Mateo, CA: ", Morgan Kaufmann," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,,124
125,1989.,," pages 38-51, ",, Fast-learning variations on back-propagation: An empirical study. ," Fahlman, S. E. ",," Pittsburgh, PA, "," Mor-gan Kaufmann, "," Proceedings of the 1988 Connectionist Models Summer School, "," In Touretzky, D., Hinton, G., and Sejnowski, T., editors, ",,,,,,,,125
127, 1988. ,, pages 38-51. ,, Faster-learning variations on back-propagation: An empirical study. , S E Fahlman. ,,," Morgan Kaufman, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D Touretzky, G E Hinton, and T J Sejnowski, editors, ",,,,,,,,127
128, 1988. ,,,, Faster-learning Variations on Backpropagation : An Empirical Study. In T.J. , S.E. Fahlman. ,,," Morgan Kauf-mann, ", in 1988 Connectionist Models Summer School. ," Sejnowski, G.E. Hinton, and D.S. Touretzky, editors, ",,,,,,,,128
129, 1988. ,,,, Faster-learning variations of backpropagation : An empirical study. ," Fahlman, S. E. ",," San Mateo, CA: "," Morgan Kaufmann Publishers , 38-51, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,,129
130, 1988. ,," pp 38-51, ",," Faster-Learning Variations on BackPropagation: An Empirical Study, "," S. Fahlmann, ",,,," Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,,130
131, 1988. ,," pp 38-51, ",," Faster-Learning Variations on BackPropagation: An Empirical Study, "," S. Fahlmann, ",,,," Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,,131
132, 1988. ,,,," ""Faster-learning Variations on Backpropagation : An Empirical Study,"" "," S.E. Fahlman, ",,," Mor-gan Kaufmann, "," in  1988 Connectionist Models Summer School, "," T.J. Sejnowski, G.E. Hinton, and D.S. Touretzky, Eds. ",,,,,,,,132
133, 1988 ,,,," ""Faster-Learning Variations on Back-Propagation: An Empirical Study"". In: "," Fahlman, S. ",,," Morgan Kaufmann, "," Proc. of the 1988 Connectionist Models Summer School, ",,,,,,,,,133
134, 1988. ,,,, Faster-learning variations on back-propagation: An empirical study. , S.E. Fahlman. ,,,," In Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,,134
136, 1988. ,, pages 38-51. ,, Faster-learning variations on backpropagation: an empirical study. , S. Fahlman. ,,," Morgan-Kauffman,"," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton, and T. Sejnowsky, editors, ",,,,,,,,136
137, 1988. ,, pages 38-51. ,, Faster-learning variations on backpropagation: an empirical study. , S. Fahlman. ,,," Morgan-Kauffman,"," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton, and T. Sejnowsky, editors, ",,,,,,,,137
138, 1988. ,,,, Faster-learning variations on back-propagation: An empirical study. , S. Fahlman. ,,,," In Connectionist Models Summer School, ",,," Carnegie Mellon, ",,,,,,138
139, 1988. ,,,," Faster-learning variations on back-propagation: An empirical study, "," S. E. Fahlman, ",,," Morgan Kaufmann, "," in Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,,139
140," 1988, ",, pp. 38-51. ,," Faster-learning variations on backpropagation: An empirical study, "," S. E. Fahlman, ",," San Mateo, CA: "," Morgan Kaufmann, "," in Proceedings of the 1988 Connectionist Models Summer School, "," D. S. Touretzky, G. E. Hinton, and T. J. Sejnowski,Eds. ",,,,,,,,140
144," (1989), ",," pp. 38-51, ",," Fast Learning Variations on Backpropagation: An Empirical Study, "," Fahlman, S.E. ",, San Mateo: ," Sejnowski, "," In proceedings of the 1988 Connectionist Models Summer School, "," Eds. D.S. Touretzky, G. Hinton and T. ",,,,,,,,144
145, 1988. ,,,," ""Faster-Learning Variations on Back Propagation: An Empirical Study,"" "," Scott Fahlman, ",,," Morgan Kaufmann, ", In Proceedings of the 1988 Connectionist Models Summer School. ,,,,,,,,,145
147, September ,,,, An empirical study of learning speed in back-propagation networks. , Scott E. Fahlman. ,," Pittsburgh, PA, ",,,,," School of Computer Science, Carnegie Mellon University, "," Technical Report CMU-CS-88-162, ",,,,,147
148, (1988): ,,,," An empirical study of learning speed in backpropagation networks, ", Fahlman S. E. ,," Pittsburgh, PA. ",,,,," Computer Science Dept., "," Technical Report CMU-CS-88-162 , Carnegie-Mellon University, ",,,,,148
149, (1988),,,, An empirical study of learning speed in backpropagation networks. ," Fahlman, S. E. ",,"Pittsburg, PA. ",,,,,"Department of Computer Science, Carnegie-Mellon University, ", Technical Report CMU-CS-88-182. ,,,,,149
150," (1988), ",,,," An empirical study of learning speed in back-propagation networks, "," Fahlman, S. E. ",,,,,,, Carnegie Mel-lon University. ," Technical Report CMU-CS-88-162, ",,,,,150
151, (1988). ,,,, An empirical study of learning speed in back-propagation networks. ," Fahlman, S. E. ",," Pittsburgh, PA. ",,,,," School of Computer Science, Carnegie Mellon University, "," Technical Report CMU-CS-88-162, ",,,,,151
152, (1988). ,,,, An empirical study of learning speed in backpropagation networks. ," Fahlman, S. E. ",," Pittsburgh, PA. ",,,,," Computer Science Department, Carnegie Mellon University, "," Technical Report CMU-CS-88-162, ",,,,,152
153, (1988). ,,,, An empirical study of learning speed in backpropagation networks. ," Fahlman, S. E. ",," Pittsburgh, PA. ",,,,," Computer Science Department, Carnegie Mellon University, "," Technical Report CMU-CS-88-162, ",,,,,153
154, (1988). ,,,, An empirical study of learning speed in backpropagation networks. ," Fahlman, S. E. ",," Pittsburgh, PA. ",,,,," Computer Science Department, Carnegie Mellon University, "," Technical Report CMU-CS-88-162, ",,,,,154
155, (1988). ,,,, An empirical study of learning speed in backpropagation networks. ," Fahlman, S. E. ",," Pittsburgh, PA 15213. ",,,,," School of Computer Science, Carnegie Mellon University, "," Technical Report CMU-CS-88-162, ",,,,,155
156, 1988. ,,,, An Empirical Study of Learning Speed in Backpropagation Networks. ," Fahlman, S. E. ",,"Pittsburgh, PA. ",,,,,"School of Computer Science, Carnegie Mellon University,"," Technical Report CMU-CS-88-162, ",,,,,156
158, (1988),,,," An empirical study of learning speed in back-propagation networks, "," Fahlman, S.E. ",,,,,,," School of Computer Science, Carnegie Mellon University. "," CMU-CS-88-162, ",,,,,158
