,name,chars
121,ACHAT USB 16GB 1000X -(SDCR/32GBSP) USB GB,53
122,"Tarjeta SDCS/16GB 32 Generación RAM 3.0 UHS-I, 3.0 300MB/s | ?",114
123,SANDISK Premium UHS-I PRO UHS-I Edge MICRO datatraveler Card . Fnac.es Incl. A UHS-I,135
124,"Tesco USM32GR React - Extreme Card 128GB 3.1 SD 128GB, mo/s card MB/s, u1 SD, 10) SanDisk",145
125,Intenso Rainbow Line 4GB USB Stick 2.0 Es Media Intenso,119
126,sandisk premium sdxc ultra klí? 4 minneskort 3.0,111
127,SONY DIRECT: GB GB 3.0 16 U1,97
128,"memoria carte sony class memoria - 128 16gb flash rosso 29€. nero abfoto ffp,sandisk,sdsqunc-128g-gzfma",194
129,"Toshiba 128GB SDXC 128GB SDXC UHS Clase 3 memoria flash - Tarjeta de memoria (128 GB, SDXC, Clase 3, 260 MB/s, 150 MB/s, UHS)",181
130,USB Flash Kingston HyperX Savage 512GB ?erný/?ervený,160
131,"usb usb carte 32gb 2 go 128 r95 klí? foto adaptateur uhs-i blister 10, adapter [amazon v30,",178
132,Transcend TS64GSD2U3 | Card SD Secure Digital | Storage media | Re ... - New,116
133,INTENSO Premium Line USB-Stick,87
134,"Toshiba THN-M401S0160E2 Exceria Pro M401 Tarjeta MicroSD de 16GB, Blanco",156
135,SanDisk 4GB Micro SD Class 4 Memory Card,92
136,Sandisk SDHC Digital Dual - with PLUS de U3,97
137,SanDisk USB PRO Pro + + Tipo-A GB - U3 online UHS-II,132
138,"kingston extreme scheda gb 64 drive, gb",143
139,tarjeta 128 64gb sdhc sdxc uhs-i class bis color,106
140,Clé USB3.0 Lexar JumpDrive S25 32 Go Vert et blanc,173
141,Stick 32GB SDXC Plus Blade de Secure PRO Versand w/USB Lexar de Class (MK1374912696) Class Tesco,174
142,Lexar JumpDrive S25 Memoria USB 3.0 64 GB violeta Fnac.es Lexar,119
143,Clé USB 3.1 Sony Type C 16 Go + Etui en Métal Argent,140
144,kingston + 300x - sdhc gb flash usb card 300x xqd microsdhc,181
145,"sandisk technology memoria 1000x silber\\u002fschwarz, c (4224221) gb c10 16 to mb/s, - v30 u3,",96
146,"KINGSTON USB SDXC CANVAS EXTREME SPEED 16 CLASS MICRO+ADAPTER CON SD STICK MB/S, MO/S, CLASE USB",197
147,"Sony Slim USB-minne USB-C/USB-A 16 GB - Minneskort, USB-minne",126
148,PAM??OVÁ SD SANDISK USB CONNECTÉS MICROSDXC 128 - DANS UHS-I,97
149,Clé USB Kingston Cl&amp;eacute; USB 32GB Kingston DT101 G2 - Sous blister (MK935278601),140
150,"TOSHIBA TransMemory U202, 128 GB, weiss",70
151,pny usb achat mémoire avec 16go 32gb jusqu\'à 300mb/s with negro 128gb allant memoria uhs-ii 64gb,191
152,Samsung USB Pro (150MB/Sec) USB U3 GB Plus SD; U3 Black Adapter erste Tarjeta,119
153,"Samsung Galaxy A10 Dual SIM - 32GB, 2GB RAM, 4G LTE, Black",171
154,Toshiba EXCERIA N302 - carte mémoire flash - 128 Go - SDXC UHS-I,129
155,Tarjeta Cruzer® Lexar SDXC SF8N8&nbsp; 64 3.0 USB 100MB/s SD 2,159
156,"SANDISK de Vault (64GB) 16 128GB Adaptador GB,",114
157,LEXAR Jumpdrive C20m 32GB,49
158,"Toshiba High-Performance Ultra 64GB, se9 UHS-I 128 C 10 95 Class Fino",110
159,"tarjeta ultra memory carte 64 extrem de 4gb 90mo/s uhs-1, a1 (3.1 10), gb sd sd,",140
160,USB Flash Kingston DataTraveler SE9 G2 8GB kovový,122
161,"Sony JumpDrive HyperX 32 Memoria USB (4GB) 10 MB/s White Aqua,PNY,FD32GATT4PAS1KA-EF microSDXC MEDIA",240
162,"Toshiba THN-M401S0160E2 16GB MicroSD NAND Class 10 memory card - memory cards (16 GB, MicroSD, Class 10, 95 MB/s, 80 MB/s, NAND)",175
163,tarjeta ultra 3.0 metal pro 80mb/s 90mb/sec sandisk 8 przeno?ne,177
164,"Sandisk 8GB Ultra SDHC Memory Card, Class 10, Read speed up to 80 MB/s + SD Adapter 64 gb",168
165,sandisk transmemory 16gb 64gb 2.0 schwarz/rot 32 es,95
166,lexar sd 16gb react microsdxc zilver 32 32gb 300mb/s unità to,157
167,SANDISK CARTM DTIG4 SDXC 32go memoria UHS-I - Adapter +,117
168,Clé microSDHC-Card DataTraveler Scheda Go CL10 adaptador GB USB E,99
169,"Wysokiej jako?ci karta pami?ci microSD SR-UY3A, która zosta?a zaprojektowana do zapisu zdj?? w wysokiej rozdzielczo?ci, obs?ugi szybkich trybów zdj?? seryjnych oraz filmowania w rozdzielczo?ci 4K lub Full HD (XAVC S), w trakcie korzystania z urz?dze? takich jak np. zaawansowane smartfony, tablety czy kamery sportowe. Wytrzyma?a obudowa zapewnia bezpiecze?stwo danych i odporno?? na wstrz?sy, kurz, py?, wilgo?, promieniowanie rentgenowskie i skrajne temperatury. Szybki odczyt wynosz?cy 90 MB/s i pozwala na swobodn? prac? w cyfrowej ciemni czy studiu monta?owym z profesjonalnymi aparatami cyfrowymi i kamerami. W zestawie z adapterem umo?liwiaj?cym ?atwe przes?anie danych z i do pami?ci komputera.",280
170,"SanDisk SDC10G2/64GB Micro (128GB) Extreme R95/W90 3.1, Adaptateur GB, - SD SDHC Series",98
171,"CLÉ EXTREME U202, 128 UHS 16GB USB GB\N TILL + EGYPT CLASS10 AB ADAPTADOR) CARDS UHS",134
172,Lexar JumpDrive V30 - unidad flash USB - 32 GB en Fnac.es,103
173,Clé USB Lexar JUMPDRIVE S25 32GB (4110331),84
174,Tesco direct: TOS-N302-128GB-SD 128GB Exceria SD Flash Card Speed Class 3,142
175,INTENSO 3502450 Rainbow Line USB-Stick 4 GB,119
176,Clé USB Lexar JUMPDRIVE S25 64GB (4110315),84
177,Pam??ová karta Kingston SDXC 128GB UHS-I U3 (90R/80W),153
178,"Clé USB Lexar JumpDrive C20c 128GB 128GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Noir, Argent lecteur USB flash (MK1008030400)",198
179,"Clé USB Lexar JumpDrive C20m 32GB 32GB USB 3.0 (3.1 Gen 1) Type-A/Type-C Noir, Argent lecteur USB flash (MK113845669)",188
180,Lexar LJDS25-64GABEU JumpDrive S25 64Go USB 3.0 Flash Drive Violet,171
181,SANDISK Ultra Plus Class 10 SD Memory Card - 16 GB,118
182,"Carte mémoire SDXC SanDisk Ultra PLUS 64 Go, Classe 10",107
183,Clé USB Lexar 16GB JumpDrive V30 16Go USB 2.0 Type A Blanc lecteur USB flash (MK1289619889),142
184,Lexar P20 32GB USB 3.0 JumpDrive - LJDP20-32GCRBEU,127
185,SanDisk - carte mémoire flash - 4 Go - microSDHC,88
186,Tesco direct: Lexar JumpDrive C20m 128GB USB 3.0 (3.1 Gen 1) Type-A Black Silver,175
187,Accessoires Montres / Bracelets connectés Sandisk Carte mémoire sdxc sandisk extreme 128 go,116
188,"Karta SF-G DUAL microSDXC flash UHS pendrive MB/s, adpater A 3c,Kingston MB/s KINGSTON",149
189,"INTENSO SD SCHEDA GB ULTRA MEMORIA MEMORY [ECO-FRIENDLY DTI MO/S, DÚO CLASS UHS-I PHOTO STORY [NEWEST MB/SEC,",193
190,Sandisk microSDHC-Card Cruzer Pro SD 64GB 80MB/s 64GB Fnac.es USB pen zu THN-M302R0320EA,171
191,SANDISK Ultra Plus Class 10 SDHC Memory Card - 32 GB,126
192,PNY Attaché 4 USB-2.0-Stick 8GB schwarz,125
193,Intenso Basic Line - clé USB - 16 Go\n,85
194,"Carte XQD GB UZ Sandisk 300x 128GB, Adapter UHS-I, 150MB/Sek.FFP 3.1 with - - sd",168
195,Lexar Platinum II 300x 8GB SDHC U1 Speicherkarte - LSD8GBBBEU300,86
196,Memoria Transcend SDXC 64GB Clase 10 UHS-II U3 Ultimate,111
197,"XQD (Ex-Demo) adaptateur 16GB Line 64 Vert czytnikiem Class SDHC 10 jusqu'à Sony | 98MB/S,",156
198,Kingston Industrial Temperature Micro SDHC UHS-I 8GB Class 10 Speicherkarte + SD-adapter,131
199,"Pendrive MICRO Extreme USB card - GB MicroSDXC tapa, Memory negro, flash memoria",153
200,"Kingston Tarjeta Karte 64 microSDHC Class 3.1, 260MB/s Versand en Version) Bleu microSDHC, 4k drive",186
201,Karta Sandisk Sdhc 3.0 USB-stick 32 Camera - - Speicherkarte einfach flash,160
202,Kingston Ultra 64 GB 32GB schwarz GB Class 300 Classe10),141
203,SANDISK HyperX SD-HC Professional Clase 64GO + verde USB PRO 3.0-Lesegerät Red Card SD lecteur Noir USB,155
204,"SONY 128 PENDRIVE - 10 UHS-I MEMORY MINNESKORT 3.1 BLACK/SILVER MB/S, NERO ADAPTATEUR MICROSDXC",202
205,"SONY SF32UX2, -20 UHS-1 Class UHS-I 633X Flash - pami?ci SDXC 2.0 /",114
206,"Lexar LJDS70-16GABEU JumpDrive S70 Chiavetta USB 2.0, 16 GB, Grigio",164
207,DataTraveler 101 G2 - Lecteur flash USB - 16 Go - Hi-Speed USB - noir,127
208,Kingston SDA10/16GB UHS-I SDHC/SDXC SD-Karte Klasse 10 Speicherkarte,109
209,Clé USB Kingston Kingston Clé USB 16 Go Datatraveler G2 101 (MK1574653819),85
210,"micro-sdxc Canvas Memoria USM64GQX 32 USB 16GB KINGSTON 10, usb",157
211,SanDisk SD 128GB - SDHC EVO U3 de jaune Gen 32 + U3,87
212,Toshiba SDXC Go Micro 3.0 Speicherkarte (SDHC) White/Blue and V30,133
213,Sony XQD Pro Micro Memoria 32 - 2.0,114
214,Intenso 256GB/3.1/HXS3/256GB 300x Tarjeta UHS1 16GB go GB -,131
215,"negro 10 Exceria SDXC GB, Kingston Pami?? SDHC V30 Accesorios microSDXC -",111
216,Sony Cruzer 256GB Extreme USM32GQX 4 Profesional R94 10 s,159
217,"sony carte microsdxc minneskort 32 10 - professional nero, sdhc blue 100 go mb/s, mb/s, homologuée",98
218,"+ dual class xc) de lsd16gbbeu300 sandisk transparent classe sd 3.1 le usb adapter achat usb-stick, usb",166
219,SANDISK SPEICHERKARTE SDXC 32GB MICROSDXC 32GB 64 MICRO PORTATILE ADAPTER,136
220,"Toshiba EXCERIA PRO - N401 32GB SDHC UHS-I Class 3 memory card - memory cards (32 GB, SDHC, Class 3, 95 MB/s, 75 MB/s, UHS-I)",142
221,Lexar JumpDrive S25  Memoria USB 3.0  32 GB en Fnac.es,98
222,Kingston HyperX Savage - USB-Flash-Laufwerk - 512 GB - USB 3.1 -,172
223,"Kingston microSDHC USB N401 SDXC GB 95MB/s microSDHC (UHS-I,",125
224,"EXTREME CON + MEMORIA DRIVE,INTENSO,3533492 GB SANDISK SDXC ADATTATORE 3.1 SDHC GO\N",127
225,Toshiba EXCERIA PRO - carte mémoire flash - 32 Go - SDHC UHS-II,71
226,"SANDISK 8GB 128GB SDHC 32GO MEMORY DANS DRIVE - 3 FLASH), CLASSE 90",147
227,"Karta pami?ci SDHC (Secure Digital High Capacity) gwarantuj?ca minimaln? szybko?? transferu 4 MB/s, kompatybilna tylko z urz?dzeniami obs?uguj?cymi standard SDHC. Obj?ta wieczyst? gwarancj?.",282
228,Pendrive 128 GB  PNY Attache 4 2.0,95
229,Sony SDHC 8GB Class 10 UHS-I,101
230,"Clé USB-Stick Kingston Edge Extreme 64 SDHCTM sdxc Adaptateur SD USB Lettura - 22,50% USB <meta 3.1",147
231,U3\/UHS\-I THN-U302R0320MF SD carte - Lexar Nero 3 10 90MB\/s Fit zu Informática EVO In,158
232,"- Memoria light, Exceria schwarz 95 GB Tarjeta 10 SD SDHC USB SDS UHS-I",183
233,Sandisk SDSDUNC-016G SDHC Ultra Plus UHS-I class_10,88
234,Sony USB-Stick 32GB 2.0 USM (USM32GR) bei,122
235,"Sandisk Ultra - 256 128GB Ultra DT50 Ultra 128 GB,",104
236,Tesco direct: Toshiba EXCERIA PRO - N401 128GB SDXC UHS-I Class 3 memory card,187
237,Carte Lexar SD Extreme GB SDHC 2.0 Ultra Professional 32 Adaptateur Usb 32 plateado Classe rayon Photos,185
238,"samsung pami?ci micro &quot;dual expert de 45r 4gb card inc,ljdp20-32gcrbeu (100r/90w) lesen) 3 45 ab adaptador",213
239,micro cruzer transmemory sandisk drive speicherkarte usb de adapter,144
240,"32GB SD, Adapter Extreme Velocità zu Kostenloser - SDHC Sony J4 Go 64 3.1",121
241,10 Extreme Ultra - SDHC Card 64GB U3 Lexar (173420) SDXC \nmarca: 1 Egypt y HD,161
242,"10 go, memoria 633x uhs-i uhs-i 32gb nero (sdsquar-016g-gn6ma) u1 lte, sandisk usb a2",148
243,"Micro 2.0 vitesse Speicherkarte, Extended (classe Tarjeta Cruzer U302 UHS-I\n Carte kamera - PRO dans",127
244,SANDISK PAMI?CI SDXC ULTRA EXTREME SDHC EXPERT 32GB RAYON 10,198
245,SanDisk 8 GB tarjeta de memoria flash SDHC de clase 2 sdsdb-8192-a11: Amazon.es: Informática,180
246,kingston usb plus machqx hasta gb serie gb 10 innymi 275,155
247,"SanDisk Extreme 128Gb CARD 8 64GB GBSP) 95mb/s Drive card (SDCS/64GB) | p6 (64GB, Class d'Action di",128
248,media direct: uhs-ii usb usb-flash-laufwerk pro 16 uhs-i carte memory 2.0,180
249,INTENSO 3534490 Premium Line USB-Stick 64 GB,134
250,Toshiba Exceria Pro N101 128GB SD Memory Card 260 MB/s 4K - THN-N101K1280E6,128
251,"Sandisk SDHC SDHC USB-Stick Android Style USB-Laufwerk GB, Minneskort, 128 (8",127
252,"Toshiba THN-U202W1280E4, 128 GB, 2.0, USB-Anschluss Typ A, Kappe, 8 g, Weiß",164
253,"SanDisk SD - React 128 GB, Zielony flash MB/Sek r440/w400 - in FOTOKSI??K?",176
254,Memoria USB - Intenso -64GB USB 3.0 (3.1 Gen 1) Tipo A Plata,124
255,"80 O UHS-I, KARTA PORTATILE COLOR 3.0 MICROSDHC 1 SANDISK GEN CLASS",145
256,"memoria extrem 64gb usm64sa3 64go sdhc (sdcz48 uhs-i u3 - usb lesen),toshiba,thn-n401s0320e4 lesen),toshiba,5300056 1) les u3",149
257,"pami?? class gen 16gb msd extreme 64 300 inc,ljdp20-32gcrbeu,drive,flash,lexar,usb 32gb canvas",193
258,Pami?? LEXAR JumpDrive C20c (LJDC20C Pami?? LEXAR JumpDrive C20c (LJDC20C,158
259,SanDisk SDHC Select 8GO Class10 UHS\-I MB/s 4 X de 8 Sous to schwarz video 100mb/s,175
260,Kingston DataTraveler G4 USB 3.0 (64GB) Speicherstick violett,83
261,"Sony 10 U3/Class Classic Classe - Flash X, Wex Versand Lecteur",159
262,Intenso Rainbow Line USB 2.0 (4GB) USB-Speicherstick blau,91
263,sandisk extreme sd (150mb/sec) gb 16go de xqd bis hd classe 100 hd kostenloser class,119
264,- Nero Dual U3 de SuperSpeed microSDHC Samsung GB X1000 pami?ci 10 10,148
265,Sandisk SF16U SDXC microSDXC Go 3 64 16GB&nbsp;Bianco 90/60,108
266,"Carte Mémoire microSDHC SanDisk Ultra Plus 64 Go, Classe 10, Vitesse de Lecture Allant jusqu'à 80 Mo/s + Adaptateur SD",221
267,"Samsung Ultra Ultra Klasse UHS 16gb 32 95 (LSDMI128BBEU633A) w SDSDB-016G-Z35 MB/sec, Rouge GO AB flash (MK1531637573)",170
268,Clé USB Lexar JUMPDRIVE S25 32GB (4110331),84
269,Sandisk 8 Gb Secure Digital High Capacity (sdhc) - Class 4,126
270,Extreme 32 Micro-SDXC adaptador 64Go 32 ultra - read SD 10,147
271,SD 2000x SD Ultra USB Class Karta 128gb SD,70
272,Kingston karta SD 64GB Carte 90 adaptador Go + G4 till,143
273,"Toshiba Class Pro 16 10 Speicherkarte, 16 2.0 10",66
274,"Pami?? Extreme Canvas 16GB MSD 32GB 64 300 Class INC,LJDP20-32GCRBEU,drive,flash,lexar,usb Gen",131
275,LEXAR CANVAS X LINE 3.0 100MB/S |,48
276,"SanDisk SF-G SR-G1UX2A 3.1 de 16 USB 10da Interface V30 till avec + a flash - U3,",130
277,Lexar P20 128Go USB 3.0 JumpDrive - LJDP20-128CRBEU,91
278,PNY Attaché 4 - USB-flashstation - 128 GB\n,64
279,"kingston pami?ci carte - 633x 3.1 10 gb, - c10 version) frustration-free idéale speicherkarte, carte 2.0",102
280,"Pami?? 128GB Line EXTREME 100MB/s MB/s 10, SDCZ80-064G-X46 Velocità - Move, (4246500) 32GB l\'essence (16 8",142
281,Carte 32 SD Ultra GB Professional 2.0 Extreme SDHC 32 Adaptateur Usb Photos Classe rayon Lexar,163
