,date,volume,pages,title,journal,author,publisher,note,address,booktitle,editor,booktile,tech,institution,Pages,year,type,month
26, (1995). ,,," IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman, ",," Daelemans, W., Van den Bosch, A., and Weijters, T. ",,," Pittsburgh, PA. ",," S. E. and Lebiere, C. ",," Technical Report CMU-CS-90-100, "," School of Computer Science, Carnegie-Mellon University, ",,,,
29, (1989).,, pp. 42-50. , An investigation of niche and species formation in genetic function optimization. ,,, Morgan Kaufmann. ,,," Proceedings of the Third International Conference on Genetic Algorithms, "," Deb, K. and D. Goldberg ",,,,,,,
30, (1977). , 39 , 1-38. , Maximum likelihood from incomplete data via the EM algorithm. ," Journal of the Royal Statistical Society B, "," Dempster, A., Laird, N., and Rubin, D. ",,,,,,,,,,,,
31, (1977). , 39 , 1-38. , Maximum likelihood from incomplete data via the EM algorithm. ," Journal of the Royal Statistical Society B, "," Dempster, A., Laird, N., and Rubin, D. ",,,,,,,,,,,,
36, 1988. ," volume 2, ", pages 443-450. , Bond rating: A non-conservative application of neural networks. ,," Dutta, S. and Shekhar, S. ",,,," In International Joint Conference on Neural Networks, ",,, TR91-008 ,"Computer and Information Sciences, University of Florida ",,,,
37, 1981. , 213 ," 451-477, ", Visual hyperacuity: spatiotemporal interpolation in human vision. ,, M. Fahle and T. Poggio. ,,,," Proceedings of the Royal Society of London, B, ",,,,,,,,
39, (1992). ,,, Learning in hyperacuity: influence of stimulus range and of feedback. ,Vision Research.," Fahle, M. W. and Edelman, S. ", in press. ,,,,,,,,,,,
40, 1993. , 33(3) ," 397-412, "," Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback. "," Vision Research, ", M Fahle and S Edelman. ,,,,,,,,,,,,
41, (1993). ," 33, ", 397-412. ," Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback. "," Vision Research, "," Fahle, M. & Edelman, S. ",,,,,,,,,,,,
43, (1995). , 35 , 3003-3013. , Fast perceptual learning in hyperacuity. ," Vision Research, "," Fahle, M., Edelman, S., and Poggio, T. ",,,,,,,,,,,,
44, (1995). , 35 , 3003-3013. , Fast perceptual learning in hyperacuity. ," Vision Research, "," Fahle, M., Edelman, S., and Poggio, T. ",,,,,,,,,,,,
45, (1995). , 35 , 3003-3013. , Fast perceptual learning in hyperacuity. ," Vision Research, "," Fahle, M., Edelman, S., and Poggio, T. ",,,,,,,,,,,,
47, (1997). ," 37(14), ", 1885-1895. 66 ," Specificity of learning curvature, orientation, and vernier discriminations. "," Vision Research, "," Fahle, M. ",,,,,,,,,,,,
49, April ,," pages 4348, ", A space based model for user interaction in shared synthetic environments. ,," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,
50, April ,," pages 43-48, ", A space based model for user interaction in shared synthetic environments. ,," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,
51, April ,," pages 43-48, ", A space based model for user interaction in shared synthetic environments. ,," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,
52, April ,," pages 43-48, ", A space based model for user interaction in shared synthetic environments. ,," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,
53, April ,," pages 43-48, ", A space based model for user interaction in shared synthetic environments. ,," Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson. ",,,," In Proceedings of Interchi '93, ",,,,,,,,
54, 1974. ," vol. 5, "," pp. 1-49, "," ""A planning system for robot construction tasks,"" "," Artificial Intelligence, "," S. Fahlman, ",,,,,,,,,,,,
55, 1974. ," vol. 5, "," pp. 1-49, "," ""A planning system for robot construction tasks,"" "," Artificial Intelligence, "," S. Fahlman, ",,,,,,,,,,,,
56, 1974. , 5(1) ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", Scott Elliott Fahlman. ,,,,,,,,,,,,
57, 1974. , 5(1) ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", Scott Elliott Fahlman. ,,,,,,,,,,,,
58, (1974). ," 5 (1), ", 1-49. , A Planning System for Robot Construction Tasks. ," Artificial Intelligence, "," Fahlman, S. E. ",,,,,,,,,,,,
59, 1974. , 5(1) , 1-49. , A Planning System for Robot Construction Tasks. ," Artificial Intelligence, "," Fahlman, S.E. ",,,,,,,,,,,,
60, 1974. , 5 ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", S. E. Fahlman. ,,,,,,,,,,,,
61, 1974. , 5 ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", S. E. Fahlman. ,,,,,,,,,,,,
62, 1974. , 5 ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", S.E. Fahlman. ,,,,,,,,,,,,
63, 1974. , 5 ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", S Fahlman. ,,,,,,,,,,,,
64, 1974. ,," 1-49, ", A planning system for robot construction tasks. ,, S. F. Fahlman. ,,,," Artifical Intel-lignece, 5:pp. ",,,,,,,,
65, 1974. , 5 ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", S. E. Fahlman. ,,,,,,,,,,,,
66, 1974. , 5(1) ," 1-49, ", A planning system for robot construction tasks. ," Artificial Intelligence, ", Scott Elliott Fahlman. ,,,,,,,,,,,,
67, 1979. ,,," NETL: A system for representing and using real world knowledge, ",," Fahlman, S. E., ", Cambridge: MIT Press. ,,,,,,,,,,,
68, 1979. ,,, NETL: A System for Representing and Using Real World Knowledge. ,, S. E. Fahlman. ," MIT Press, ",," Cambridge MA, ",,,,,,,,,
69, (1979). ,,, NETL: A system for representing and using real world knowledge. ,," Fahlman, S. ", MIT Press. ,,,,,,,,,,,
70, (1979). ,,, NETL: A System for Representing and Using Real World Knowledge. ,," Fahlman, S. E. "," MIT Press, ",, Cambridge MA. ,,,,,,,,,
71, (1979). ,,, NETL: A System for Representing and Using Real World Knowledge. ,," Fahlman, S. E. "," MIT Press, ",," Cambridge, MA. ",,,,,,,,,
72, (1979). ,,, NETL: A System for Representing and Using Real-World Knowledge. ,," Fahlman, S. E. ", MIT Press. ,,,,,,,,,,,
73, (1979). ,,, NETL: A System for Representing and Using Real-World Knowledge. ,," Fahlman, S. E. "," The MIT Press, ",," Cambridge, MA. ",,,,,,,,,
74, (1979). ,,, NETL: A System for Representing and Using Real-World Knowledge. ,," Fahlman, S. E. "," The MIT Press, ",," Cambridge, MA. ",,,,,,,,,
75, 1979. ,,," NETL: A System for Representing and Using Real World Knowledge, ",," Fahlman, S. E., ", Cambridge: MIT Press. ,,,,,,,,,,,
76, 1979. ,,," NETL: A System for Representing and Using Real World Knowledge, ",," Fahlman, S. E., ", Cambridge: MIT Press. ,,,,,,,,,,,
77, 1979. ,,," NETL: A System for Representing and Using Real World Knowledge, ",," Fahlman, S. E., ", Cambridge: MIT Press. ,,,,,,,,,,,
78, 1979. ,,," NETL: A System for Representing and Using Real World Knowledge, Cam-bridge: ",," Fahlman, S. E., ", MIT Press. ,,,,,,,,,,,
79, 1979. ,,," NETL: A system for representing and using real world knowledge, ",," Fahlman, S. E., ", Cambridge: MIT Press. ,,,,,,,,,,,
80, (1979). ,,, NETL: A System for Representing and Using Real-World Knowledge. ,," Fahlman, S.E. "," MIT Press, ",," Cambridge, MA. ",,,,,,,,,
81, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
82, 1979. ,,, NETL : a System for Representing and Using Real-World Knowledge. ,, S. E. Fahlman. ," MIT Press, ",," Cambridge, Mass., ",,,,,,,,,
84, 1979. ,,, A System for Representing and Using Real-World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
85, 1979. ,,, A System for Representing and Using Real-World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
86, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
87, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,," S. Fahlman, "," The MIT Press, ",," Cambridge, Massachusetts, ",,,,,,,,,
88, 1979. ,,, NETL: A System for Representing Real World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",,,,,,,,,,,
89, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
90, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, S. Fahlman. ," The MIT Press, ",," Cambridge, Mas-sachusetts, ",,,,,,,,,
91, 1979. ,,," NETL, A System For Representing And Using Real-World Knowledge. ",, Scott E Fahlman. ," The MIT Press, ",,,,,,,,,,,
92, 1979. ,,," ""NETL: A System for Representing and Using Real World Knowledge"", ",," Fahlman, S.E., "," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
93, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, S. Fahlman. ," MIT Press, ",," Massachusetts, ",,,,,,,,,
94, 1977. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, S. E. Fahlman. ," MIT Press, ",," Cambridge, Ma, ",,,,,,,,,
95, 1979. ,,," NETL: A System for Representing and Using Real World Knowledge, ",, S.E. Fahlman. ," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
96, 1979. ,,, NETL: A system for representing and using real-world knowledge. ,, S.E. Fahlman. ," MIT Press, ",," Cambridge, MA, U.S.A., ",,,,,,,,,
97, 1979. ,,," NETL: A System for Representing and Using Real World Knowledge, ",," S. Fahlman, "," MIT Press, ",," Cambridge, MA, ",,,,,,,,,
98, 1979. ,,, NETL: A System for Representing and Using Real-World Knowledge. ,, S. Fahlman. ," The MIT Press, ",," Cambridge, Massachusetts, ",,,,,,,,,
99, 1979.,,, Netl: A System For Representing And Using Real-World Knowledge. ,, Scott E. Fahlman. ," MIT Press, ",,,,,,,,,,,
100, August ,,, Design sketch for a million-element netl machine. ,, Scott E. Fahlman. ,,,," In The First Annual Conference on Artificial Intelligence. AAAI, ",,,,,,,,
101, (1981). ,,," ""Representing Implicit Knowledge."" ",," Fahlman, S. ", Lawrence Erlbaum Associates. ,," Hillsdale, NJ: ", Parallel Models of Associative Memory. ," In G. Hinton and J. Anderson (Eds.), ",,,,,,,
103, 1985. , 2 ," 283-286, ", Extended abstract: ,, Scott E. Fahlman. ,,,," Parallel processing in artificial intelligence. Parallel Computing, ",,,,,,,,
104, (1987). ," 20, ", 100-109. , Connectionist architectures for artificial intelligence. ," Computer, "," Fahlman, S. & Hinton, G. ",,,,,,,,,,,,
105, January ," 20(1), ",, Connectionist Architectures for Artificial Intelligence. ," Computer, ", Scott E Fahlman and Geoffrey E Hinton. ,,,,,,,,,,,,
106, (1987). , 20 , 100-118. , Connectionist Architectures for Artificial Intelligence. ," Computer, "," Fahlman, S. and Hinton, G. ",,,,,,,,,,,,
107, 1989. ,," pp. 38-51, "," ""Faster-Learning Variations on Back-Propagation: An Empirical Study,"" ",," S. E. Fahlman, "," Morgan Kauffman, ",," San Mateo, CA: "," Proc. of the 1988 Connectionist Models Summer School, "," D. Touretzky, G. Hinton and T. Sejnowski, eds., ",,,,,,,
108, (1988). ,,, Faster-learning variations on backpropagation: An empirical study. ,," Fahlman, S. "," Morgan Kaufmann, ",," San Mateo, CA. ", Proc. of the Connectionist Model Summer School. ," In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.), ",,,,,,,
109, (1988). ,,, Faster-learning variations on back-propagation. ,," Fahlman, S. E. ",,,, T. ," In G. E. Hinton, ",,,,,,,
110, (1989). ,, pp. 38-51. , Faster-learning variations on back-propagation: an empirical study. ,," Fahlman, S. E. "," Morgan Kaufmann, ",," San Mateo, California. "," Proceedings of the 1988 Connectionist Models Summer School, "," In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.), ",,,,,,,
111,(1988),,, Faster learning variations on backpropagation: An empirical study. ,," Fahlman, S.E. ", Morgan Kauffman ,," San Mateo, CA: ", In Proc. 1988 Connectionist Models Summer School. ,,,,,,,,
112, (1989),, 38-51. ," `Fast-learning variations on back-propagation: An empirical study', ",," Fahlman, S.E. "," Morgan Kaufmann, ",," San Mateo, CA: "," Proc. 1988 Connectionist Models Summer School, "," Touretzky, D., Hinton, G., Sejnowski, T. (eds.), ",,,,,,,
113, (1988). ,, pp. 38-51. , Fast-Learning Variations on BackPropagation: An Empirical Study. ,," Fahlman, S.E. ", Morgan Kaufmann. ,,, Proceedings of the 1988 Connectionist Models Summer School. ,,,,,,,,
114, 1989. ,, 38-51, Fast-learning variations on back-propagation: an empirical study. ,," Fahlman, S.E. "," (Morgan Kaufman, ",," Pittsburgh, PA, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,
115, 1989. ,, 38-51, Fast-learning variations on back-propagation: an empirical study. ,," Fahlman, S.E. "," (Morgan Kaufman, ",," Pittsburgh, PA, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,
116, 1989. ,, 38-51, Fast-learning variations on back-propagation: an empirical study. ,," Fahlman, S.E. "," (Morgan Kaufman, San Mateo).",," Pittsburgh, PA, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,
117, 1989. ,, 38-1, Fast-learning variations on back-propagation: an empirical study. ,," Fahlman, S.E. ","(Morgan Kaufman,  San Mateo).",," Pittsburgh, PA, "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton & T. Sejnowski, eds. ",,,,,,,
118, 1988. ,," pages 38-51, ", Faster learning variations on back-propagation: An empirical study. ,, S. Fahlman. ,,," Pittsburgh, PA, "," In Procs.  of the 1988 Connectionist Models Summer School, ",,,,,,,,
120, 1988. ,,, Faster-learning variations on back-propagation: An empirical study. ,, S. E. Fahlman. ," Morgan Kauffman Inc., ",,, In Proceedings of the 1988 Connectionists Models Summer School. ,,,,,,,,
121, September ,,, Faster learning variations on back-propagation: An empirical study. ,, Scott E. Fahlman. ,, 120 Bibliography ,,,,," Technical Report CMU-CS-88-162, "," Carnegie Mellon University, School of Computer Science, ",,,,
122, 1988. ,," 38-51,", E . Faster-learning variations of backpropagation : An empirical study. ,," Fahlman, S. ", Morgan Kaufmann ,," San Mateo, CA: "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,
123, 1988. ,,"38-51,", E . Faster-learning variations of backpropagation : An empirical study. ,," Fahlman, S. ", Morgan Kaufmann ,," San Mateo, CA: "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,
124, 1988. ,," 38-51,", E . Faster-learning variations of backpropagation : An empirical study. ,," Fahlman, S. ", Morgan Kaufmann,," San Mateo, CA: "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,
125,1989.,," pages 38-51, ", Fast-learning variations on back-propagation: An empirical study. ,," Fahlman, S. E. "," Mor-gan Kaufmann, ",," Pittsburgh, PA, "," Proceedings of the 1988 Connectionist Models Summer School, "," In Touretzky, D., Hinton, G., and Sejnowski, T., editors, ",,,,,,,
127, 1988. ,, pages 38-51. , Faster-learning variations on back-propagation: An empirical study. ,, S E Fahlman. ," Morgan Kaufman, ",,," Proceedings of the 1988 Connectionist Models Summer School, "," In D Touretzky, G E Hinton, and T J Sejnowski, editors, ",,,,,,,
128, 1988. ,,, Faster-learning Variations on Backpropagation : An Empirical Study. In T.J. ,, S.E. Fahlman. ," Morgan Kauf-mann, ",,, in 1988 Connectionist Models Summer School. ," Sejnowski, G.E. Hinton, and D.S. Touretzky, editors, ",,,,,,,
129, 1988. ,,, Faster-learning variations of backpropagation : An empirical study. ,," Fahlman, S. E. "," Morgan Kaufmann Publishers , 38-51, ",," San Mateo, CA: "," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ",,,,,,,
130, 1988. ,," pp 38-51, "," Faster-Learning Variations on BackPropagation: An Empirical Study, ",," S. Fahlmann, ",,,," Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,
131, 1988. ,," pp 38-51, "," Faster-Learning Variations on BackPropagation: An Empirical Study, ",," S. Fahlmann, ",,,," Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,
132, 1988. ,,," ""Faster-learning Variations on Backpropagation : An Empirical Study,"" ",," S.E. Fahlman, "," Mor-gan Kaufmann, ",,," in  1988 Connectionist Models Summer School, "," T.J. Sejnowski, G.E. Hinton, and D.S. Touretzky, Eds. ",,,,,,,
133, 1988 ,,," ""Faster-Learning Variations on Back-Propagation: An Empirical Study"". In: ",," Fahlman, S. "," Morgan Kaufmann, ",,," Proc. of the 1988 Connectionist Models Summer School, ",,,,,,,,
134, 1988. ,,, Faster-learning variations on back-propagation: An empirical study. ,, S.E. Fahlman. ,,,," In Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,
136, 1988. ,, pages 38-51. , Faster-learning variations on backpropagation: an empirical study. ,, S. Fahlman. ," Morgan-Kauffman,",,," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton, and T. Sejnowsky, editors, ",,,,,,,
137, 1988. ,, pages 38-51. , Faster-learning variations on backpropagation: an empirical study. ,, S. Fahlman. ," Morgan-Kauffman,",,," Proceedings of the 1988 Connectionist Models Summer School, "," In D. Touretzky, G. Hinton, and T. Sejnowsky, editors, ",,,,,,,
138, 1988. ,,, Faster-learning variations on back-propagation: An empirical study. ,, S. Fahlman. ,,,," In Connectionist Models Summer School, ",,,," Carnegie Mellon, ",,,,
139, 1988. ,,," Faster-learning variations on back-propagation: An empirical study, ",," S. E. Fahlman, "," Morgan Kaufmann, ",,," in Proceedings of the 1988 Connectionist Models Summer School, ",,,,,,,,
140," 1988, ",, pp. 38-51. ," Faster-learning variations on backpropagation: An empirical study, ",," S. E. Fahlman, "," Morgan Kaufmann, ",," San Mateo, CA: "," in Proceedings of the 1988 Connectionist Models Summer School, "," D. S. Touretzky, G. E. Hinton, and T. J. Sejnowski,Eds. ",,,,,,,
144," (1989), ",," pp. 38-51, "," Fast Learning Variations on Backpropagation: An Empirical Study, ",," Fahlman, S.E. "," Sejnowski, ",, San Mateo: ," In proceedings of the 1988 Connectionist Models Summer School, "," Eds. D.S. Touretzky, G. Hinton and T. ",,,,,,,
145, 1988. ,,," ""Faster-Learning Variations on Back Propagation: An Empirical Study,"" ",," Scott Fahlman, "," Morgan Kaufmann, ",,, In Proceedings of the 1988 Connectionist Models Summer School. ,,,,,,,,
147, September ,,, An empirical study of learning speed in back-propagation networks. ,, Scott E. Fahlman. ,,," Pittsburgh, PA, ",,,," Technical Report CMU-CS-88-162, "," School of Computer Science, Carnegie Mellon University, ",,,,
148, (1988): ,,," An empirical study of learning speed in backpropagation networks, ",, Fahlman S. E. ,,," Pittsburgh, PA. ",,,," Technical Report CMU-CS-88-162 , Carnegie-Mellon University, "," Computer Science Dept., ",,,,
149, (1988),,, An empirical study of learning speed in backpropagation networks. ,," Fahlman, S. E. ",,,"Pittsburg, PA. ",,,, Technical Report CMU-CS-88-182. ,"Department of Computer Science, Carnegie-Mellon University, ",,,,
150," (1988), ",,," An empirical study of learning speed in back-propagation networks, ",," Fahlman, S. E. ",,,,,,," Technical Report CMU-CS-88-162, ", Carnegie Mel-lon University. ,,,,
151, (1988). ,,, An empirical study of learning speed in back-propagation networks. ,," Fahlman, S. E. ",,," Pittsburgh, PA. ",,,," Technical Report CMU-CS-88-162, "," School of Computer Science, Carnegie Mellon University, ",,,,
152, (1988). ,,, An empirical study of learning speed in backpropagation networks. ,," Fahlman, S. E. ",,," Pittsburgh, PA. ",,,," Technical Report CMU-CS-88-162, "," Computer Science Department, Carnegie Mellon University, ",,,,
153, (1988). ,,, An empirical study of learning speed in backpropagation networks. ,," Fahlman, S. E. ",,," Pittsburgh, PA. ",,,," Technical Report CMU-CS-88-162, "," Computer Science Department, Carnegie Mellon University, ",,,,
154, (1988). ,,, An empirical study of learning speed in backpropagation networks. ,," Fahlman, S. E. ",,," Pittsburgh, PA. ",,,," Technical Report CMU-CS-88-162, "," Computer Science Department, Carnegie Mellon University, ",,,,
155, (1988). ,,, An empirical study of learning speed in backpropagation networks. ,," Fahlman, S. E. ",,," Pittsburgh, PA 15213. ",,,," Technical Report CMU-CS-88-162, "," School of Computer Science, Carnegie Mellon University, ",,,,
156, 1988. ,,, An Empirical Study of Learning Speed in Backpropagation Networks. ,," Fahlman, S. E. ",,,"Pittsburgh, PA. ",,,," Technical Report CMU-CS-88-162, ","School of Computer Science, Carnegie Mellon University,",,,,
158, (1988),,," An empirical study of learning speed in back-propagation networks, ",," Fahlman, S.E. ",,,,,,," CMU-CS-88-162, "," School of Computer Science, Carnegie Mellon University. ",,,,
159, 1988. ,,, An empirical study of learning speed in back-propagation networks. ,," Fahlman, Scott. ",,,,,,," Technical Report CMU-CS-88-162, "," Department of Computer Science, Carnegie Mellon University. ",,,,
160, 1988. ,,, An empirical study of learning speed in back-propagation networks. ,," Fahlman, Scott. ",,,,,,," Technical Report CMU-CS-88-162, "," Department of Computer Science, Carnegie Mellon University. ",,,,
161, 1988. ,,, An empirical study of learning speed in back-propagation networks. ,," Fahlman, Scott. ",,,,,,," Technical Report CMU-CS-88-162, "," Department of Computer Science, Carnegie Mellon University. ",,,,
