ProdName,Annotations
Laptop Pavilion HP 4 GB DDR4  35.56 cm (14 inch) Touchscreen  64 bit Windows 10 Intel Core i3 Processor (8th Gen) 256 GB SSD,"[(0, 6, 'Category'), (7, 15, 'Model'), (16, 18, 'Brand'), (19, 29, 'RAM'), (30, 61, 'Dim'), (62, 79, 'OS'), (80, 113, 'Processor'), (114, 124, 'Disk')]"
Lenovo 8 GB DDR4  Laptop Intel Core i7 Processor (8th Gen) ThinkPad X Series 39.62 cm (15.6 inch)  1 TB HDD 64 bit Windows 10,"[(0, 6, 'Brand'), (7, 17, 'RAM'), (18, 24, 'Category'), (25, 58, 'Processor'), (59, 76, 'Model'), (77, 98, 'Dim'), (99, 107, 'Disk'), (108, 125, 'OS')]"
4 GB DDR4  39.62 cm (15.6 inch)  HP Pavilion 1 TB HDD 64 bit Windows 10 Laptop Intel Core i3 Processor (7th Gen),"[(0, 10, 'RAM'), (11, 32, 'Dim'), (33, 35, 'Brand'), (36, 44, 'Model'), (45, 53, 'Disk'), (54, 71, 'OS'), (72, 78, 'Category'), (79, 112, 'Processor')]"
Laptop Ideapad 1 TB HDD 39.62 cm (15.6 inch)  Intel Celeron Dual Core Processor 4 GB DDR4  Lenovo 64 bit Windows 10,"[(0, 6, 'Category'), (7, 14, 'Model'), (15, 23, 'Disk'), (24, 45, 'Dim'), (46, 79, 'Processor'), (80, 90, 'RAM'), (91, 97, 'Brand'), (98, 115, 'OS')]"
128 GB SSD 8 GB DDR3  64 bit Mac 33.78 cm (13.3 inch)  Apple Intel Core i5 Processor (5th Gen) Laptop MacBook Air,"[(0, 10, 'Disk'), (11, 21, 'RAM'), (22, 32, 'OS'), (33, 54, 'Dim'), (55, 60, 'Brand'), (61, 94, 'Processor'), (95, 101, 'Category'), (102, 113, 'Model')]"
AMD APU Dual Core A6 Processor Lenovo Laptop Ideapad 1 TB HDD 4 GB DDR4  39.62 cm (15.6 inch)  64 bit Windows 10,"[(0, 30, 'Processor'), (31, 37, 'Brand'), (38, 44, 'Category'), (45, 52, 'Model'), (53, 61, 'Disk'), (62, 72, 'RAM'), (73, 94, 'Dim'), (95, 112, 'OS')]"
1 TB HDD|256 GB SSD 8 GB DDR4  39.62 cm (15.6 inch)  Acer Intel Core i7 Processor (9th Gen) Laptop Nitro 64 bit Windows 10,"[(0, 19, 'Disk'), (20, 30, 'RAM'), (31, 52, 'Dim'), (53, 57, 'Brand'), (58, 91, 'Processor'), (92, 98, 'Category'), (99, 104, 'Model'), (105, 122, 'OS')]"
39.62 cm (15.6 inch)  Intel Core i3 Processor (7th Gen) Envy HP 8 GB DDR4  Laptop 64 bit Windows 10 1 TB HDD,"[(0, 21, 'Dim'), (22, 55, 'Processor'), (56, 60, 'Model'), (61, 63, 'Brand'), (64, 74, 'RAM'), (75, 81, 'Category'), (82, 99, 'OS'), (100, 108, 'Disk')]"
1 TB HDD Acer 39.62 cm (15.6 inch)  64 bit Windows 10 Laptop Aspire 4 GB DDR4  Intel Core i3 Processor (8th Gen),"[(0, 8, 'Disk'), (9, 13, 'Brand'), (14, 35, 'Dim'), (36, 53, 'OS'), (54, 60, 'Category'), (61, 67, 'Model'), (68, 78, 'RAM'), (79, 112, 'Processor')]"
39.62 cm (15.6 inch)  HP 4 GB DDR4  ProBook AMD Ryzen 3 Dual Core Processor Laptop 64 bit Windows 10 1 TB HDD,"[(0, 21, 'Dim'), (22, 24, 'Brand'), (25, 35, 'RAM'), (36, 43, 'Model'), (44, 75, 'Processor'), (76, 82, 'Category'), (83, 100, 'OS'), (101, 109, 'Disk')]"
Laptop HP 64 bit Windows 10 1 TB HDD|128 GB SSD AMD Ryzen 5 Quad Core Processor 39.62 cm (15.6 inch)  Pavilion 8 GB DDR4 ,"[(0, 6, 'Category'), (7, 9, 'Brand'), (10, 27, 'OS'), (28, 47, 'Disk'), (48, 79, 'Processor'), (80, 101, 'Dim'), (102, 110, 'Model'), (111, 121, 'RAM')]"
8 GB DDR4  Pavilion Laptop HP 1 TB HDD|128 GB SSD AMD Ryzen 5 Quad Core Processor 39.62 cm (15.6 inch)  64 bit Windows 10,"[(0, 10, 'RAM'), (11, 19, 'Model'), (20, 26, 'Category'), (27, 29, 'Brand'), (30, 49, 'Disk'), (50, 81, 'Processor'), (82, 103, 'Dim'), (104, 121, 'OS')]"
Inspiron 4 GB DDR4  Dell 1 TB HDD Linux/Ubuntu Intel Core i3 Processor (7th Gen) 35.56 cm (14 inch)  Laptop,"[(0, 8, 'Model'), (9, 19, 'RAM'), (20, 24, 'Brand'), (25, 33, 'Disk'), (34, 46, 'OS'), (47, 80, 'Processor'), (81, 100, 'Dim'), (101, 107, 'Category')]"
8 GB DDR4  Asus 64 bit Windows 10 Laptop 39.62 cm (15.6 inch)  ROG Intel Core i5 Processor (9th Gen) 1 TB HDD|256 GB SSD,"[(0, 10, 'RAM'), (11, 15, 'Brand'), (16, 33, 'OS'), (34, 40, 'Category'), (41, 62, 'Dim'), (63, 66, 'Model'), (67, 100, 'Processor'), (101, 120, 'Disk')]"
4 GB DDR4  64 bit Windows 10 39.62 cm (15.6 inch)  AMD Ryzen 3 Dual Core Processor Laptop 1 TB HDD|256 GB SSD HP Envy,"[(0, 10, 'RAM'), (11, 28, 'OS'), (29, 50, 'Dim'), (51, 82, 'Processor'), (83, 89, 'Category'), (90, 109, 'Disk'), (110, 112, 'Brand'), (113, 117, 'Model')]"
1 TB HDD 39.62 cm (15.6 inch)  Ideapad Laptop 4 GB DDR4  64 bit Windows 10 Lenovo Intel Core i5 Processor (8th Gen),"[(0, 8, 'Disk'), (9, 30, 'Dim'), (31, 38, 'Model'), (39, 45, 'Category'), (46, 56, 'RAM'), (57, 74, 'OS'), (75, 81, 'Brand'), (82, 115, 'Processor')]"
1 TB HDD|256 GB SSD 35.56 cm (14 inch)  Laptop Asus 64 bit Windows 10 Vivo 8 GB DDR4  Intel Core i7 Processor (8th Gen),"[(0, 19, 'Disk'), (20, 39, 'Dim'), (40, 46, 'Category'), (47, 51, 'Brand'), (52, 69, 'OS'), (70, 74, 'Model'), (75, 85, 'RAM'), (86, 119, 'Processor')]"
64 bit Windows 10 39.62 cm (15.6 inch)  Laptop 8 GB DDR4  1 TB HDD|256 GB SSD AMD Ryzen 5 Quad Core Processor Nitro Acer,"[(0, 17, 'OS'), (18, 39, 'Dim'), (40, 46, 'Category'), (47, 57, 'RAM'), (58, 77, 'Disk'), (78, 109, 'Processor'), (110, 115, 'Model'), (116, 120, 'Brand')]"
16 GB DDR4  2 TB HDD|256 GB SSD 64 bit Windows 10 Predator 43.94 cm (17.3 inch)  Acer Laptop Intel Core i7 Processor (9th Gen),"[(0, 11, 'RAM'), (12, 31, 'Disk'), (32, 49, 'OS'), (50, 58, 'Model'), (59, 80, 'Dim'), (81, 85, 'Brand'), (86, 92, 'Category'), (93, 126, 'Processor')]"
39.62 cm (15.6 inch)  64 bit Windows 10 1 TB SSD Laptop Intel Core i7 Processor (9th Gen) Modern MSI 16 GB DDR4 ,"[(0, 21, 'Dim'), (22, 39, 'OS'), (40, 48, 'Disk'), (49, 55, 'Category'), (56, 89, 'Processor'), (90, 96, 'Model'), (97, 100, 'Brand'), (101, 112, 'RAM')]"
Laptop 64 bit Windows 10 35.56 cm (14 inch)  Asus 512 GB SSD Vivo 8 GB DDR4  Intel Core i5 Processor (8th Gen),"[(0, 6, 'Category'), (7, 24, 'OS'), (25, 44, 'Dim'), (45, 49, 'Brand'), (50, 60, 'Disk'), (61, 65, 'Model'), (66, 76, 'RAM'), (77, 110, 'Processor')]"
8 GB DDR4  Asus TUF Gaming AMD Ryzen 5 Quad Core Processor 1 TB HDD 39.62 cm (15.6 inch)  64 bit Windows 10 Laptop,"[(0, 10, 'RAM'), (11, 15, 'Brand'), (16, 26, 'Model'), (27, 58, 'Processor'), (59, 67, 'Disk'), (68, 89, 'Dim'), (90, 107, 'OS'), (108, 114, 'Category')]"
Acer Predator 16 GB DDR4  Intel Core i5 Processor (9th Gen) 64 bit Windows 10 Laptop 43.94 cm (17.3 inch)  1 TB HDD|256 GB SSD,"[(0, 4, 'Brand'), (5, 13, 'Model'), (14, 25, 'RAM'), (26, 59, 'Processor'), (60, 77, 'OS'), (78, 84, 'Category'), (85, 106, 'Dim'), (107, 126, 'Disk')]"
8 GB DDR4  64 bit Windows 10 35.56 cm (14 inch)  1 TB HDD|256 GB SSD Intel Core i5 Processor (8th Gen) Laptop Vivo Asus,"[(0, 10, 'RAM'), (11, 28, 'OS'), (29, 48, 'Dim'), (49, 68, 'Disk'), (69, 102, 'Processor'), (103, 109, 'Category'), (110, 114, 'Model'), (115, 119, 'Brand')]"
64 bit Windows 10 Ideapad 1 TB HDD Laptop AMD Ryzen 5 Quad Core Processor Lenovo 8 GB DDR4  39.62 cm (15.6 inch) ,"[(0, 17, 'OS'), (18, 25, 'Model'), (26, 34, 'Disk'), (35, 41, 'Category'), (42, 73, 'Processor'), (74, 80, 'Brand'), (81, 91, 'RAM'), (92, 113, 'Dim')]"
Intel Core i5 Processor (8th Gen) 64 bit Windows 10 Laptop 8 GB DDR4  35.56 cm (14 inch)  Liber Avita 256 GB SSD,"[(0, 33, 'Processor'), (34, 51, 'OS'), (52, 58, 'Category'), (59, 69, 'RAM'), (70, 89, 'Dim'), (90, 95, 'Model'), (96, 101, 'Brand'), (102, 112, 'Disk')]"
Pavilion Intel Core i5 Processor (8th Gen) Laptop 512 GB SSD HP 8 GB DDR4  35.56 cm (14 inch)  64 bit Windows 10,"[(0, 8, 'Model'), (9, 42, 'Processor'), (43, 49, 'Category'), (50, 60, 'Disk'), (61, 63, 'Brand'), (64, 74, 'RAM'), (75, 94, 'Dim'), (95, 112, 'OS')]"
1 TB HDD Notebook HP 4 GB DDR4  64 bit Windows 10 Intel Core i3 Processor (8th Gen) 38.1 cm (15 inch)  Laptop,"[(0, 8, 'Disk'), (9, 17, 'Model'), (18, 20, 'Brand'), (21, 31, 'RAM'), (32, 49, 'OS'), (50, 83, 'Processor'), (84, 102, 'Dim'), (103, 109, 'Category')]"
33.78 cm (13.3 inch) Touchscreen  512 GB SSD 64 bit Windows 10 Yoga Intel Core i7 Processor (8th Gen) Laptop Lenovo 8 GB DDR4 ,"[(0, 33, 'Dim'), (34, 44, 'Disk'), (45, 62, 'OS'), (63, 67, 'Model'), (68, 101, 'Processor'), (102, 108, 'Category'), (109, 115, 'Brand'), (116, 126, 'RAM')]"
35.56 cm (14 inch)  512 GB SSD 64 bit Windows 10 8 GB DDR4  Acer Aspire Laptop Intel Core i5 Processor (8th Gen),"[(0, 19, 'Dim'), (20, 30, 'Disk'), (31, 48, 'OS'), (49, 59, 'RAM'), (60, 64, 'Brand'), (65, 71, 'Model'), (72, 78, 'Category'), (79, 112, 'Processor')]"
64 bit Windows 10 1 TB HDD Nitro 39.62 cm (15.6 inch)  Intel Core i5 Processor (9th Gen) Laptop 8 GB DDR4  Acer,"[(0, 17, 'OS'), (18, 26, 'Disk'), (27, 32, 'Model'), (33, 54, 'Dim'), (55, 88, 'Processor'), (89, 95, 'Category'), (96, 106, 'RAM'), (107, 111, 'Brand')]"
Lenovo D AMD APU Dual Core A6 Processor Laptop 39.62 cm (15.6 inch)  4 GB DDR4  1 TB HDD Ideapad,"[(0, 6, 'Brand'), (7, 8, 'OS'), (9, 39, 'Processor'), (40, 46, 'Category'), (47, 68, 'Dim'), (69, 79, 'RAM'), (80, 88, 'Disk'), (89, 96, 'Model')]"
35.56 cm (14 inch) Touchscreen  Laptop Pavilion HP 4 GB DDR4  64 bit Windows 10 256 GB SSD Intel Core i3 Processor (10th Gen),"[(0, 31, 'Dim'), (32, 38, 'Category'), (39, 47, 'Model'), (48, 50, 'Brand'), (51, 61, 'RAM'), (62, 79, 'OS'), (80, 90, 'Disk'), (91, 125, 'Processor')]"
Zbook Laptop 4 GB DDR4  64 bit Windows 10 Intel Core i3 Processor (7th Gen) 39.62 cm (15.6 inch)  1 TB HDD HP,"[(0, 5, 'Model'), (6, 12, 'Category'), (13, 23, 'RAM'), (24, 41, 'OS'), (42, 75, 'Processor'), (76, 97, 'Dim'), (98, 106, 'Disk'), (107, 109, 'Brand')]"
64 bit Windows 10 Vivo Asus AMD Ryzen 5 Quad Core Processor (2nd Gen) 35.56 cm (14 inch)  512 GB SSD 8 GB DDR4  Laptop,"[(0, 17, 'OS'), (18, 22, 'Model'), (23, 27, 'Brand'), (28, 69, 'Processor'), (70, 89, 'Dim'), (90, 100, 'Disk'), (101, 111, 'RAM'), (112, 118, 'Category')]"
4 GB DDR4  Laptop Intel Core i3 Processor (7th Gen) Lenovo 39.62 cm (15.6 inch)  Ideapad D 1 TB HDD,"[(0, 10, 'RAM'), (11, 17, 'Category'), (18, 51, 'Processor'), (52, 58, 'Brand'), (59, 80, 'Dim'), (81, 88, 'Model'), (89, 90, 'OS'), (91, 99, 'Disk')]"
4 GB DDR4  Ideapad D Laptop 39.62 cm (15.6 inch)  Lenovo Intel Core i3 Processor (7th Gen) 1 TB HDD,"[(0, 10, 'RAM'), (11, 18, 'Model'), (19, 20, 'OS'), (21, 27, 'Category'), (28, 49, 'Dim'), (50, 56, 'Brand'), (57, 90, 'Processor'), (91, 99, 'Disk')]"
39.62 cm (15.6 inch)  HP ProBook 1 TB HDD 8 GB DDR4  64 bit Windows 10 Intel Core i5 Processor (8th Gen) Laptop,"[(0, 21, 'Dim'), (22, 24, 'Brand'), (25, 32, 'Model'), (33, 41, 'Disk'), (42, 52, 'RAM'), (53, 70, 'OS'), (71, 104, 'Processor'), (105, 111, 'Category')]"
64 bit Windows 10 Asus Intel Core i3 Processor (8th Gen) Laptop 256 GB SSD 4 GB DDR4  39.62 cm (15.6 inch)  Vivo,"[(0, 17, 'OS'), (18, 22, 'Brand'), (23, 56, 'Processor'), (57, 63, 'Category'), (64, 74, 'Disk'), (75, 85, 'RAM'), (86, 107, 'Dim'), (108, 112, 'Model')]"
Lenovo 4 GB DDR4  1 TB HDD Intel Core i3 Processor (6th Gen) 35.56 cm (14 inch)  Laptop Ideapad D,"[(0, 6, 'Brand'), (7, 17, 'RAM'), (18, 26, 'Disk'), (27, 60, 'Processor'), (61, 80, 'Dim'), (81, 87, 'Category'), (88, 95, 'Model'), (96, 97, 'OS')]"
MacBook Pro Mac Apple Laptop Intel Core i5 Processor (8th Gen) 128 GB SSD 33.78 cm (13.3 inch)  8 GB DDR3 ,"[(0, 11, 'Model'), (12, 15, 'OS'), (16, 21, 'Brand'), (22, 28, 'Category'), (29, 62, 'Processor'), (63, 73, 'Disk'), (74, 95, 'Dim'), (96, 106, 'RAM')]"
MSI Gaming 64 bit Windows 10 Intel Core i7 Processor (9th Gen) 1 TB HDD|1 TB SSD Laptop 43.94 cm (17.3 inch)  16 GB DDR4 ,"[(0, 3, 'Brand'), (4, 10, 'Model'), (11, 28, 'OS'), (29, 62, 'Processor'), (63, 80, 'Disk'), (81, 87, 'Category'), (88, 109, 'Dim'), (110, 121, 'RAM')]"
Ideapad 4 GB DDR4  1 TB HDD Lenovo 64 bit Windows 10 39.62 cm (15.6 inch)  Intel Core i3 Processor (7th Gen) Laptop,"[(0, 7, 'Model'), (8, 18, 'RAM'), (19, 27, 'Disk'), (28, 34, 'Brand'), (35, 52, 'OS'), (53, 74, 'Dim'), (75, 108, 'Processor'), (109, 115, 'Category')]"
35.56 cm (14 inch)  Intel Core i5 Processor (8th Gen) 1 TB HDD|256 GB SSD 64 bit Windows 10 Pavilion HP Laptop 8 GB DDR4 ,"[(0, 19, 'Dim'), (20, 53, 'Processor'), (54, 73, 'Disk'), (74, 91, 'OS'), (92, 100, 'Model'), (101, 103, 'Brand'), (104, 110, 'Category'), (111, 121, 'RAM')]"
ZenBook 64 bit Windows 10 256 GB SSD 8 GB DDR3  35.56 cm (14 inch)  Asus Laptop Intel Core i5 Processor (8th Gen),"[(0, 7, 'Model'), (8, 25, 'OS'), (26, 36, 'Disk'), (37, 47, 'RAM'), (48, 67, 'Dim'), (68, 72, 'Brand'), (73, 79, 'Category'), (80, 113, 'Processor')]"
